날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-05-19,54,1.2%,55,0.4%,7015,0.3%,15.9%,4775000,4775000 ( 100.0% ),1113,1113 ( 100.0% ),4775000,1113,12
2016-05-20,52,1.1%,53,0.4%,6593,0.3%,24.3%,6821500,2046500 ( 42.9% ),1604,491 ( 44.1% ),11596500,2717,11
2016-05-21,52,1.0%,54,0.3%,6582,0.3%,25.7%,7730200,908700 ( 13.3% ),1690,86 ( 5.4% ),19326700,4407,13
2016-05-22,52,1.0%,54,0.4%,6672,0.3%,27.1%,8925900,1195700 ( 15.5% ),1808,118 ( 7.0% ),28252600,6215,13
2016-05-23,51,1.1%,54,0.4%,6861,0.3%,24.3%,7070000,-1855900 ( -20.8% ),1670,-138 ( -7.6% ),35322600,7885,10
2016-05-24,51,1.1%,54,0.4%,6862,0.3%,23.5%,6820500,-249500 ( -3.5% ),1610,-60 ( -3.6% ),42143100,9495,13
2016-05-25,50,1.0%,50,0.4%,6445,0.3%,23.5%,6253500,-567000 ( -8.3% ),1514,-96 ( -6.0% ),48396600,11009,12
2016-05-26,3,0.1%,3,0%,323,0.0%,0.9%,15000,-6238500 ( -99.8% ),3,-1511 ( -99.8% ),48411600,11012,80
2016-05-27,4,0.1%,4,0%,453,0.0%,6.4%,173000,158000 ( 1053.3% ),29,26 ( 866.7% ),48584600,11041,63
2016-05-28,3,0.1%,3,0%,323,0.0%,0.9%,15000,-158000 ( -91.3% ),3,-26 ( -89.7% ),48599600,11044,121
2016-05-29,3,0.1%,3,0%,323,0.0%,0.9%,15000,0 ( 0.0% ),3,0 ( 0.0% ),48614600,11047,110
2016-05-30,4,0.1%,4,0%,386,0.0%,14.2%,223000,208000 ( 1386.7% ),55,52 ( 1733.3% ),48837600,11102,52
2016-05-31,4,0.1%,4,0%,447,0.0%,7.4%,135000,-88000 ( -39.5% ),33,-22 ( -40.0% ),48972600,11135,63
2016-06-01,3,0.1%,3,0%,323,0.0%,0.9%,15000,-120000 ( -88.9% ),3,-30 ( -90.9% ),48987600,11138,101
2016-06-02,3,0.1%,3,0%,323,0.0%,0.9%,15000,0 ( 0.0% ),3,0 ( 0.0% ),49002600,11141,92
2016-06-03,3,0.1%,3,0%,323,0.0%,0.9%,15000,0 ( 0.0% ),3,0 ( 0.0% ),49017600,11144,81
2016-06-04,3,0.1%,3,0%,323,0.0%,0.9%,15000,0 ( 0.0% ),3,0 ( 0.0% ),49032600,11147,88
2016-06-05,3,0.1%,3,0%,323,0.0%,0.9%,15000,0 ( 0.0% ),3,0 ( 0.0% ),49047600,11150,86
2016-06-06,3,0.1%,3,0%,323,0.0%,0.9%,15000,0 ( 0.0% ),3,0 ( 0.0% ),49062600,11153,82
2016-06-07,3,0.1%,3,0%,323,0.0%,0.9%,15000,0 ( 0.0% ),3,0 ( 0.0% ),49077600,11156,71
2018-01-01,1,0.0%,1,0%,96,0.0%,3.1%,21000,21000 ( 100.0% ),3,3 ( 100.0% ),49098600,11159,69
2018-01-04,1,0.0%,1,0%,96,0.0%,1.0%,7000,7000 ( 100.0% ),1,1 ( 100.0% ),49105600,11160,76
2018-01-05,1,0.0%,1,0%,96,0.0%,2.1%,12000,5000 ( 71.4% ),2,1 ( 100.0% ),49117600,11162,69
2018-01-07,1,0.0%,1,0%,96,0.0%,2.1%,14000,14000 ( 100.0% ),2,2 ( 100.0% ),49131600,11164,67
2018-01-08,1,0.0%,1,0%,96,0.0%,1.0%,7000,-7000 ( -50.0% ),1,-1 ( -50.0% ),49138600,11165,66
2018-01-10,1,0.0%,1,0%,96,0.0%,4.2%,24000,24000 ( 100.0% ),4,4 ( 100.0% ),49162600,11169,78
2018-01-11,1,0.0%,1,0%,96,0.0%,2.1%,12000,-12000 ( -50.0% ),2,-2 ( -50.0% ),49174600,11171,74
2018-01-13,1,0.0%,1,0%,96,0.0%,2.1%,14000,14000 ( 100.0% ),2,2 ( 100.0% ),49188600,11173,77
2018-01-14,1,0.0%,1,0%,96,0.0%,1.0%,7000,-7000 ( -50.0% ),1,-1 ( -50.0% ),49195600,11174,80
