날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-03-28,3,0.1%,6,0%,1554,0.1%,100.0%,11348000,11348000 ( 100.0% ),1554,1554 ( 100.0% ),11348000,1554,12
2018-04-05,75,1.4%,134,0.7%,17503,0.6%,13.8%,18153000,18153000 ( 100.0% ),2419,2419 ( 100.0% ),29501000,3973,10
2018-04-06,75,1.4%,135,0.7%,17537,0.6%,9.4%,13452500,-4700500 ( -25.9% ),1651,-768 ( -31.7% ),42953500,5624,9
2018-04-07,77,1.3%,131,0.7%,15227,0.5%,27.5%,32358000,18905500 ( 140.5% ),4186,2535 ( 153.5% ),75311500,9810,12
2018-04-08,79,1.3%,127,0.7%,14633,0.5%,24.7%,27290000,-5068000 ( -15.7% ),3608,-578 ( -13.8% ),102601500,13418,12
2018-04-09,63,1.3%,104,0.6%,12833,0.5%,3.7%,3528500,-23761500 ( -87.1% ),478,-3130 ( -86.8% ),106130000,13896,15
2018-04-10,61,1.2%,94,0.5%,12219,0.4%,3.1%,2770000,-758500 ( -21.5% ),380,-98 ( -20.5% ),108900000,14276,15
2018-04-11,58,1.1%,94,0.5%,11628,0.4%,3.9%,3399000,629000 ( 22.7% ),459,79 ( 20.8% ),112299000,14735,17
2018-04-12,28,0.5%,44,0.2%,6508,0.2%,9.6%,4754500,1355500 ( 39.9% ),627,168 ( 36.6% ),117053500,15362,18
2018-04-13,30,0.5%,42,0.2%,5962,0.2%,8.6%,4268500,-486000 ( -10.2% ),510,-117 ( -18.7% ),121322000,15872,19
2018-04-14,43,0.7%,54,0.3%,6392,0.2%,19.6%,9479500,5211000 ( 122.1% ),1251,741 ( 145.3% ),130801500,17123,18
2018-04-15,44,0.7%,56,0.3%,6548,0.2%,18.8%,9435500,-44000 ( -0.5% ),1231,-20 ( -1.6% ),140237000,18354,19
2018-04-16,24,0.4%,35,0.2%,4770,0.2%,2.5%,914000,-8521500 ( -90.3% ),120,-1111 ( -90.3% ),141151000,18474,32
2018-04-17,23,0.4%,31,0.2%,3900,0.1%,3.2%,969500,55500 ( 6.1% ),126,6 ( 5.0% ),142120500,18600,40
2018-04-18,22,0.4%,31,0.2%,4044,0.1%,2.1%,657500,-312000 ( -32.2% ),85,-41 ( -32.5% ),142778000,18685,49
2018-04-19,17,0.3%,21,0.1%,2902,0.1%,23.1%,4902500,4245000 ( 645.6% ),670,585 ( 688.2% ),147680500,19355,24
2018-04-20,19,0.3%,21,0.1%,2895,0.1%,15.6%,3717500,-1185000 ( -24.2% ),451,-219 ( -32.7% ),151398000,19806,28
2018-04-21,31,0.4%,34,0.2%,4459,0.1%,20.6%,7329000,3611500 ( 97.1% ),920,469 ( 104.0% ),158727000,20726,26
2018-04-22,30,0.4%,34,0.2%,4637,0.2%,14.0%,4995000,-2334000 ( -31.8% ),649,-271 ( -29.5% ),163722000,21375,28
2018-04-23,12,0.2%,15,0.1%,2119,0.1%,3.3%,498500,-4496500 ( -90.0% ),70,-579 ( -89.2% ),164220500,21445,54
2018-04-24,13,0.2%,16,0.1%,2141,0.1%,5.2%,836500,338000 ( 67.8% ),111,41 ( 58.6% ),165057000,21556,52
2018-04-25,9,0.2%,9,0.1%,1312,0.1%,3.6%,287000,-549500 ( -65.7% ),47,-64 ( -57.7% ),165344000,21603,54
2018-04-26,16,0.3%,16,0.1%,2428,0.1%,21.8%,3814000,3527000 ( 1228.9% ),530,483 ( 1027.7% ),169158000,22133,19
2018-04-27,15,0.3%,16,0.1%,2163,0.1%,15.3%,2563000,-1251000 ( -32.8% ),331,-199 ( -37.5% ),171721000,22464,21
2018-04-28,14,0.3%,15,0.1%,1915,0.1%,31.0%,4680500,2117500 ( 82.6% ),594,263 ( 79.5% ),176401500,23058,20
2018-04-29,16,0.3%,17,0.1%,2249,0.1%,21.6%,3572000,-1108500 ( -23.7% ),486,-108 ( -18.2% ),179973500,23544,22
2018-04-30,15,0.3%,15,0.1%,1940,0.1%,5.5%,759500,-2812500 ( -78.7% ),106,-380 ( -78.2% ),180733000,23650,41
2018-05-01,12,0.3%,13,0.1%,1559,0.1%,11.1%,1247500,488000 ( 64.3% ),173,67 ( 63.2% ),181980500,23823,36
2018-05-02,11,0.2%,11,0.1%,1436,0.1%,4.7%,505000,-742500 ( -59.5% ),68,-105 ( -60.7% ),182485500,23891,52
2018-05-03,10,0.2%,15,0.1%,2042,0.1%,42.1%,6319000,5814000 ( 1151.3% ),859,791 ( 1163.2% ),188804500,24750,13
2018-05-04,12,0.2%,14,0.1%,1870,0.1%,19.7%,2949000,-3370000 ( -53.3% ),368,-491 ( -57.2% ),191753500,25118,21
2018-05-05,10,0.2%,12,0.1%,1715,0.1%,33.9%,4334000,1385000 ( 47.0% ),582,214 ( 58.2% ),196087500,25700,13
2018-05-06,11,0.2%,13,0.1%,1776,0.1%,20.3%,2686000,-1648000 ( -38.0% ),360,-222 ( -38.1% ),198773500,26060,20
2018-05-07,12,0.2%,13,0.1%,1743,0.1%,21.7%,2885500,199500 ( 7.4% ),378,18 ( 5.0% ),201659000,26438,18
2018-05-08,9,0.2%,9,0.1%,1272,0.1%,4.3%,419000,-2466500 ( -85.5% ),55,-323 ( -85.4% ),202078000,26493,44
2018-05-09,11,0.3%,11,0.1%,1601,0.1%,3.2%,396000,-23000 ( -5.5% ),51,-4 ( -7.3% ),202474000,26544,48
2018-05-10,15,0.3%,18,0.1%,2720,0.1%,27.5%,5746000,5350000 ( 1351.0% ),748,697 ( 1366.7% ),208220000,27292,12
2018-05-11,13,0.3%,17,0.1%,2502,0.1%,9.2%,1819500,-3926500 ( -68.3% ),230,-518 ( -69.3% ),210039500,27522,24
2018-05-12,12,0.2%,15,0.1%,2370,0.1%,19.1%,3373500,1554000 ( 85.4% ),452,222 ( 96.5% ),213413000,27974,22
2018-05-13,12,0.2%,15,0.1%,2345,0.1%,14.7%,2693500,-680000 ( -20.2% ),345,-107 ( -23.7% ),216106500,28319,22
2018-05-14,10,0.2%,10,0.1%,1409,0.1%,3.4%,362000,-2331500 ( -86.6% ),48,-297 ( -86.1% ),216468500,28367,46
2018-05-15,9,0.2%,9,0.1%,1307,0.1%,2.7%,262000,-100000 ( -27.6% ),35,-13 ( -27.1% ),216730500,28402,54
2018-05-16,5,0.1%,6,0%,886,0.0%,3.8%,260000,-2000 ( -0.8% ),34,-1 ( -2.9% ),216990500,28436,46
2018-05-17,12,0.2%,15,0.1%,2112,0.1%,10.7%,1718500,1458500 ( 561.0% ),227,193 ( 567.6% ),218709000,28663,26
2018-05-18,6,0.1%,6,0%,860,0.0%,9.5%,689000,-1029500 ( -59.9% ),82,-145 ( -63.9% ),219398000,28745,42
2018-05-19,10,0.2%,10,0.1%,1252,0.0%,15.4%,1449000,760000 ( 110.3% ),193,111 ( 135.4% ),220847000,28938,29
2018-05-20,8,0.1%,9,0%,1179,0.0%,23.5%,2270000,821000 ( 56.7% ),277,84 ( 43.5% ),223117000,29215,24
2018-05-21,8,0.1%,9,0.1%,1098,0.0%,15.3%,1193500,-1076500 ( -47.4% ),168,-109 ( -39.4% ),224310500,29383,33
2018-05-22,6,0.1%,6,0%,701,0.0%,12.4%,659000,-534500 ( -44.8% ),87,-81 ( -48.2% ),224969500,29470,40
2018-05-23,3,0.1%,3,0%,337,0.0%,8.3%,189000,-470000 ( -71.3% ),28,-59 ( -67.8% ),225158500,29498,54
2018-09-06,1,0.0%,2,0%,120,0.0%,2.5%,15000,15000 ( 100.0% ),3,3 ( 100.0% ),225173500,29501,93
2018-09-07,1,0.0%,1,0%,60,0.0%,8.3%,25000,10000 ( 66.7% ),5,2 ( 66.7% ),225198500,29506,110
2018-09-08,2,0.0%,3,0%,503,0.0%,10.1%,255000,230000 ( 920.0% ),51,46 ( 920.0% ),225453500,29557,63
2018-09-09,2,0.0%,2,0%,352,0.0%,4.5%,80000,-175000 ( -68.6% ),16,-35 ( -68.6% ),225533500,29573,87
2018-09-10,1,0.0%,1,0%,60,0.0%,3.3%,10000,-70000 ( -87.5% ),2,-14 ( -87.5% ),225543500,29575,106
2018-09-11,1,0.0%,1,0%,60,0.0%,3.3%,10000,0 ( 0.0% ),2,0 ( 0.0% ),225553500,29577,117
2020-04-09,6,0.2%,7,0.1%,863,0.1%,5.0%,371340,371340 ( 100.0% ),43,43 ( 100.0% ),225924840,29620,54
2020-04-10,3,0.1%,3,0.1%,291,0.0%,8.6%,251080,-120260 ( -32.4% ),25,-18 ( -41.9% ),226175920,29645,62
2020-04-11,4,0.1%,4,0.1%,455,0.0%,13.4%,573940,322860 ( 128.6% ),61,36 ( 144.0% ),226749860,29706,55
2020-04-12,1,0.0%,1,0%,102,0.0%,4.9%,49000,-524940 ( -91.5% ),5,-56 ( -91.8% ),226798860,29711,108
2020-04-13,6,0.2%,7,0.2%,1136,0.2%,1.6%,162500,113500 ( 231.6% ),18,13 ( 260.0% ),226961360,29729,64
