날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-08-31,1,0.0%,1,0%,208,0.0%,100.0%,2288000,2288000 ( 100.0% ),208,208 ( 100.0% ),2288000,208,31
2018-09-03,4,0.1%,5,0%,878,0.0%,98.2%,7710000,7710000 ( 100.0% ),862,862 ( 100.0% ),9998000,1070,12
2018-09-04,1,0.0%,1,0%,189,0.0%,100.0%,1512000,-6198000 ( -80.4% ),189,-673 ( -78.1% ),11510000,1259,27
2018-09-10,18,0.3%,18,0.1%,4505,0.2%,84.0%,34021500,34021500 ( 100.0% ),3785,3785 ( 100.0% ),45531500,5044,10
2018-09-11,27,0.5%,27,0.2%,3944,0.1%,60.7%,18586000,-15435500 ( -45.4% ),2393,-1392 ( -36.8% ),64117500,7437,11
2018-09-12,1183,23.2%,6519,35.4%,1223221,41.2%,8.6%,839276950,820690950 ( 4415.6% ),105255,102862 ( 4298.5% ),903394450,112692,1
2018-09-13,1151,22.0%,6385,34.5%,1193114,40.0%,6.6%,621997100,-217279850 ( -25.9% ),79106,-26149 ( -24.8% ),1525391550,191798,1
2018-09-14,1163,22.0%,6409,33.8%,1200014,39.4%,7.8%,804602701,182605601 ( 29.4% ),93286,14180 ( 17.9% ),2329994251,285084,2
2018-09-15,1108,19.7%,6359,31.2%,1200840,37.1%,14.8%,1565342203,760739502 ( 94.5% ),177848,84562 ( 90.6% ),3895336454,462932,2
2018-09-16,1095,19.6%,6055,30.6%,1144340,36.2%,13.2%,1330130100,-235212103 ( -15.0% ),150958,-26890 ( -15.1% ),5225466554,613890,2
2018-09-17,1034,20.9%,5264,30.2%,968623,34.3%,3.9%,298345300,-1031784800 ( -77.6% ),37928,-113030 ( -74.9% ),5523811854,651818,2
2018-09-18,1043,20.4%,4973,29.4%,912978,33.3%,3.4%,240762550,-57582750 ( -19.3% ),30590,-7338 ( -19.3% ),5764574404,682408,2
2018-09-19,341,6.7%,662,3.6%,80395,2.8%,3.8%,23985550,-216777000 ( -90.0% ),3083,-27507 ( -89.9% ),5788559954,685491,6
2018-09-20,316,5.6%,543,2.9%,68700,2.4%,4.1%,21007650,-2977900 ( -12.4% ),2784,-299 ( -9.7% ),5809567604,688275,8
2018-09-21,290,5.2%,471,2.5%,58176,1.9%,5.0%,24296800,3289150 ( 15.7% ),2916,132 ( 4.7% ),5833864404,691191,6
2018-09-22,265,4.1%,411,2%,48620,1.5%,11.9%,50861800,26565000 ( 109.3% ),5778,2862 ( 98.1% ),5884726204,696969,10
2018-09-23,252,4.0%,368,1.8%,44530,1.4%,11.5%,45950350,-4911450 ( -9.7% ),5127,-651 ( -11.3% ),5930676554,702096,9
2018-09-24,212,3.4%,298,1.5%,35512,1.1%,12.9%,40764350,-5186000 ( -11.3% ),4584,-543 ( -10.6% ),5971440904,706680,8
2018-09-25,212,3.3%,293,1.4%,34142,1.1%,14.7%,42046800,1282450 ( 3.1% ),5031,447 ( 9.8% ),6013487704,711711,10
2018-09-26,145,2.4%,213,1.1%,24908,0.8%,12.7%,24001050,-18045750 ( -42.9% ),3169,-1862 ( -37.0% ),6037488754,714880,11
2018-09-27,110,2.1%,159,0.9%,21653,0.7%,12.1%,23696900,-304150 ( -1.3% ),2617,-552 ( -17.4% ),6061185654,717497,7
2018-09-28,90,1.7%,124,0.7%,16408,0.6%,3.5%,5049500,-18647400 ( -78.7% ),575,-2042 ( -78.0% ),6066235154,718072,14
2018-09-29,82,1.4%,103,0.5%,12691,0.4%,7.7%,7737000,2687500 ( 53.2% ),974,399 ( 69.4% ),6073972154,719046,15
2018-09-30,83,1.4%,107,0.6%,13085,0.4%,7.0%,7895200,158200 ( 2.0% ),922,-52 ( -5.3% ),6081867354,719968,15
2018-10-01,58,1.2%,79,0.5%,10566,0.4%,2.5%,2106200,-5789000 ( -73.3% ),269,-653 ( -70.8% ),6083973554,720237,20
2018-10-02,66,1.3%,93,0.5%,12270,0.4%,3.8%,3448900,1342700 ( 63.7% ),462,193 ( 71.7% ),6087422454,720699,21
2018-10-03,3,0.1%,3,0%,259,0.0%,8.5%,185000,-3263900 ( -94.6% ),22,-440 ( -95.2% ),6087607454,720721,62
2018-10-08,2,0.0%,2,0%,406,0.0%,0.7%,22000,22000 ( 100.0% ),3,3 ( 100.0% ),6087629454,720724,67
2018-10-09,2,0.0%,2,0%,406,0.0%,1.5%,44500,22500 ( 102.3% ),6,3 ( 100.0% ),6087673954,720730,70
2018-10-10,2,0.0%,2,0%,319,0.0%,0.9%,23000,-21500 ( -48.3% ),3,-3 ( -50.0% ),6087696954,720733,77
2018-10-12,1,0.0%,1,0%,202,0.0%,0.5%,9000,9000 ( 100.0% ),1,1 ( 100.0% ),6087705954,720734,90
2018-10-13,2,0.0%,2,0%,406,0.0%,1.0%,25000,16000 ( 177.8% ),4,3 ( 300.0% ),6087730954,720738,79
2018-10-14,1,0.0%,1,0%,173,0.0%,1.2%,16000,-9000 ( -36.0% ),2,-2 ( -50.0% ),6087746954,720740,80
2018-10-15,1,0.0%,5,0%,1060,0.0%,3.3%,111000,95000 ( 593.8% ),35,33 ( 1650.0% ),6087857954,720775,58
2018-10-16,21,0.4%,21,0.1%,2558,0.1%,21.7%,2429000,2318000 ( 2088.3% ),555,520 ( 1485.7% ),6090286954,721330,17
2018-10-17,7,0.1%,7,0%,1105,0.0%,34.7%,2537000,108000 ( 4.4% ),383,-172 ( -31.0% ),6092823954,721713,21
