날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-03-15,2,0.0%,2,0%,496,0.0%,100.0%,4464000,4464000 ( 100.0% ),496,496 ( 100.0% ),4464000,496,20
2018-03-17,1,0.0%,1,0%,158,0.0%,100.0%,1580000,1580000 ( 100.0% ),158,158 ( 100.0% ),6044000,654,41
2018-03-18,1,0.0%,1,0%,212,0.0%,100.0%,1696000,116000 ( 7.3% ),212,54 ( 34.2% ),7740000,866,38
2018-03-20,3,0.1%,3,0%,495,0.0%,100.0%,3960000,3960000 ( 100.0% ),495,495 ( 100.0% ),11700000,1361,21
2018-03-21,1,0.0%,1,0%,165,0.0%,7.3%,74000,-3886000 ( -98.1% ),12,-483 ( -97.6% ),11774000,1373,70
2018-03-22,234,4.4%,278,1.6%,33286,1.2%,5.2%,12047300,11973300 ( 16180.1% ),1735,1723 ( 14358.3% ),23821300,3108,12
2018-03-23,253,4.6%,303,1.7%,36755,1.3%,5.3%,14842600,2795300 ( 23.2% ),1940,205 ( 11.8% ),38663900,5048,13
2018-03-24,448,7.3%,692,3.7%,84638,2.8%,27.5%,174112600,159270000 ( 1073.1% ),23302,21362 ( 1101.1% ),212776500,28350,6
2018-03-25,458,7.6%,749,4.1%,91531,3.2%,27.8%,193203700,19091100 ( 11.0% ),25487,2185 ( 9.4% ),405980200,53837,5
2018-03-26,203,3.9%,237,1.5%,28529,1.1%,3.8%,7617800,-185585900 ( -96.1% ),1092,-24395 ( -95.7% ),413598000,54929,14
2018-03-27,222,4.1%,262,1.6%,31888,1.2%,4.5%,9915300,2297500 ( 30.2% ),1440,348 ( 31.9% ),423513300,56369,15
2018-03-28,97,1.8%,117,0.7%,12877,0.5%,6.2%,5074400,-4840900 ( -48.8% ),795,-645 ( -44.8% ),428587700,57164,17
2018-03-29,106,2.0%,124,0.7%,13387,0.5%,5.8%,5212100,137700 ( 2.7% ),782,-13 ( -1.6% ),433799800,57946,16
2018-03-30,117,2.2%,133,0.8%,14914,0.5%,5.3%,5748700,536600 ( 10.3% ),788,6 ( 0.8% ),439548500,58734,14
2018-03-31,347,6.2%,542,2.9%,64913,2.2%,19.1%,93117700,87369000 ( 1519.8% ),12376,11588 ( 1470.6% ),532666200,71110,6
2018-04-01,347,6.2%,537,2.9%,63967,2.2%,19.0%,91198500,-1919200 ( -2.1% ),12122,-254 ( -2.1% ),623864700,83232,6
2018-04-02,96,2.0%,116,0.7%,13965,0.5%,3.2%,3162000,-88036500 ( -96.5% ),443,-11679 ( -96.3% ),627026700,83675,17
2018-04-03,93,1.9%,111,0.7%,12857,0.5%,3.6%,3177300,15300 ( 0.5% ),464,21 ( 4.7% ),630204000,84139,21
2018-04-04,87,1.8%,95,0.6%,10559,0.4%,4.8%,3318800,141500 ( 4.5% ),511,47 ( 10.1% ),633522800,84650,15
2018-04-05,54,1.0%,67,0.4%,7182,0.2%,4.8%,2306300,-1012500 ( -30.5% ),343,-168 ( -32.9% ),635829100,84993,19
2018-04-06,52,1.0%,71,0.4%,7614,0.3%,4.6%,2638600,332300 ( 14.4% ),352,9 ( 2.6% ),638467700,85345,18
2018-04-07,166,2.8%,248,1.2%,27118,0.9%,17.8%,35172700,32534100 ( 1233.0% ),4820,4468 ( 1269.3% ),673640400,90165,11
2018-04-08,163,2.8%,246,1.3%,26921,0.9%,20.0%,40496000,5323300 ( 15.1% ),5397,577 ( 12.0% ),714136400,95562,10
2018-04-09,44,0.9%,51,0.3%,5042,0.2%,3.6%,1246900,-39249100 ( -96.9% ),183,-5214 ( -96.6% ),715383300,95745,27
2018-04-10,39,0.8%,44,0.3%,5147,0.2%,4.0%,1292600,45700 ( 3.7% ),204,21 ( 11.5% ),716675900,95949,22
2018-04-11,42,0.8%,54,0.3%,5740,0.2%,3.5%,1393900,101300 ( 7.8% ),202,-2 ( -1.0% ),718069800,96151,30
2018-04-12,7,0.1%,15,0.1%,1354,0.0%,5.5%,403000,-990900 ( -71.1% ),74,-128 ( -63.4% ),718472800,96225,50
2018-04-13,6,0.1%,14,0.1%,1053,0.0%,5.2%,405500,2500 ( 0.6% ),55,-19 ( -25.7% ),718878300,96280,58
2018-04-14,30,0.5%,49,0.2%,5936,0.2%,18.0%,7819500,7414000 ( 1828.4% ),1068,1013 ( 1841.8% ),726697800,97348,20
2018-04-15,33,0.5%,53,0.3%,6361,0.2%,16.8%,7852100,32600 ( 0.4% ),1067,-1 ( -0.1% ),734549900,98415,20
2018-04-16,5,0.1%,6,0%,330,0.0%,5.8%,132000,-7720100 ( -98.3% ),19,-1048 ( -98.2% ),734681900,98434,55
2018-04-17,5,0.1%,16,0.1%,1060,0.0%,5.0%,320000,188000 ( 142.4% ),53,34 ( 178.9% ),735001900,98487,54
2018-04-18,7,0.1%,12,0.1%,889,0.0%,4.5%,246300,-73700 ( -23.0% ),40,-13 ( -24.5% ),735248200,98527,55
2018-04-19,4,0.1%,10,0.1%,773,0.0%,4.0%,178000,-68300 ( -27.7% ),31,-9 ( -22.5% ),735426200,98558,75
2018-04-20,5,0.1%,13,0.1%,884,0.0%,10.5%,568000,390000 ( 219.1% ),93,62 ( 200.0% ),735994200,98651,52
2018-04-21,13,0.2%,29,0.2%,3200,0.1%,13.1%,2785100,2217100 ( 390.3% ),418,325 ( 349.5% ),738779300,99069,34
2018-04-22,14,0.2%,30,0.2%,3713,0.1%,10.1%,2672800,-112300 ( -4.0% ),374,-44 ( -10.5% ),741452100,99443,34
2018-04-23,3,0.0%,10,0.1%,332,0.0%,11.7%,273000,-2399800 ( -89.8% ),39,-335 ( -89.6% ),741725100,99482,61
2018-04-24,4,0.1%,11,0.1%,655,0.0%,5.2%,208000,-65000 ( -23.8% ),34,-5 ( -12.8% ),741933100,99516,74
2018-04-25,4,0.1%,8,0.1%,955,0.0%,4.8%,210000,2000 ( 1.0% ),46,12 ( 35.3% ),742143100,99562,55
2018-04-26,3,0.1%,5,0%,262,0.0%,4.6%,85000,-125000 ( -59.5% ),12,-34 ( -73.9% ),742228100,99574,85
2018-04-27,2,0.0%,5,0%,185,0.0%,9.2%,115000,30000 ( 35.3% ),17,5 ( 41.7% ),742343100,99591,73
2018-04-28,6,0.1%,10,0.1%,1290,0.0%,12.4%,1112000,997000 ( 867.0% ),160,143 ( 841.2% ),743455100,99751,36
2018-04-29,5,0.1%,8,0%,844,0.0%,10.2%,633600,-478400 ( -43.0% ),86,-74 ( -46.3% ),744088700,99837,48
2018-04-30,2,0.0%,5,0%,185,0.0%,13.0%,187000,-446600 ( -70.5% ),24,-62 ( -72.1% ),744275700,99861,66
2018-05-01,3,0.1%,6,0%,297,0.0%,25.6%,490000,303000 ( 162.0% ),76,52 ( 216.7% ),744765700,99937,53
2018-05-02,2,0.0%,3,0%,182,0.0%,2.2%,23000,-467000 ( -95.3% ),4,-72 ( -94.7% ),744788700,99941,91
2018-05-06,2,0.0%,2,0%,323,0.0%,1.9%,36500,36500 ( 100.0% ),6,6 ( 100.0% ),744825200,99947,78
2018-05-07,1,0.0%,1,0%,114,0.0%,4.4%,33000,-3500 ( -9.6% ),5,-1 ( -16.7% ),744858200,99952,80
2018-06-13,1,0.0%,1,0%,126,0.0%,1.6%,14000,14000 ( 100.0% ),2,2 ( 100.0% ),744872200,99954,95
2018-06-15,1,0.0%,2,0%,252,0.0%,2.0%,34000,34000 ( 100.0% ),5,5 ( 100.0% ),744906200,99959,83
2018-06-17,1,0.0%,1,0%,126,0.0%,9.5%,88000,88000 ( 100.0% ),12,12 ( 100.0% ),744994200,99971,72
2018-06-19,1,0.0%,1,0%,126,0.0%,1.6%,12000,12000 ( 100.0% ),2,2 ( 100.0% ),745006200,99973,90
2018-06-20,1,0.0%,1,0%,126,0.0%,1.6%,14000,2000 ( 16.7% ),2,0 ( 0.0% ),745020200,99975,92
2018-06-21,1,0.0%,1,0%,126,0.0%,3.2%,16000,2000 ( 14.3% ),4,2 ( 100.0% ),745036200,99979,79
2018-06-22,1,0.0%,1,0%,126,0.0%,2.4%,19000,3000 ( 18.8% ),3,-1 ( -25.0% ),745055200,99982,89
2018-06-23,1,0.0%,2,0%,252,0.0%,1.6%,29000,10000 ( 52.6% ),4,1 ( 33.3% ),745084200,99986,88
