날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-07-16,8,0.2%,9,0.1%,3232,0.1%,97.9%,26844000,26844000 ( 100.0% ),3164,3164 ( 100.0% ),26844000,3164,8
2018-07-17,1,0.0%,1,0%,622,0.0%,90.5%,5360000,-21484000 ( -80.0% ),563,-2601 ( -82.2% ),32204000,3727,18
2018-07-25,1717,30.6%,7457,42.8%,1343882,49.3%,44.8%,3905685200,3905685200 ( 100.0% ),601935,601935 ( 100.0% ),3937889200,605662,1
2018-07-26,1656,29.6%,7513,42.6%,1355113,49.1%,28.7%,3193397600,-712287600 ( -18.2% ),389360,-212575 ( -35.3% ),7131286800,995022,1
2018-07-27,1761,31.2%,8038,44.9%,1443382,51.6%,31.9%,4187036980,993639380 ( 31.1% ),460648,71288 ( 18.3% ),11318323780,1455670,1
2018-07-28,1937,33.5%,8914,47.6%,1583797,54.2%,59.4%,8530320374,4343283394 ( 103.7% ),941391,480743 ( 104.4% ),19848644154,2397061,1
2018-07-29,1957,33.6%,8888,48.3%,1585417,55.2%,56.9%,8149667800,-380652574 ( -4.5% ),902518,-38873 ( -4.1% ),27998311954,3299579,1
2018-07-30,1861,33.6%,8628,48.3%,1558652,55.9%,27.8%,3538292800,-4611375000 ( -56.6% ),432636,-469882 ( -52.1% ),31536604754,3732215,1
2018-07-31,1881,32.8%,8616,47.9%,1558346,55.4%,25.9%,3278600000,-259692800 ( -7.3% ),403697,-28939 ( -6.7% ),34815204754,4135912,1
2018-08-01,998,18.2%,3827,20.7%,546509,18.9%,47.3%,2091268500,-1187331500 ( -36.2% ),258561,-145136 ( -36.0% ),36906473254,4394473,2
2018-08-02,975,17.5%,3600,19.4%,510835,17.6%,48.9%,2029874300,-61394200 ( -2.9% ),249826,-8735 ( -3.4% ),38936347554,4644299,2
2018-08-03,916,16.6%,3408,18.3%,478191,16.4%,54.1%,2327433553,297559253 ( 14.7% ),258508,8682 ( 3.5% ),41263781107,4902807,2
2018-08-04,888,15.7%,3108,16.4%,432555,14.7%,72.3%,2790392250,462958697 ( 19.9% ),312699,54191 ( 21.0% ),44054173357,5215506,2
2018-08-05,916,16.2%,3124,16.8%,431961,14.8%,64.7%,2496143400,-294248850 ( -10.5% ),279678,-33021 ( -10.6% ),46550316757,5495184,2
2018-08-06,884,17.3%,3377,18.9%,464692,16.6%,33.7%,1269592300,-1226551100 ( -49.1% ),156811,-122867 ( -43.9% ),47819909057,5651995,2
2018-08-07,908,17.3%,3388,19%,467519,16.7%,29.4%,1109824400,-159767900 ( -12.6% ),137583,-19228 ( -12.3% ),48929733457,5789578,2
2018-08-08,532,9.5%,1376,7.4%,178796,6.1%,35.1%,507407900,-602416500 ( -54.3% ),62786,-74797 ( -54.4% ),49437141357,5852364,6
2018-08-09,531,9.2%,1351,7.2%,174249,5.9%,32.5%,459951600,-47456300 ( -9.4% ),56630,-6156 ( -9.8% ),49897092957,5908994,5
2018-08-10,521,8.9%,1255,6.6%,158491,5.3%,38.7%,554874907,94923307 ( 20.6% ),61392,4762 ( 8.4% ),50451967864,5970386,5
2018-08-11,494,8.3%,1199,6.2%,155020,5.1%,60.8%,849744895,294869988 ( 53.1% ),94209,32817 ( 53.5% ),51301712759,6064595,5
2018-08-12,517,8.7%,1226,6.5%,157256,5.3%,55.9%,794426400,-55318495 ( -6.5% ),87968,-6241 ( -6.6% ),52096139159,6152563,5
2018-08-13,510,9.3%,1301,7.1%,166718,5.8%,28.6%,389207800,-405218600 ( -51.0% ),47635,-40333 ( -45.8% ),52485346959,6200198,5
2018-08-14,544,9.3%,1333,7.1%,171453,5.9%,34.4%,482794700,93586900 ( 24.0% ),59020,11385 ( 23.9% ),52968141659,6259218,4
2018-08-15,358,5.3%,676,3.4%,91518,3.0%,55.1%,459610700,-23184000 ( -4.8% ),50394,-8626 ( -14.6% ),53427752359,6309612,8
2018-08-16,334,5.2%,657,3.5%,95902,3.2%,22.3%,182895800,-276714900 ( -60.2% ),21364,-29030 ( -57.6% ),53610648159,6330976,7
2018-08-17,343,5.3%,670,3.5%,100252,3.3%,24.6%,234079253,51183453 ( 28.0% ),24634,3270 ( 15.3% ),53844727412,6355610,7
2018-08-18,354,5.2%,658,3.3%,93976,3.0%,45.5%,407801250,173721997 ( 74.2% ),42726,18092 ( 73.4% ),54252528662,6398336,7
2018-08-19,355,5.3%,663,3.4%,95114,3.1%,37.2%,335989900,-71811350 ( -17.6% ),35393,-7333 ( -17.2% ),54588518562,6433729,7
2018-08-20,325,5.3%,643,3.5%,93785,3.3%,15.3%,121638400,-214351500 ( -63.8% ),14385,-21008 ( -59.4% ),54710156962,6448114,7
2018-08-21,341,5.5%,654,3.6%,94496,3.3%,14.8%,118149600,-3488800 ( -2.9% ),13948,-437 ( -3.0% ),54828306562,6462062,7
2018-08-22,245,4.3%,443,2.4%,62636,2.2%,16.2%,81893500,-36256100 ( -30.7% ),10135,-3813 ( -27.3% ),54910200062,6472197,9
2018-08-23,229,4.0%,364,2.1%,51380,1.8%,14.1%,59160100,-22733400 ( -27.8% ),7253,-2882 ( -28.4% ),54969360162,6479450,8
2018-08-24,230,3.8%,385,2.1%,53163,1.8%,20.5%,100149500,40989400 ( 69.3% ),10879,3626 ( 50.0% ),55069509662,6490329,8
2018-08-25,263,4.1%,467,2.4%,61167,2.0%,33.9%,191032100,90882600 ( 90.7% ),20735,9856 ( 90.6% ),55260541762,6511064,8
2018-08-26,255,4.0%,463,2.4%,60113,2.0%,29.6%,163674200,-27357900 ( -14.3% ),17778,-2957 ( -14.3% ),55424215962,6528842,8
2018-08-27,244,4.4%,472,2.7%,64924,2.3%,10.7%,56131400,-107542800 ( -65.7% ),6920,-10858 ( -61.1% ),55480347362,6535762,7
2018-08-28,246,4.4%,482,2.7%,66072,2.4%,10.6%,55588900,-542500 ( -1.0% ),6985,65 ( 0.9% ),55535936262,6542747,7
2018-08-29,147,2.5%,246,1.3%,33245,1.1%,13.9%,32283300,-23305600 ( -41.9% ),4631,-2354 ( -33.7% ),55568219562,6547378,10
2018-08-30,142,2.4%,240,1.3%,33007,1.1%,11.0%,28866200,-3417100 ( -10.6% ),3618,-1013 ( -21.9% ),55597085762,6550996,10
2018-08-31,142,2.4%,240,1.3%,32037,1.1%,13.7%,39182800,10316600 ( 35.7% ),4388,770 ( 21.3% ),55636268562,6555384,10
2018-09-01,142,2.2%,247,1.3%,31650,1.0%,18.4%,52450400,13267600 ( 33.9% ),5811,1423 ( 32.4% ),55688718962,6561195,12
2018-09-02,142,2.2%,240,1.2%,29943,1.0%,19.7%,53386500,936100 ( 1.8% ),5904,93 ( 1.6% ),55742105462,6567099,11
