날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-11-17,1,0.0%,1,0%,189,0.0%,100.0%,1323000,1323000 ( 100.0% ),189,189 ( 100.0% ),1323000,189,39
2016-11-23,9,0.2%,9,0.1%,1263,0.1%,18.5%,4644000,4644000 ( 100.0% ),234,234 ( 100.0% ),5967000,423,29
2016-11-24,89,1.7%,141,0.9%,21195,0.8%,14.8%,59240800,54596800 ( 1175.6% ),3133,2899 ( 1238.9% ),65207800,3556,8
2016-11-25,92,1.8%,146,0.9%,22302,0.8%,14.9%,64269900,5029100 ( 8.5% ),3330,197 ( 6.3% ),129477700,6886,7
2016-11-26,100,1.9%,167,1%,25797,0.9%,20.2%,101264900,36995000 ( 57.6% ),5206,1876 ( 56.3% ),230742600,12092,9
2016-11-27,95,1.8%,158,1%,24232,0.9%,21.7%,102576900,1312000 ( 1.3% ),5255,49 ( 0.9% ),333319500,17347,9
2016-11-28,90,1.9%,150,1%,24252,1.0%,10.5%,49338000,-53238900 ( -51.9% ),2548,-2707 ( -51.5% ),382657500,19895,7
2016-11-29,94,1.9%,150,1%,23927,0.9%,12.5%,58055400,8717400 ( 17.7% ),2983,435 ( 17.1% ),440712900,22878,7
2016-11-30,61,1.2%,76,0.5%,11913,0.4%,11.0%,24915500,-33139900 ( -57.1% ),1307,-1676 ( -56.2% ),465628400,24185,14
2016-12-01,64,1.3%,78,0.5%,12127,0.4%,13.1%,30869200,5953700 ( 23.9% ),1591,284 ( 21.7% ),496497600,25776,9
2016-12-02,62,1.2%,76,0.5%,11292,0.4%,15.9%,34758700,3889500 ( 12.6% ),1795,204 ( 12.8% ),531256300,27571,9
2016-12-03,57,1.1%,77,0.4%,11719,0.4%,24.4%,56106200,21347500 ( 61.4% ),2862,1067 ( 59.4% ),587362500,30433,10
2016-12-04,60,1.1%,73,0.4%,10684,0.4%,25.0%,52344100,-3762100 ( -6.7% ),2671,-191 ( -6.7% ),639706600,33104,9
2016-12-05,60,1.3%,78,0.5%,11000,0.4%,12.7%,27508500,-24835600 ( -47.4% ),1402,-1269 ( -47.5% ),667215100,34506,10
2016-12-06,64,1.3%,82,0.5%,11493,0.4%,16.0%,36103000,8594500 ( 31.2% ),1844,442 ( 31.5% ),703318100,36350,11
2016-12-07,20,0.4%,22,0.1%,2629,0.1%,18.4%,9099000,-27004000 ( -74.8% ),483,-1361 ( -73.8% ),712417100,36833,13
2016-12-08,12,0.2%,13,0.1%,1532,0.1%,17.6%,5021000,-4078000 ( -44.8% ),270,-213 ( -44.1% ),717438100,37103,25
2016-12-09,17,0.3%,19,0.1%,2552,0.1%,17.8%,8704500,3683500 ( 73.4% ),453,183 ( 67.8% ),726142600,37556,16
2016-12-10,15,0.3%,17,0.1%,2149,0.1%,34.1%,14135600,5431100 ( 62.4% ),732,279 ( 61.6% ),740278200,38288,14
2016-12-11,16,0.3%,18,0.1%,2319,0.1%,42.0%,18835500,4699900 ( 33.2% ),973,241 ( 32.9% ),759113700,39261,12
2016-12-12,14,0.3%,20,0.1%,2263,0.1%,18.6%,8140500,-10695000 ( -56.8% ),421,-552 ( -56.7% ),767254200,39682,15
2016-12-13,14,0.3%,19,0.1%,2178,0.1%,20.1%,8288500,148000 ( 1.8% ),438,17 ( 4.0% ),775542700,40120,20
2016-12-14,8,0.2%,13,0.1%,1633,0.1%,15.6%,4940500,-3348000 ( -40.4% ),255,-183 ( -41.8% ),780483200,40375,24
2016-12-15,8,0.2%,11,0.1%,1441,0.1%,20.3%,5607500,667000 ( 13.5% ),293,38 ( 14.9% ),786090700,40668,30
