날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-09-21,1,0.0%,1,0%,213,0.0%,96.2%,1435000,1435000 ( 100.0% ),205,205 ( 100.0% ),1435000,205,34
2016-09-22,4,0.1%,6,0%,1256,0.1%,92.9%,8320000,6885000 ( 479.8% ),1167,962 ( 469.3% ),9755000,1372,17
2016-09-26,3,0.1%,5,0%,1008,0.0%,82.3%,7470000,7470000 ( 100.0% ),830,830 ( 100.0% ),17225000,2202,16
2016-09-27,5,0.1%,5,0%,1007,0.0%,100.0%,8056000,586000 ( 7.8% ),1007,177 ( 21.3% ),25281000,3209,14
2016-09-28,480,10.1%,1890,12.6%,272493,11.0%,29.6%,483198800,475142800 ( 5898.0% ),80715,79708 ( 7915.4% ),508479800,83924,2
2016-09-29,497,10.4%,1997,12.9%,292111,11.4%,21.5%,464766100,-18432700 ( -3.8% ),62830,-17885 ( -22.2% ),973245900,146754,2
2016-09-30,553,11.2%,2144,13.4%,314610,12.0%,32.0%,802712932,337946832 ( 72.7% ),100537,37707 ( 60.0% ),1775958832,247291,2
2016-10-01,683,12.1%,2561,15.1%,395336,14.3%,54.0%,1776555310,973842378 ( 121.3% ),213328,112791 ( 112.2% ),3552514142,460619,2
2016-10-02,810,14.1%,2915,17.1%,454595,16.4%,62.0%,2351243050,574687740 ( 32.3% ),281841,68513 ( 32.1% ),5903757192,742460,2
2016-10-03,904,15.8%,3181,19.4%,512939,19.1%,60.7%,2576363200,225120150 ( 9.6% ),311381,29540 ( 10.5% ),8480120392,1053841,1
2016-10-04,701,15.0%,2986,19.7%,510746,20.4%,21.3%,820351900,-1756011300 ( -68.2% ),108590,-202791 ( -65.1% ),9300472292,1162431,1
2016-10-05,740,16.0%,3212,20.7%,620877,24.2%,14.7%,701705700,-118646200 ( -14.5% ),91524,-17066 ( -15.7% ),10002177992,1253955,1
2016-10-06,736,14.6%,3202,20.4%,638573,24.6%,13.1%,640207600,-61498100 ( -8.8% ),83436,-8088 ( -8.8% ),10642385592,1337391,1
2016-10-07,801,15.4%,3466,21.5%,691530,26.1%,21.6%,1242624595,602416995 ( 94.1% ),149549,66113 ( 79.2% ),11885010187,1486940,1
2016-10-08,899,14.9%,3975,23.2%,795664,28.4%,34.5%,2335024777,1092400182 ( 87.9% ),274899,125350 ( 83.8% ),14220034964,1761839,1
2016-10-09,899,15.0%,3898,23.4%,781929,28.7%,30.2%,1995901800,-339122977 ( -14.5% ),236247,-38652 ( -14.1% ),16215936764,1998086,1
2016-10-10,767,16.0%,3446,22.8%,708854,28.2%,9.1%,491161400,-1504740400 ( -75.4% ),64656,-171591 ( -72.6% ),16707098164,2062742,1
2016-10-11,790,16.3%,3444,23%,708216,28.5%,8.4%,442119100,-49042300 ( -10.0% ),59671,-4985 ( -7.7% ),17149217264,2122413,1
2016-10-12,795,16.3%,3458,22.9%,713797,28.4%,8.7%,401634000,-40485100 ( -9.2% ),62371,2700 ( 4.5% ),17550851264,2184784,1
2016-10-13,597,12.1%,2421,15.5%,456563,17.6%,7.6%,259926000,-141708000 ( -35.3% ),34616,-27755 ( -44.5% ),17810777264,2219400,2
2016-10-14,623,12.2%,2556,15.7%,476254,17.7%,11.9%,453639572,193713572 ( 74.5% ),56681,22065 ( 63.7% ),18264416836,2276081,2
2016-10-15,649,11.4%,2811,16%,497474,17.2%,22.7%,947852300,494212728 ( 108.9% ),113149,56468 ( 99.6% ),19212269136,2389230,2
2016-10-16,623,11.0%,2671,15.6%,475478,16.8%,21.5%,855459050,-92393250 ( -9.7% ),102417,-10732 ( -9.5% ),20067728186,2491647,2
2016-10-17,544,11.2%,2200,14.2%,408932,15.8%,4.8%,149868100,-705590950 ( -82.5% ),19801,-82616 ( -80.7% ),20217596286,2511448,2
2016-10-18,556,11.1%,2154,14%,398199,15.5%,4.9%,144460000,-5408100 ( -3.6% ),19500,-301 ( -1.5% ),20362056286,2530948,2
2016-10-19,409,8.0%,1152,7.6%,180340,7.1%,7.5%,96841700,-47618300 ( -33.0% ),13522,-5978 ( -30.7% ),20458897986,2544470,3
2016-10-20,403,8.1%,993,6.4%,154148,5.9%,7.9%,90326400,-6515300 ( -6.7% ),12166,-1356 ( -10.0% ),20549224386,2556636,3
2016-10-21,432,8.3%,1073,6.6%,159201,5.9%,13.6%,170085300,79758900 ( 88.3% ),21674,9508 ( 78.2% ),20719309686,2578310,3
