날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-11-02,1,0.0%,1,0%,36,0.0%,69.4%,125000,125000 ( 100.0% ),25,25 ( 100.0% ),125000,25,84
2017-11-06,5,0.1%,7,0%,2122,0.1%,98.9%,16774000,16774000 ( 100.0% ),2098,2098 ( 100.0% ),16899000,2123,7
2017-11-08,5,0.1%,5,0%,662,0.0%,75.5%,4000000,4000000 ( 100.0% ),500,500 ( 100.0% ),20899000,2623,19
2017-11-09,625,10.6%,3110,17.4%,512250,17.6%,9.9%,371690200,367690200 ( 9192.3% ),50553,50053 ( 10010.6% ),392589200,53176,2
2017-11-10,635,10.5%,3109,16.8%,513889,17.1%,8.0%,337641286,-34048914 ( -9.2% ),40934,-9619 ( -19.0% ),730230486,94110,4
2017-11-11,609,9.2%,2931,14.8%,490269,15.4%,11.3%,469104778,131463492 ( 38.9% ),55584,14650 ( 35.8% ),1199335264,149694,5
2017-11-12,583,8.8%,2597,13.5%,439154,14.1%,9.8%,362828900,-106275878 ( -22.7% ),43168,-12416 ( -22.3% ),1562164164,192862,5
2017-11-13,531,9.1%,2315,13.4%,370116,13.1%,4.6%,123781500,-239047400 ( -65.9% ),16872,-26296 ( -60.9% ),1685945664,209734,5
2017-11-14,525,8.8%,2204,12.9%,356180,12.7%,4.3%,112299200,-11482300 ( -9.3% ),15278,-1594 ( -9.4% ),1798244864,225012,5
2017-11-15,390,5.8%,695,4%,104668,3.8%,5.2%,40626000,-71673200 ( -63.8% ),5479,-9799 ( -64.1% ),1838870864,230491,10
2017-11-16,106,1.8%,158,0.9%,20673,0.7%,6.1%,8631800,-31994200 ( -78.8% ),1259,-4220 ( -77.0% ),1847502664,231750,16
2017-11-17,121,2.0%,181,1%,23777,0.8%,5.9%,10574400,1942600 ( 22.5% ),1394,135 ( 10.7% ),1858077064,233144,14
2017-11-18,111,1.8%,155,0.8%,20071,0.7%,7.2%,10752500,178100 ( 1.7% ),1439,45 ( 3.2% ),1868829564,234583,16
2017-11-19,103,1.7%,146,0.8%,19476,0.6%,7.4%,11227100,474600 ( 4.4% ),1433,-6 ( -0.4% ),1880056664,236016,15
2017-11-20,102,1.8%,150,0.9%,19424,0.7%,4.0%,5403900,-5823200 ( -51.9% ),783,-650 ( -45.4% ),1885460564,236799,15
2017-11-21,104,1.8%,148,0.9%,19291,0.7%,4.4%,5986000,582100 ( 10.8% ),851,68 ( 8.7% ),1891446564,237650,16
2017-11-22,28,0.5%,32,0.2%,3404,0.1%,10.1%,2553000,-3433000 ( -57.4% ),343,-508 ( -59.7% ),1893999564,237993,22
2017-11-23,9,0.2%,12,0.1%,1288,0.0%,4.8%,424000,-2129000 ( -83.4% ),62,-281 ( -81.9% ),1894423564,238055,83
2017-11-24,9,0.2%,11,0.1%,1273,0.0%,5.3%,540000,116000 ( 27.4% ),67,5 ( 8.1% ),1894963564,238122,69
2017-11-25,9,0.1%,9,0%,1029,0.0%,8.0%,671000,131000 ( 24.3% ),82,15 ( 22.4% ),1895634564,238204,71
2017-11-26,8,0.1%,10,0.1%,1029,0.0%,3.3%,248000,-423000 ( -63.0% ),34,-48 ( -58.5% ),1895882564,238238,96
2017-11-27,10,0.2%,14,0.1%,1837,0.1%,3.3%,414000,166000 ( 66.9% ),60,26 ( 76.5% ),1896296564,238298,63
2017-11-28,29,0.5%,30,0.2%,4324,0.2%,4.3%,1146000,732000 ( 176.8% ),186,126 ( 210.0% ),1897442564,238484,41
2017-11-29,7,0.1%,9,0.1%,884,0.0%,4.9%,131000,-1015000 ( -88.6% ),43,-143 ( -76.9% ),1897573564,238527,84
2017-11-30,5,0.1%,5,0%,521,0.0%,1.0%,11000,-120000 ( -91.6% ),5,-38 ( -88.4% ),1897584564,238532,111
2017-12-01,5,0.1%,5,0%,521,0.0%,1.0%,11000,0 ( 0.0% ),5,0 ( 0.0% ),1897595564,238537,133
2017-12-02,5,0.1%,5,0%,521,0.0%,1.0%,11000,0 ( 0.0% ),5,0 ( 0.0% ),1897606564,238542,135
2017-12-03,5,0.1%,5,0%,521,0.0%,1.0%,11000,0 ( 0.0% ),5,0 ( 0.0% ),1897617564,238547,133
2017-12-04,5,0.1%,5,0%,521,0.0%,1.0%,11000,0 ( 0.0% ),5,0 ( 0.0% ),1897628564,238552,122
2017-12-05,5,0.1%,5,0%,521,0.0%,1.0%,11000,0 ( 0.0% ),5,0 ( 0.0% ),1897639564,238557,134
2017-12-06,5,0.1%,5,0%,521,0.0%,1.0%,11000,0 ( 0.0% ),5,0 ( 0.0% ),1897650564,238562,136
2017-12-07,5,0.1%,5,0%,521,0.0%,1.0%,11000,0 ( 0.0% ),5,0 ( 0.0% ),1897661564,238567,125
2017-12-08,5,0.1%,5,0%,521,0.0%,1.0%,11000,0 ( 0.0% ),5,0 ( 0.0% ),1897672564,238572,120
2017-12-09,5,0.1%,5,0%,521,0.0%,1.0%,11000,0 ( 0.0% ),5,0 ( 0.0% ),1897683564,238577,126
2017-12-10,5,0.1%,5,0%,521,0.0%,1.0%,11000,0 ( 0.0% ),5,0 ( 0.0% ),1897694564,238582,120
