날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-08-16,1,0.0%,1,0%,386,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),0,0,110
2018-09-05,1,0.0%,1,0%,200,0.0%,100.0%,1800000,1800000 ( 100.0% ),200,200 ( 100.0% ),1800000,200,27
2018-09-11,3,0.1%,3,0%,340,0.0%,88.2%,2690000,2690000 ( 100.0% ),300,300 ( 100.0% ),4490000,500,25
2018-09-12,96,1.9%,98,0.5%,13169,0.4%,2.5%,2451000,-239000 ( -8.9% ),335,35 ( 11.7% ),6941000,835,20
2018-09-13,98,1.9%,101,0.5%,13140,0.4%,5.7%,4431700,1980700 ( 80.8% ),752,417 ( 124.5% ),11372700,1587,19
2018-09-14,109,2.1%,112,0.6%,13937,0.5%,5.5%,5408800,977100 ( 22.0% ),766,14 ( 1.9% ),16781500,2353,17
2018-09-15,280,5.0%,405,2%,50753,1.6%,11.5%,45017500,39608700 ( 732.3% ),5853,5087 ( 664.1% ),61799000,8206,7
2018-09-16,280,5.0%,405,2%,50965,1.6%,10.7%,42472000,-2545500 ( -5.7% ),5443,-410 ( -7.0% ),104271000,13649,8
2018-09-17,84,1.7%,87,0.5%,11800,0.4%,2.9%,2228100,-40243900 ( -94.8% ),347,-5096 ( -93.6% ),106499100,13996,23
2018-09-18,100,2.0%,105,0.6%,14071,0.5%,4.5%,3960300,1732200 ( 77.7% ),635,288 ( 83.0% ),110459400,14631,21
2018-09-19,21,0.4%,23,0.1%,2545,0.1%,13.4%,2165000,-1795300 ( -45.3% ),340,-295 ( -46.5% ),112624400,14971,16
2018-09-20,1,0.0%,1,0%,231,0.0%,87.9%,1015000,-1150000 ( -53.1% ),203,-137 ( -40.3% ),113639400,15174,29
2018-09-21,5,0.1%,5,0%,429,0.0%,56.4%,1284000,269000 ( 26.5% ),242,39 ( 19.2% ),114923400,15416,26
2018-09-22,2,0.0%,2,0%,185,0.0%,20.0%,202000,-1082000 ( -84.3% ),37,-205 ( -84.7% ),115125400,15453,55
2018-09-23,3,0.0%,3,0%,244,0.0%,15.6%,219000,17000 ( 8.4% ),38,1 ( 2.7% ),115344400,15491,48
2018-09-24,2,0.0%,2,0%,168,0.0%,27.4%,307000,88000 ( 40.2% ),46,8 ( 21.1% ),115651400,15537,45
2018-09-25,3,0.0%,3,0%,255,0.0%,40.4%,649000,342000 ( 111.4% ),103,57 ( 123.9% ),116300400,15640,35
2018-09-26,1,0.0%,1,0%,70,0.0%,17.1%,84000,-565000 ( -87.1% ),12,-91 ( -88.3% ),116384400,15652,83
2018-09-27,2,0.0%,2,0%,180,0.0%,25.6%,232000,148000 ( 176.2% ),46,34 ( 283.3% ),116616400,15698,52
2018-09-28,2,0.0%,2,0%,352,0.0%,37.8%,715000,483000 ( 208.2% ),133,87 ( 189.1% ),117331400,15831,39
2018-09-29,3,0.1%,3,0%,253,0.0%,74.3%,1859000,1144000 ( 160.0% ),188,55 ( 41.4% ),119190400,16019,32
2018-09-30,5,0.1%,5,0%,361,0.0%,69.8%,2502000,643000 ( 34.6% ),252,64 ( 34.0% ),121692400,16271,27
2018-10-01,1,0.0%,1,0%,120,0.0%,63.3%,380000,-2122000 ( -84.8% ),76,-176 ( -69.8% ),122072400,16347,43
2018-10-02,1,0.0%,1,0%,129,0.0%,39.5%,255000,-125000 ( -32.9% ),51,-25 ( -32.9% ),122327400,16398,58
2018-10-05,1,0.0%,1,0%,119,0.0%,52.9%,382000,382000 ( 100.0% ),63,63 ( 100.0% ),122709400,16461,37
2018-10-18,1,0.0%,1,0%,116,0.0%,37.9%,222000,222000 ( 100.0% ),44,44 ( 100.0% ),122931400,16505,53
