날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-09-29,1,0.0%,1,0%,274,0.0%,100.0%,2192000,2192000 ( 100.0% ),274,274 ( 100.0% ),2192000,274,31
2016-10-06,2,0.0%,2,0%,469,0.0%,100.0%,3752000,3752000 ( 100.0% ),469,469 ( 100.0% ),5944000,743,22
2016-10-11,10,0.2%,10,0.1%,2051,0.1%,100.0%,16408000,16408000 ( 100.0% ),2051,2051 ( 100.0% ),22352000,2794,10
2016-10-12,1,0.0%,1,0%,208,0.0%,100.0%,1664000,-14744000 ( -89.9% ),208,-1843 ( -89.9% ),24016000,3002,33
2016-10-13,388,7.9%,1524,9.7%,237824,9.2%,5.3%,93436700,91772700 ( 5515.2% ),12687,12479 ( 5999.5% ),117452700,15689,4
2016-10-14,412,8.0%,1551,9.6%,241709,9.0%,5.7%,111343700,17907000 ( 19.2% ),13790,1103 ( 8.7% ),228796400,29479,5
2016-10-15,422,7.4%,1341,7.6%,197764,6.8%,9.8%,163462400,52118700 ( 46.8% ),19450,5660 ( 41.0% ),392258800,48929,5
2016-10-16,421,7.4%,1283,7.5%,189848,6.7%,11.1%,176572200,13109800 ( 8.0% ),21105,1655 ( 8.5% ),568831000,70034,4
2016-10-17,389,8.0%,1244,8.1%,197640,7.6%,3.7%,53286200,-123286000 ( -69.8% ),7279,-13826 ( -65.5% ),622117200,77313,5
2016-10-18,397,7.9%,1215,7.9%,191835,7.5%,3.8%,53812800,526600 ( 1.0% ),7287,8 ( 0.1% ),675930000,84600,5
2016-10-19,236,4.6%,388,2.5%,54463,2.1%,4.1%,16409000,-37403800 ( -69.5% ),2219,-5068 ( -69.5% ),692339000,86819,10
2016-10-20,185,3.7%,284,1.8%,40656,1.6%,3.9%,10992000,-5417000 ( -33.0% ),1590,-629 ( -28.3% ),703331000,88409,14
2016-10-21,197,3.8%,296,1.8%,41618,1.5%,4.2%,13507100,2515100 ( 22.9% ),1750,160 ( 10.1% ),716838100,90159,12
2016-10-22,164,2.9%,220,1.3%,30862,1.1%,5.5%,13969500,462400 ( 3.4% ),1692,-58 ( -3.3% ),730807600,91851,19
2016-10-23,165,3.0%,227,1.3%,32695,1.2%,5.4%,14740500,771000 ( 5.5% ),1781,89 ( 5.3% ),745548100,93632,19
2016-10-24,159,3.3%,249,1.6%,36976,1.5%,2.7%,7214500,-7526000 ( -51.1% ),990,-791 ( -44.4% ),752762600,94622,16
2016-10-25,157,2.6%,226,1.4%,33778,1.3%,2.9%,6763500,-451000 ( -6.3% ),965,-25 ( -2.5% ),759526100,95587,15
2016-10-26,16,0.4%,20,0.1%,2889,0.1%,3.1%,614500,-6149000 ( -90.9% ),89,-876 ( -90.8% ),760140600,95676,54
2016-10-27,13,0.3%,14,0.1%,1989,0.1%,6.0%,735000,120500 ( 19.6% ),120,31 ( 34.8% ),760875600,95796,45
2016-10-28,17,0.4%,22,0.1%,3973,0.1%,2.5%,820000,85000 ( 11.6% ),101,-19 ( -15.8% ),761695600,95897,46
2016-10-29,20,0.4%,24,0.1%,3675,0.1%,3.3%,964000,144000 ( 17.6% ),121,20 ( 19.8% ),762659600,96018,43
2016-10-30,19,0.4%,19,0.1%,3194,0.1%,3.7%,993000,29000 ( 3.0% ),118,-3 ( -2.5% ),763652600,96136,42
2016-10-31,18,0.4%,21,0.1%,3955,0.1%,2.2%,622000,-371000 ( -37.4% ),88,-30 ( -25.4% ),764274600,96224,41
2016-11-01,17,0.4%,20,0.1%,3275,0.1%,3.1%,701000,79000 ( 12.7% ),101,13 ( 14.8% ),764975600,96325,45
2016-11-02,20,0.5%,27,0.2%,4872,0.2%,2.4%,839000,138000 ( 19.7% ),118,17 ( 16.8% ),765814600,96443,42
2016-11-03,3,0.1%,3,0%,761,0.0%,0.7%,34000,-805000 ( -95.9% ),5,-113 ( -95.8% ),765848600,96448,87
2016-11-04,5,0.1%,5,0%,791,0.0%,1.5%,89000,55000 ( 161.8% ),12,7 ( 140.0% ),765937600,96460,73
2016-11-05,5,0.1%,5,0%,756,0.0%,1.7%,108000,19000 ( 21.3% ),13,1 ( 8.3% ),766045600,96473,93
2016-11-06,4,0.1%,4,0%,616,0.0%,2.4%,112000,4000 ( 3.7% ),15,2 ( 15.4% ),766157600,96488,81
2016-11-07,3,0.1%,3,0%,508,0.0%,1.2%,41000,-71000 ( -63.4% ),6,-9 ( -60.0% ),766198600,96494,79
2016-11-08,2,0.0%,2,0%,424,0.0%,1.2%,36000,-5000 ( -12.2% ),5,-1 ( -16.7% ),766234600,96499,88
2016-11-09,3,0.1%,3,0%,469,0.0%,1.5%,51000,15000 ( 41.7% ),7,2 ( 40.0% ),766285600,96506,94
2016-11-11,4,0.1%,4,0%,761,0.0%,1.7%,108000,108000 ( 100.0% ),13,13 ( 100.0% ),766393600,96519,99
2016-11-12,5,0.1%,5,0%,846,0.0%,3.9%,294000,186000 ( 172.2% ),33,20 ( 153.8% ),766687600,96552,81
2016-11-13,2,0.0%,2,0%,320,0.0%,2.5%,71000,-223000 ( -75.9% ),8,-25 ( -75.8% ),766758600,96560,103
2016-11-14,5,0.1%,5,0%,873,0.0%,2.2%,134000,63000 ( 88.7% ),19,11 ( 137.5% ),766892600,96579,71
