날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-05-11,1,0.0%,1,0%,151,0.0%,100.0%,1196000,1196000 ( 100.0% ),151,151 ( 100.0% ),1196000,151,40
2016-05-17,2,0.0%,2,0%,452,0.0%,100.0%,4068000,4068000 ( 100.0% ),452,452 ( 100.0% ),5264000,603,19
2016-05-18,5,0.1%,5,0%,1099,0.0%,100.0%,9282000,5214000 ( 128.2% ),1099,647 ( 143.1% ),14546000,1702,8
2016-05-19,1,0.0%,1,0%,176,0.0%,0.6%,7000,-9275000 ( -99.9% ),1,-1098 ( -99.9% ),14553000,1703,92
2016-11-10,29,0.6%,48,0.3%,7312,0.3%,2.1%,1073000,1073000 ( 100.0% ),154,154 ( 100.0% ),15626000,1857,42
2016-11-11,30,0.6%,51,0.3%,7650,0.3%,3.6%,2261000,1188000 ( 110.7% ),278,124 ( 80.5% ),17887000,2135,30
2016-11-12,29,0.5%,35,0.2%,4473,0.2%,5.4%,2054500,-206500 ( -9.1% ),240,-38 ( -13.7% ),19941500,2375,35
2016-11-13,28,0.5%,38,0.2%,4767,0.2%,5.6%,2220500,166000 ( 8.1% ),267,27 ( 11.3% ),22162000,2642,29
2016-11-14,31,0.7%,41,0.3%,6427,0.3%,2.4%,1081000,-1139500 ( -51.3% ),157,-110 ( -41.2% ),23243000,2799,31
2016-11-15,29,0.6%,37,0.2%,5830,0.2%,2.7%,1105500,24500 ( 2.3% ),160,3 ( 1.9% ),24348500,2959,42
2016-11-16,10,0.2%,10,0.1%,1337,0.1%,1.7%,163500,-942000 ( -85.2% ),23,-137 ( -85.6% ),24512000,2982,84
2016-11-17,1,0.0%,1,0%,268,0.0%,1.9%,31000,-132500 ( -81.0% ),5,-18 ( -78.3% ),24543000,2987,116
2016-11-20,1,0.0%,1,0%,124,0.0%,23.4%,293500,293500 ( 100.0% ),29,29 ( 100.0% ),24836500,3016,76
2016-11-21,1,0.0%,2,0%,316,0.0%,7.3%,171000,-122500 ( -41.7% ),23,-6 ( -20.7% ),25007500,3039,73
2016-11-22,2,0.0%,3,0%,367,0.0%,5.2%,140000,-31000 ( -18.1% ),19,-4 ( -17.4% ),25147500,3058,96
2016-11-23,3,0.1%,3,0%,510,0.0%,2.0%,62000,-78000 ( -55.7% ),10,-9 ( -47.4% ),25209500,3068,91
2016-11-29,1,0.0%,1,0%,51,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),25209500,3068,136
2016-12-07,1,0.0%,1,0%,51,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),25209500,3068,140
