날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-10-27,1,0.0%,1,0%,401,0.0%,100.0%,2406000,2406000 ( 100.0% ),401,401 ( 100.0% ),2406000,401,30
2017-11-21,3,0.1%,3,0%,707,0.0%,100.0%,5656000,5656000 ( 100.0% ),707,707 ( 100.0% ),8062000,1108,19
2017-11-23,8,0.1%,8,0%,2668,0.1%,100.0%,21344000,21344000 ( 100.0% ),2668,2668 ( 100.0% ),29406000,3776,13
2017-11-24,14,0.2%,14,0.1%,2422,0.1%,100.0%,21798000,454000 ( 2.1% ),2422,-246 ( -9.2% ),51204000,6198,11
2017-11-27,2,0.0%,2,0%,506,0.0%,100.0%,4554000,4554000 ( 100.0% ),506,506 ( 100.0% ),55758000,6704,18
2017-11-28,3,0.1%,3,0%,731,0.0%,77.0%,5067000,513000 ( 11.3% ),563,57 ( 11.3% ),60825000,7267,23
2017-11-29,557,10.3%,2591,14.7%,396596,13.8%,15.1%,355845700,350778700 ( 6922.8% ),59907,59344 ( 10540.7% ),416670700,67174,4
2017-11-30,554,10.1%,2489,14.3%,373954,13.2%,10.0%,264702100,-91143600 ( -25.6% ),37426,-22481 ( -37.5% ),681372800,104600,4
2017-12-01,565,10.3%,2452,13.7%,362955,12.4%,10.6%,304962845,40260745 ( 15.2% ),38542,1116 ( 3.0% ),986335645,143142,4
2017-12-02,518,8.9%,2318,12.1%,324780,10.5%,20.4%,544461227,239498382 ( 78.5% ),66161,27619 ( 71.7% ),1530796872,209303,4
2017-12-03,537,9.2%,2244,12%,315066,10.4%,21.3%,556699700,12238473 ( 2.2% ),67170,1009 ( 1.5% ),2087496572,276473,4
2017-12-04,512,10.0%,2177,12.9%,299202,10.8%,8.5%,184480400,-372219300 ( -66.9% ),25360,-41810 ( -62.2% ),2271976972,301833,4
2017-12-05,535,10.1%,2148,12.7%,295048,10.7%,9.0%,191345900,6865500 ( 3.7% ),26474,1114 ( 4.4% ),2463322872,328307,4
2017-12-06,551,10.5%,2104,12.6%,289952,10.6%,7.8%,162301900,-29044000 ( -15.2% ),22731,-3743 ( -14.1% ),2625624772,351038,4
2017-12-07,405,6.5%,932,5.4%,122095,4.3%,11.1%,93068200,-69233700 ( -42.7% ),13530,-9201 ( -40.5% ),2718692972,364568,7
2017-12-08,397,6.1%,908,5.1%,121475,4.2%,12.1%,105628000,12559800 ( 13.5% ),14679,1149 ( 8.5% ),2824320972,379247,7
2017-12-09,387,5.6%,759,3.9%,98491,3.2%,17.6%,138704800,33076800 ( 31.3% ),17306,2627 ( 17.9% ),2963025772,396553,7
2017-12-10,392,5.7%,735,3.9%,95765,3.1%,17.7%,138875900,171100 ( 0.1% ),16981,-325 ( -1.9% ),3101901672,413534,7
2017-12-11,386,6.4%,809,4.8%,105296,3.8%,8.8%,65077800,-73798100 ( -53.1% ),9313,-7668 ( -45.2% ),3166979472,422847,7
2017-12-12,383,6.2%,791,4.8%,104095,3.9%,8.5%,60620700,-4457100 ( -6.8% ),8809,-504 ( -5.4% ),3227600172,431656,7
2017-12-13,393,6.3%,788,4.8%,103177,3.8%,9.6%,66474600,5853900 ( 9.7% ),9949,1140 ( 12.9% ),3294074772,441605,7
2017-12-14,46,0.8%,53,0.3%,6183,0.2%,29.1%,12494000,-53980600 ( -81.2% ),1802,-8147 ( -81.9% ),3306568772,443407,16
2017-12-15,47,0.8%,56,0.3%,6942,0.3%,20.0%,7801500,-4692500 ( -37.6% ),1389,-413 ( -22.9% ),3314370272,444796,14
2017-12-16,30,0.5%,36,0.2%,4889,0.2%,8.0%,2694000,-5107500 ( -65.5% ),392,-997 ( -71.8% ),3317064272,445188,25
2017-12-17,32,0.5%,36,0.2%,4424,0.2%,9.5%,3077500,383500 ( 14.2% ),421,29 ( 7.4% ),3320141772,445609,20
2017-12-18,32,0.6%,41,0.3%,4643,0.2%,3.6%,1061000,-2016500 ( -65.5% ),168,-253 ( -60.1% ),3321202772,445777,36
2017-12-19,36,0.6%,44,0.3%,4903,0.2%,9.6%,2550000,1489000 ( 140.3% ),470,302 ( 179.8% ),3323752772,446247,22
2017-12-20,5,0.1%,5,0%,643,0.0%,13.5%,480000,-2070000 ( -81.2% ),87,-383 ( -81.5% ),3324232772,446334,43
2017-12-21,4,0.1%,4,0%,563,0.0%,33.0%,922000,442000 ( 92.1% ),186,99 ( 113.8% ),3325154772,446520,37
2017-12-22,2,0.0%,2,0%,87,0.0%,226.4%,985000,63000 ( 6.8% ),197,11 ( 5.9% ),3326139772,446717,33
2017-12-23,3,0.0%,3,0%,401,0.0%,11.7%,240000,-745000 ( -75.6% ),47,-150 ( -76.1% ),3326379772,446764,54
2017-12-26,2,0.0%,2,0%,251,0.0%,4.8%,44000,44000 ( 100.0% ),12,12 ( 100.0% ),3326423772,446776,68
2017-12-27,1,0.0%,1,0%,36,0.0%,11.1%,16000,-28000 ( -63.6% ),4,-8 ( -66.7% ),3326439772,446780,81
