날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-01-17,1,0.0%,4,0%,2180,0.1%,38.3%,10160000,10160000 ( 100.0% ),834,834 ( 100.0% ),10160000,834,24
2017-01-18,53,1.0%,87,0.5%,12900,0.5%,25.1%,41878600,31718600 ( 312.2% ),3237,2403 ( 288.1% ),52038600,4071,9
2017-01-19,58,1.0%,89,0.5%,13145,0.5%,23.2%,39515700,-2362900 ( -5.6% ),3048,-189 ( -5.8% ),91554300,7119,9
2017-01-20,53,0.9%,85,0.5%,12461,0.4%,26.3%,43207400,3691700 ( 9.3% ),3279,231 ( 7.6% ),134761700,10398,9
2017-01-21,54,0.9%,80,0.4%,11915,0.4%,42.3%,64286200,21078800 ( 48.8% ),5044,1765 ( 53.8% ),199047900,15442,9
2017-01-22,56,1.0%,79,0.5%,11869,0.4%,39.9%,58795600,-5490600 ( -8.5% ),4732,-312 ( -6.2% ),257843500,20174,9
2017-01-23,56,1.0%,88,0.5%,13538,0.5%,16.1%,28532000,-30263600 ( -51.5% ),2180,-2552 ( -53.9% ),286375500,22354,9
2017-01-24,57,1.0%,86,0.5%,12565,0.5%,24.2%,38506600,9974600 ( 35.0% ),3037,857 ( 39.3% ),324882100,25391,8
2017-01-28,1,0.0%,1,0%,167,0.0%,84.4%,1879000,1879000 ( 100.0% ),141,141 ( 100.0% ),326761100,25532,29
2017-01-30,1,0.0%,1,0%,167,0.0%,49.7%,1138600,1138600 ( 100.0% ),83,83 ( 100.0% ),327899700,25615,42
2017-01-31,1,0.0%,1,0%,200,0.0%,9.5%,238000,-900600 ( -79.1% ),19,-64 ( -77.1% ),328137700,25634,66
2017-02-01,8,0.1%,9,0.1%,1344,0.0%,12.7%,2242000,2004000 ( 842.0% ),171,152 ( 800.0% ),330379700,25805,36
2017-02-02,9,0.2%,9,0.1%,1334,0.0%,7.6%,1472500,-769500 ( -34.3% ),101,-70 ( -40.9% ),331852200,25906,52
2017-02-03,17,0.3%,17,0.1%,2951,0.1%,8.7%,3188600,1716100 ( 116.5% ),256,155 ( 153.5% ),335040800,26162,30
2017-02-04,9,0.2%,9,0.1%,1714,0.1%,23.7%,4779000,1590400 ( 49.9% ),406,150 ( 58.6% ),339819800,26568,25
2017-02-05,8,0.1%,8,0%,1580,0.1%,23.7%,4536000,-243000 ( -5.1% ),375,-31 ( -7.6% ),344355800,26943,27
2017-02-06,15,0.3%,15,0.1%,2585,0.1%,10.2%,3046500,-1489500 ( -32.8% ),263,-112 ( -29.9% ),347402300,27206,28
2017-02-07,13,0.2%,13,0.1%,2061,0.1%,9.7%,2287500,-759000 ( -24.9% ),200,-63 ( -24.0% ),349689800,27406,33
2017-02-08,2,0.0%,2,0%,347,0.0%,9.8%,494000,-1793500 ( -78.4% ),34,-166 ( -83.0% ),350183800,27440,55
