날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-01-10,2,0.0%,7,0%,3323,0.1%,22.7%,8991500,8991500 ( 100.0% ),753,753 ( 100.0% ),8991500,753,20
2017-01-11,69,1.2%,143,0.8%,30087,1.1%,16.9%,66408900,57417400 ( 638.6% ),5099,4346 ( 577.2% ),75400400,5852,10
2017-01-12,73,1.3%,144,0.8%,26619,0.9%,15.5%,54030500,-12378400 ( -18.6% ),4123,-976 ( -19.1% ),129430900,9975,11
2017-01-13,74,1.3%,137,0.8%,23667,0.8%,16.7%,52676600,-1353900 ( -2.5% ),3958,-165 ( -4.0% ),182107500,13933,12
2017-01-14,73,1.2%,138,0.8%,22888,0.8%,30.6%,94318400,41641800 ( 79.1% ),7014,3056 ( 77.2% ),276425900,20947,11
2017-01-15,71,1.2%,136,0.8%,22991,0.8%,26.1%,80450800,-13867600 ( -14.7% ),6010,-1004 ( -14.3% ),356876700,26957,11
2017-01-16,74,1.3%,132,0.8%,21605,0.8%,10.5%,30521900,-49928900 ( -62.1% ),2267,-3743 ( -62.3% ),387398600,29224,13
2017-01-17,71,1.2%,123,0.7%,18688,0.7%,13.9%,33943800,3421900 ( 11.2% ),2591,324 ( 14.3% ),421342400,31815,12
2017-01-18,12,0.2%,14,0.1%,1942,0.1%,12.3%,3032500,-30911300 ( -91.1% ),238,-2353 ( -90.8% ),424374900,32053,31
2017-01-19,11,0.2%,14,0.1%,1984,0.1%,17.4%,4473500,1441000 ( 47.5% ),345,107 ( 45.0% ),428848400,32398,26
2017-01-20,13,0.2%,16,0.1%,2269,0.1%,17.8%,5419000,945500 ( 21.1% ),405,60 ( 17.4% ),434267400,32803,20
2017-01-21,10,0.2%,14,0.1%,1764,0.1%,31.6%,7451900,2032900 ( 37.5% ),557,152 ( 37.5% ),441719300,33360,19
2017-01-22,10,0.2%,12,0.1%,1446,0.1%,22.8%,4302500,-3149400 ( -42.3% ),329,-228 ( -40.9% ),446021800,33689,21
2017-01-23,11,0.2%,13,0.1%,1908,0.1%,10.8%,2630500,-1672000 ( -38.9% ),206,-123 ( -37.4% ),448652300,33895,33
2017-01-24,12,0.2%,14,0.1%,2453,0.1%,22.3%,6144500,3514000 ( 133.6% ),548,342 ( 166.0% ),454796800,34443,18
2017-01-27,1,0.0%,1,0%,167,0.0%,26.3%,636000,636000 ( 100.0% ),44,44 ( 100.0% ),455432800,34487,49
2017-01-29,1,0.0%,1,0%,167,0.0%,32.3%,771500,771500 ( 100.0% ),54,54 ( 100.0% ),456204300,34541,47
2017-02-01,2,0.0%,2,0%,385,0.0%,13.8%,734000,734000 ( 100.0% ),53,53 ( 100.0% ),456938300,34594,50
2017-02-02,3,0.1%,3,0%,487,0.0%,7.8%,547000,-187000 ( -25.5% ),38,-15 ( -28.3% ),457485300,34632,66
2017-02-03,12,0.2%,12,0.1%,2331,0.1%,7.6%,2017600,1470600 ( 268.8% ),176,138 ( 363.2% ),459502900,34808,36
2017-02-04,8,0.1%,8,0%,1679,0.1%,17.5%,3254000,1236400 ( 61.3% ),294,118 ( 67.0% ),462756900,35102,29
2017-02-05,7,0.1%,7,0%,1545,0.1%,17.9%,3165000,-89000 ( -2.7% ),277,-17 ( -5.8% ),465921900,35379,31
2017-02-06,11,0.2%,11,0.1%,2172,0.1%,9.8%,2287500,-877500 ( -27.7% ),212,-65 ( -23.5% ),468209400,35591,34
2017-02-07,10,0.2%,10,0.1%,1782,0.1%,9.4%,1818500,-469000 ( -20.5% ),167,-45 ( -21.2% ),470027900,35758,39
