날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-08-11,1,0.0%,1,0%,166,0.0%,100.0%,1494000,1494000 ( 100.0% ),166,166 ( 100.0% ),1494000,166,32
2017-08-22,7,0.1%,8,0%,2865,0.1%,88.2%,22456000,22456000 ( 100.0% ),2526,2526 ( 100.0% ),23950000,2692,13
2017-08-23,3,0.1%,3,0%,794,0.0%,100.0%,6720000,-15736000 ( -70.1% ),794,-1732 ( -68.6% ),30670000,3486,21
2017-08-24,6,0.1%,6,0%,818,0.0%,98.8%,6848000,128000 ( 1.9% ),808,14 ( 1.8% ),37518000,4294,25
2017-08-25,2,0.0%,2,0%,430,0.0%,100.0%,5208000,-1640000 ( -23.9% ),430,-378 ( -46.8% ),42726000,4724,29
2017-08-26,41,0.6%,65,0.3%,10257,0.3%,15.9%,18657500,13449500 ( 258.2% ),1627,1197 ( 278.4% ),61383500,6351,21
2017-08-27,40,0.6%,62,0.3%,10030,0.3%,19.6%,22570500,3913000 ( 21.0% ),1967,340 ( 20.9% ),83954000,8318,18
2017-08-28,7,0.1%,7,0%,1130,0.0%,79.9%,9951000,-12619500 ( -55.9% ),903,-1064 ( -54.1% ),93905000,9221,18
2017-08-29,5,0.1%,5,0%,743,0.0%,67.3%,4000000,-5951000 ( -59.8% ),500,-403 ( -44.6% ),97905000,9721,23
2017-08-30,614,10.7%,2317,13.4%,421810,15.0%,16.8%,422633400,418633400 ( 10465.8% ),70846,70346 ( 14069.2% ),520538400,80567,4
2017-08-31,593,10.5%,2364,13.7%,448901,16.1%,8.9%,306544000,-116089400 ( -27.5% ),40080,-30766 ( -43.4% ),827082400,120647,4
2017-09-01,583,10.2%,2349,13.3%,448755,15.7%,10.4%,403912241,97368241 ( 31.8% ),46692,6612 ( 16.5% ),1230994641,167339,4
2017-09-02,629,9.8%,2453,13.2%,446812,14.8%,24.2%,931941067,528028826 ( 130.7% ),108271,61579 ( 131.9% ),2162935708,275610,3
2017-09-03,622,9.8%,2385,13.1%,436548,14.8%,21.7%,803811600,-128129467 ( -13.7% ),94528,-13743 ( -12.7% ),2966747308,370138,3
2017-09-04,559,10.3%,2215,13.5%,421851,15.7%,5.5%,179284200,-624527400 ( -77.7% ),23001,-71527 ( -75.7% ),3146031508,393139,4
2017-09-05,570,10.2%,2176,13.3%,410910,15.4%,5.0%,162187700,-17096500 ( -9.5% ),20730,-2271 ( -9.9% ),3308219208,413869,4
2017-09-06,419,7.8%,1044,6.3%,168461,6.2%,6.3%,77347300,-84840400 ( -52.3% ),10640,-10090 ( -48.7% ),3385566508,424509,6
2017-09-07,401,6.8%,924,5.5%,149509,5.4%,5.8%,63275600,-14071700 ( -18.2% ),8707,-1933 ( -18.2% ),3448842108,433216,7
2017-09-08,411,6.8%,891,5.2%,139670,5.0%,7.8%,88946700,25671100 ( 40.6% ),10886,2179 ( 25.0% ),3537788808,444102,6
2017-09-09,411,6.4%,805,4.3%,112824,3.8%,22.7%,184524300,95577600 ( 107.5% ),25559,14673 ( 134.8% ),3722313108,469661,7
2017-09-10,405,6.5%,786,4.4%,110727,3.8%,19.6%,177108900,-7415400 ( -4.0% ),21660,-3899 ( -15.3% ),3899422008,491321,7
2017-09-11,386,6.8%,784,4.8%,122967,4.6%,4.8%,43330900,-133778000 ( -75.5% ),5954,-15706 ( -72.5% ),3942752908,497275,7
2017-09-12,375,6.6%,751,4.6%,116451,4.4%,4.2%,36006000,-7324900 ( -16.9% ),4946,-1008 ( -16.9% ),3978758908,502221,7
2017-09-13,333,5.5%,582,3.6%,93931,3.5%,4.1%,27441700,-8564300 ( -23.8% ),3828,-1118 ( -22.6% ),4006200608,506049,8
2017-09-14,34,0.6%,45,0.3%,6331,0.2%,6.0%,2855000,-24586700 ( -89.6% ),378,-3450 ( -90.1% ),4009055608,506427,30
2017-09-15,39,0.7%,47,0.3%,7035,0.2%,9.1%,4886300,2031300 ( 71.1% ),640,262 ( 69.3% ),4013941908,507067,24
2017-09-16,39,0.6%,45,0.2%,5996,0.2%,18.6%,9448200,4561900 ( 93.4% ),1113,473 ( 73.9% ),4023390108,508180,24
2017-09-17,34,0.5%,42,0.2%,5819,0.2%,17.6%,8434300,-1013900 ( -10.7% ),1023,-90 ( -8.1% ),4031824408,509203,22
2017-09-18,34,0.6%,47,0.3%,6373,0.2%,5.0%,2313000,-6121300 ( -72.6% ),318,-705 ( -68.9% ),4034137408,509521,29
2017-09-19,31,0.5%,40,0.2%,5452,0.2%,5.4%,2104500,-208500 ( -9.0% ),294,-24 ( -7.5% ),4036241908,509815,35
2017-09-20,31,0.5%,41,0.3%,5542,0.2%,5.4%,2279500,175000 ( 8.3% ),299,5 ( 1.7% ),4038521408,510114,36
2017-09-21,1,0.0%,1,0%,95,0.0%,1.1%,5000,-2274500 ( -99.8% ),1,-298 ( -99.7% ),4038526408,510115,141
