날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-10-17,3,0.1%,3,0%,403,0.0%,74.4%,2400000,2400000 ( 100.0% ),300,300 ( 100.0% ),2400000,300,24
2017-10-18,2,0.0%,2,0%,334,0.0%,59.9%,1600000,-800000 ( -33.3% ),200,-100 ( -33.3% ),4000000,500,32
2017-10-19,1,0.0%,1,0%,218,0.0%,100.0%,1744000,144000 ( 9.0% ),218,18 ( 9.0% ),5744000,718,30
2017-10-20,1,0.0%,1,0%,229,0.0%,43.7%,800000,-944000 ( -54.1% ),100,-118 ( -54.1% ),6544000,818,43
2017-10-21,1,0.0%,1,0%,247,0.0%,100.0%,2223000,1423000 ( 177.9% ),247,147 ( 147.0% ),8767000,1065,32
2017-10-23,5,0.1%,5,0%,699,0.0%,71.5%,4000000,4000000 ( 100.0% ),500,500 ( 100.0% ),12767000,1565,21
2017-10-24,5,0.1%,5,0%,769,0.0%,64.2%,3932000,-68000 ( -1.7% ),494,-6 ( -1.2% ),16699000,2059,22
2017-10-25,2,0.0%,2,0%,411,0.0%,53.8%,1762000,-2170000 ( -55.2% ),221,-273 ( -55.3% ),18461000,2280,31
2017-10-26,125,2.3%,132,0.8%,16041,0.6%,3.5%,3663000,1901000 ( 107.9% ),559,338 ( 152.9% ),22124000,2839,23
2017-10-27,150,2.8%,162,0.9%,19113,0.7%,5.6%,7099000,3436000 ( 93.8% ),1071,512 ( 91.6% ),29223000,3910,13
2017-10-28,287,5.1%,376,2.1%,44299,1.5%,15.4%,48890700,41791700 ( 588.7% ),6840,5769 ( 538.7% ),78113700,10750,7
2017-10-29,293,5.2%,388,2.2%,46150,1.6%,13.4%,45217400,-3673300 ( -7.5% ),6182,-658 ( -9.6% ),123331100,16932,8
2017-10-30,121,2.4%,137,0.8%,15988,0.6%,4.6%,4721000,-40496400 ( -89.6% ),740,-5442 ( -88.0% ),128052100,17672,15
2017-10-31,121,2.3%,128,0.8%,15887,0.6%,5.4%,5318500,597500 ( 12.7% ),855,115 ( 15.5% ),133370600,18527,17
2017-11-01,118,2.3%,134,0.8%,16806,0.6%,6.3%,6336000,1017500 ( 19.1% ),1051,196 ( 22.9% ),139706600,19578,14
2017-11-02,16,0.3%,17,0.1%,1535,0.1%,31.8%,2653500,-3682500 ( -58.1% ),488,-563 ( -53.6% ),142360100,20066,22
2017-11-03,17,0.3%,17,0.1%,1602,0.1%,12.1%,1132000,-1521500 ( -57.3% ),194,-294 ( -60.2% ),143492100,20260,36
