날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-03-22,2,0.0%,2,0%,415,0.0%,100.0%,4835000,4835000 ( 100.0% ),415,415 ( 100.0% ),4835000,415,23
2016-03-23,392,7.4%,406,2.8%,88778,3.7%,20.8%,160792800,155957800 ( 3225.6% ),18435,18020 ( 4342.2% ),165627800,18850,2
2016-03-24,1625,35.1%,7409,53.1%,1412019,61.5%,15.6%,1796011200,1635218400 ( 1017.0% ),219794,201359 ( 1092.3% ),1961639000,238644,1
2016-03-25,1622,34.0%,7510,52.1%,1434971,60.8%,15.9%,2003642790,207631590 ( 11.6% ),228198,8404 ( 3.8% ),3965281790,466842,1
2016-03-26,1709,33.5%,8303,54.1%,1560098,62.6%,32.8%,4409221747,2405578957 ( 120.1% ),511107,282909 ( 124.0% ),8374503537,977949,1
2016-03-27,1683,33.1%,7914,53.5%,1489944,61.9%,27.4%,3488825100,-920396647 ( -20.9% ),408709,-102398 ( -20.0% ),11863328637,1386658,1
2016-03-28,1543,33.7%,6811,51%,1313629,59.6%,5.8%,607813900,-2881011200 ( -82.6% ),76499,-332210 ( -81.3% ),12471142537,1463157,1
2016-03-29,1533,32.2%,6575,49.4%,1270739,58.0%,4.9%,495980200,-111833700 ( -18.4% ),62684,-13815 ( -18.1% ),12967122737,1525841,1
2016-03-30,1219,24.1%,4978,35.1%,993502,42.7%,7.5%,465421800,-30558400 ( -6.2% ),74021,11337 ( 18.1% ),13432544537,1599862,1
2016-03-31,1131,23.1%,4827,33.6%,973701,41.3%,4.8%,368346800,-97075000 ( -20.9% ),47078,-26943 ( -36.4% ),13800891337,1646940,1
2016-04-01,1160,22.7%,4896,33.6%,985816,41.2%,6.3%,526298117,157951317 ( 42.9% ),62556,15478 ( 32.9% ),14327189454,1709496,1
2016-04-02,1135,21.6%,4994,31.6%,988067,38.3%,14.9%,1261404117,735106000 ( 139.7% ),147448,84892 ( 135.7% ),15588593571,1856944,1
2016-04-03,1110,21.5%,4786,31.5%,947465,38.2%,14.2%,1133757300,-127646817 ( -10.1% ),134463,-12985 ( -8.8% ),16722350871,1991407,1
2016-04-04,1027,22.8%,4067,31%,822635,37.8%,3.3%,213347900,-920409400 ( -81.2% ),27342,-107121 ( -79.7% ),16935698771,2018749,1
2016-04-05,998,22.0%,3853,30.4%,785090,37.1%,2.8%,172874100,-40473800 ( -19.0% ),21937,-5405 ( -19.8% ),17108572871,2040686,2
2016-04-06,968,19.8%,3228,25.3%,657161,30.8%,2.9%,147883500,-24990600 ( -14.5% ),18905,-3032 ( -13.8% ),17256456371,2059591,2
2016-04-07,530,11.4%,1782,12.3%,345573,14.2%,3.8%,104997800,-42885700 ( -29.0% ),13162,-5743 ( -30.4% ),17361454171,2072753,5
2016-04-08,543,11.3%,1834,12.1%,355243,13.9%,5.3%,160847382,55849582 ( 53.2% ),18676,5514 ( 41.9% ),17522301553,2091429,5
2016-04-09,540,10.1%,1851,11%,337432,12.0%,13.7%,405338575,244491193 ( 152.0% ),46362,27686 ( 148.2% ),17927640128,2137791,4
2016-04-10,537,10.2%,1781,11%,324021,11.9%,12.0%,329823000,-75515575 ( -18.6% ),38816,-7546 ( -16.3% ),18257463128,2176607,5
2016-04-11,491,10.8%,1527,10.9%,277628,11.6%,3.3%,72621500,-257201500 ( -78.0% ),9052,-29764 ( -76.7% ),18330084628,2185659,5
2016-04-12,492,10.4%,1584,10.8%,286624,11.5%,4.1%,95167200,22545700 ( 31.0% ),11768,2716 ( 30.0% ),18425251828,2197427,5
