날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-11-15,243,4.3%,698,4%,124109,4.5%,61.9%,616136000,616136000 ( 100.0% ),76800,76800 ( 100.0% ),616136000,76800,4
2018-11-16,185,3.3%,561,3.2%,99575,3.6%,42.1%,384971100,-231164900 ( -37.5% ),41901,-34899 ( -45.4% ),1001107100,118701,4
2018-11-17,200,3.3%,533,2.9%,96473,3.4%,63.5%,525626300,140655200 ( 36.5% ),61237,19336 ( 46.1% ),1526733400,179938,4
2018-11-18,210,3.4%,529,3%,94271,3.4%,58.5%,471385200,-54241100 ( -10.3% ),55130,-6107 ( -10.0% ),1998118600,235068,4
2018-11-19,167,3.2%,323,2%,49325,1.9%,22.3%,92552900,-378832300 ( -80.4% ),10996,-44134 ( -80.1% ),2090671500,246064,4
2018-11-20,178,3.2%,318,1.9%,48947,1.9%,21.5%,87853800,-4699100 ( -5.1% ),10530,-466 ( -4.2% ),2178525300,256594,5
2018-11-21,142,2.7%,240,1.5%,35722,1.4%,21.0%,61469600,-26384200 ( -30.0% ),7493,-3037 ( -28.8% ),2239994900,264087,4
2018-11-22,113,2.1%,163,1%,22537,0.8%,22.1%,41740700,-19728900 ( -32.1% ),4970,-2523 ( -33.7% ),2281735600,269057,6
2018-11-23,118,2.1%,172,1%,23443,0.8%,22.6%,47549500,5808800 ( 13.9% ),5293,323 ( 6.5% ),2329285100,274350,6
2018-11-24,135,2.3%,202,1.1%,27293,0.9%,45.5%,105269800,57720300 ( 121.4% ),12407,7114 ( 134.4% ),2434554900,286757,6
2018-11-25,136,2.4%,212,1.2%,28384,1.0%,41.0%,98459700,-6810100 ( -6.5% ),11645,-762 ( -6.1% ),2533014600,298402,6
2018-11-26,111,2.2%,157,0.9%,20511,0.8%,12.0%,20588700,-77871000 ( -79.1% ),2462,-9183 ( -78.9% ),2553603300,300864,8
2018-11-27,138,2.5%,176,1.1%,25243,1.0%,10.8%,22540100,1951400 ( 9.5% ),2730,268 ( 10.9% ),2576143400,303594,8
2018-11-28,64,1.1%,72,0.4%,9521,0.3%,18.5%,11597000,-10943100 ( -48.5% ),1766,-964 ( -35.3% ),2587740400,305360,10
2018-11-29,53,0.9%,59,0.3%,7695,0.3%,13.9%,9044900,-2552100 ( -22.0% ),1067,-699 ( -39.6% ),2596785300,306427,14
2018-11-30,51,0.9%,58,0.3%,7355,0.3%,18.8%,13154200,4109300 ( 45.4% ),1383,316 ( 29.6% ),2609939500,307810,11
2018-12-01,57,0.9%,69,0.4%,8872,0.3%,26.9%,20509000,7354800 ( 55.9% ),2390,1007 ( 72.8% ),2630448500,310200,12
2018-12-02,52,0.9%,61,0.3%,7938,0.3%,30.0%,20889200,380200 ( 1.9% ),2384,-6 ( -0.3% ),2651337700,312584,11
2018-12-03,43,0.8%,49,0.3%,6725,0.2%,9.5%,5424000,-15465200 ( -74.0% ),642,-1742 ( -73.1% ),2656761700,313226,15
2018-12-04,44,0.8%,54,0.3%,7186,0.3%,20.0%,11744700,6320700 ( 116.5% ),1438,796 ( 124.0% ),2668506400,314664,15
2018-12-05,7,0.1%,8,0%,1150,0.0%,30.1%,2885500,-8859200 ( -75.4% ),346,-1092 ( -75.9% ),2671391900,315010,26
