날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-10-02,1,0.0%,1,0%,414,0.0%,98.1%,3654000,3654000 ( 100.0% ),406,406 ( 100.0% ),3654000,406,22
2018-10-03,1308,22.3%,7214,35.5%,1318000,41.1%,56.2%,6536664400,6533010400 ( 178790.7% ),740661,740255 ( 182328.8% ),6540318400,741067,1
2018-10-04,1164,23.1%,6534,35.4%,1232526,41.7%,14.7%,1502622300,-5034042100 ( -77.0% ),181599,-559062 ( -75.5% ),8042940700,922666,1
2018-10-05,1196,23.3%,6824,36%,1280287,42.4%,19.2%,2235039056,732416756 ( 48.7% ),245748,64149 ( 35.3% ),10277979756,1168414,1
2018-10-06,1293,22.9%,7512,37.3%,1393730,43.8%,36.8%,4671550950,2436511894 ( 109.0% ),512744,266996 ( 108.6% ),14949530706,1681158,1
2018-10-07,1287,23.1%,7328,36.9%,1364569,43.5%,29.3%,3600990350,-1070560600 ( -22.9% ),400044,-112700 ( -22.0% ),18550521056,2081202,1
2018-10-08,1173,22.2%,6887,35.4%,1273773,41.4%,16.9%,1736515450,-1864474900 ( -51.8% ),215343,-184701 ( -46.2% ),20287036506,2296545,1
2018-10-09,1160,19.9%,6452,32.6%,1174638,37.6%,26.2%,2728629850,992114400 ( 57.1% ),307832,92489 ( 42.9% ),23015666356,2604377,1
2018-10-10,1092,22.2%,5870,33.2%,1070443,37.8%,7.8%,681495350,-2047134500 ( -75.0% ),83246,-224586 ( -73.0% ),23697161706,2687623,2
2018-10-11,953,17.7%,4805,26.5%,897807,31.0%,7.6%,564422650,-117072700 ( -17.2% ),68127,-15119 ( -18.2% ),24261584356,2755750,2
2018-10-12,974,17.5%,4968,26.6%,927078,31.3%,11.6%,946106091,381683441 ( 67.6% ),107382,39255 ( 57.6% ),25207690447,2863132,2
2018-10-13,1011,15.9%,5382,26.6%,989827,31.1%,21.1%,1899940707,953834616 ( 100.8% ),209283,101901 ( 94.9% ),27107631154,3072415,2
