날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-10-24,1,0.0%,1,0%,247,0.0%,100.0%,2223000,2223000 ( 100.0% ),247,247 ( 100.0% ),2223000,247,28
2018-10-30,2,0.0%,2,0%,303,0.0%,93.7%,2280000,2280000 ( 100.0% ),284,284 ( 100.0% ),4503000,531,34
2018-10-31,563,9.4%,2016,11.1%,289077,10.1%,14.8%,248716200,246436200 ( 10808.6% ),42726,42442 ( 14944.4% ),253219200,43257,4
2018-11-01,512,8.9%,1818,10.4%,259665,9.3%,5.7%,115704550,-133011650 ( -53.5% ),14831,-27895 ( -65.3% ),368923750,58088,5
2018-11-02,521,8.8%,1822,10.1%,254832,8.9%,8.1%,171932700,56228150 ( 48.6% ),20525,5694 ( 38.4% ),540856450,78613,4
2018-11-03,609,9.7%,1835,9.6%,243788,8.1%,19.8%,405315750,233383050 ( 135.7% ),48208,27683 ( 134.9% ),946172200,126821,4
2018-11-04,602,9.7%,1719,9.3%,225445,7.7%,18.9%,356972950,-48342800 ( -11.9% ),42521,-5687 ( -11.8% ),1303145150,169342,4
2018-11-05,479,8.8%,1245,7.4%,169736,6.3%,4.5%,61542700,-295430250 ( -82.8% ),7699,-34822 ( -81.9% ),1364687850,177041,4
2018-11-06,474,8.6%,1189,7.1%,160764,6.0%,4.6%,59180350,-2362350 ( -3.8% ),7399,-300 ( -3.9% ),1423868200,184440,5
2018-11-07,267,5.2%,513,3%,70310,2.6%,5.6%,28309900,-30870450 ( -52.2% ),3917,-3482 ( -47.1% ),1452178100,188357,8
2018-11-08,218,3.9%,319,1.8%,42161,1.5%,6.7%,19501400,-8808500 ( -31.1% ),2835,-1082 ( -27.6% ),1471679500,191192,10
2018-11-09,209,3.7%,314,1.8%,41644,1.5%,8.6%,26820500,7319100 ( 37.5% ),3585,750 ( 26.5% ),1498500000,194777,9
2018-11-10,245,4.1%,374,2%,46079,1.5%,17.0%,62434250,35613750 ( 132.8% ),7828,4243 ( 118.4% ),1560934250,202605,10
2018-11-11,246,4.0%,364,2%,44418,1.5%,19.4%,68718550,6284300 ( 10.1% ),8628,800 ( 10.2% ),1629652800,211233,8
2018-11-12,156,3.0%,221,1.3%,29730,1.1%,4.0%,8346250,-60372300 ( -87.9% ),1182,-7446 ( -86.3% ),1637999050,212415,11
2018-11-13,161,3.0%,216,1.3%,29403,1.1%,4.4%,9022750,676500 ( 8.1% ),1295,113 ( 9.6% ),1647021800,213710,12
2018-11-14,10,0.2%,11,0.1%,1407,0.1%,30.5%,2441000,-6581750 ( -72.9% ),429,-866 ( -66.9% ),1649462800,214139,19
2018-11-15,3,0.1%,3,0%,231,0.0%,34.2%,411000,-2030000 ( -83.2% ),79,-350 ( -81.6% ),1649873800,214218,50
2018-11-16,4,0.1%,4,0%,202,0.0%,52.5%,533000,122000 ( 29.7% ),106,27 ( 34.2% ),1650406800,214324,33
2018-11-17,3,0.0%,3,0%,203,0.0%,38.4%,414000,-119000 ( -22.3% ),78,-28 ( -26.4% ),1650820800,214402,62
2018-11-18,3,0.0%,3,0%,203,0.0%,15.8%,175000,-239000 ( -57.7% ),32,-46 ( -59.0% ),1650995800,214434,73
2018-11-19,1,0.0%,1,0%,72,0.0%,16.7%,120000,-55000 ( -31.4% ),12,-20 ( -62.5% ),1651115800,214446,85
2018-11-20,1,0.0%,1,0%,72,0.0%,4.2%,26000,-94000 ( -78.3% ),3,-9 ( -75.0% ),1651141800,214449,111
2018-11-21,3,0.1%,3,0%,300,0.0%,46.3%,1251500,1225500 ( 4713.5% ),139,136 ( 4533.3% ),1652393300,214588,40
2018-11-22,3,0.1%,3,0%,158,0.0%,86.7%,702000,-549500 ( -43.9% ),137,-2 ( -1.4% ),1653095300,214725,43
2018-11-23,1,0.0%,1,0%,144,0.0%,69.4%,600000,-102000 ( -14.5% ),100,-37 ( -27.0% ),1653695300,214825,41
2018-11-28,1,0.0%,1,0%,76,0.0%,93.4%,355000,355000 ( 100.0% ),71,71 ( 100.0% ),1654050300,214896,55
2018-11-29,1,0.0%,1,0%,76,0.0%,72.4%,275000,-80000 ( -22.5% ),55,-16 ( -22.5% ),1654325300,214951,80
2018-11-30,1,0.0%,1,0%,76,0.0%,65.8%,250000,-25000 ( -9.1% ),50,-5 ( -9.1% ),1654575300,215001,73
2018-12-04,1,0.0%,1,0%,43,0.0%,65.1%,140000,140000 ( 100.0% ),28,28 ( 100.0% ),1654715300,215029,80
