날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-06-04,2,0.0%,4,0%,928,0.0%,100.0%,5568000,5568000 ( 100.0% ),928,928 ( 100.0% ),5568000,928,12
2018-06-05,1,0.0%,1,0%,186,0.0%,100.0%,1488000,-4080000 ( -73.3% ),186,-742 ( -80.0% ),7056000,1114,32
2018-06-14,8,0.2%,8,0%,2080,0.1%,100.0%,18720000,18720000 ( 100.0% ),2080,2080 ( 100.0% ),25776000,3194,8
2018-06-18,7,0.2%,7,0%,1519,0.1%,100.0%,11511000,11511000 ( 100.0% ),1519,1519 ( 100.0% ),37287000,4713,7
2018-06-20,13,0.3%,13,0.1%,3068,0.1%,100.0%,23065000,23065000 ( 100.0% ),3068,3068 ( 100.0% ),60352000,7781,7
2018-06-22,14,0.3%,14,0.1%,2456,0.1%,100.0%,22104000,22104000 ( 100.0% ),2456,2456 ( 100.0% ),82456000,10237,12
2018-06-23,12,0.2%,12,0.1%,2230,0.1%,71.5%,12010500,-10093500 ( -45.7% ),1594,-862 ( -35.1% ),94466500,11831,16
2018-06-24,13,0.2%,15,0.1%,2464,0.1%,55.8%,11636300,-374200 ( -3.1% ),1376,-218 ( -13.7% ),106102800,13207,16
2018-06-25,2,0.0%,2,0%,190,0.0%,100.0%,1710000,-9926300 ( -85.3% ),190,-1186 ( -86.2% ),107812800,13397,30
2018-06-26,7,0.1%,7,0%,1591,0.1%,100.0%,12837000,11127000 ( 650.7% ),1591,1401 ( 737.4% ),120649800,14988,11
2018-06-27,2,0.0%,2,0%,263,0.0%,100.0%,1092000,-11745000 ( -91.5% ),263,-1328 ( -83.5% ),121741800,15251,22
2018-06-28,6,0.1%,6,0%,1081,0.0%,29.9%,2868000,1776000 ( 162.6% ),323,60 ( 22.8% ),124609800,15574,27
2018-06-29,1,0.0%,1,0%,332,0.0%,97.0%,3410000,542000 ( 18.9% ),322,-1 ( -0.3% ),128019800,15896,28
2018-07-01,10,0.2%,11,0.1%,3020,0.1%,60.0%,18021400,18021400 ( 100.0% ),1811,1811 ( 100.0% ),146041200,17707,15
2018-07-02,6,0.1%,6,0%,1555,0.1%,57.6%,7344000,-10677400 ( -59.2% ),896,-915 ( -50.5% ),153385200,18603,12
2018-07-03,1,0.0%,1,0%,211,0.0%,100.0%,1477000,-5867000 ( -79.9% ),211,-685 ( -76.5% ),154862200,18814,35
2018-07-04,763,15.5%,3298,18.5%,464922,16.3%,9.3%,336347900,334870900 ( 22672.4% ),43149,42938 ( 20349.8% ),491210100,61963,3
2018-07-05,741,14.9%,3098,17.3%,438563,15.4%,9.2%,309506700,-26841200 ( -8.0% ),40456,-2693 ( -6.2% ),800716800,102419,3
2018-07-06,695,13.8%,2885,15.8%,404342,13.9%,11.1%,384841700,75335000 ( 24.3% ),45057,4601 ( 11.4% ),1185558500,147476,3
2018-07-07,607,11.5%,2434,12.7%,325492,10.7%,21.9%,626703323,241861623 ( 62.8% ),71371,26314 ( 58.4% ),1812261823,218847,3
2018-07-08,603,11.5%,2292,12.2%,302863,10.2%,20.9%,559924100,-66779223 ( -10.7% ),63352,-8019 ( -11.2% ),2372185923,282199,3
2018-07-09,585,12.4%,2332,13.3%,303992,10.8%,9.6%,232548100,-327376000 ( -58.5% ),29258,-34094 ( -53.8% ),2604734023,311457,3
2018-07-10,610,12.4%,2285,13%,297903,10.6%,9.9%,232672900,124800 ( 0.1% ),29622,364 ( 1.2% ),2837406923,341079,3
2018-07-11,494,10.6%,1277,7%,148099,5.1%,11.9%,134361200,-98311700 ( -42.3% ),17607,-12015 ( -40.6% ),2971768123,358686,4
2018-07-12,486,9.7%,1151,6.4%,138221,4.8%,11.6%,118842900,-15518300 ( -11.5% ),16013,-1594 ( -9.1% ),3090611023,374699,4
2018-07-13,484,9.5%,1015,5.4%,120073,4.0%,12.3%,122624469,3781569 ( 3.2% ),14741,-1272 ( -7.9% ),3213235492,389440,5
2018-07-14,475,8.6%,919,4.6%,107652,3.4%,23.9%,219498881,96874412 ( 79.0% ),25708,10967 ( 74.4% ),3432734373,415148,5
2018-07-15,446,8.3%,843,4.4%,99018,3.3%,23.6%,200669400,-18829481 ( -8.6% ),23343,-2365 ( -9.2% ),3633403773,438491,5
2018-07-16,459,9.4%,956,5.4%,111202,3.9%,10.0%,82595400,-118074000 ( -58.8% ),11089,-12254 ( -52.5% ),3715999173,449580,5
2018-07-17,466,9.3%,963,5.4%,111888,3.9%,9.5%,79567900,-3027500 ( -3.7% ),10658,-431 ( -3.9% ),3795567073,460238,4
2018-07-18,165,3.1%,246,1.4%,27334,1.0%,16.8%,31667600,-47900300 ( -60.2% ),4589,-6069 ( -56.9% ),3827234673,464827,8
2018-07-19,155,2.7%,229,1.3%,25022,0.9%,12.9%,23248500,-8419100 ( -26.6% ),3237,-1352 ( -29.5% ),3850483173,468064,12
2018-07-20,148,2.6%,221,1.2%,24483,0.8%,14.7%,27582400,4333900 ( 18.6% ),3587,350 ( 10.8% ),3878065573,471651,11
2018-07-21,124,2.0%,176,0.9%,20726,0.7%,20.5%,34209700,6627300 ( 24.0% ),4259,672 ( 18.7% ),3912275273,475910,12
2018-07-22,119,1.9%,178,0.9%,20326,0.7%,21.4%,34933800,724100 ( 2.1% ),4346,87 ( 2.0% ),3947209073,480256,11
2018-07-23,132,2.4%,202,1.1%,23612,0.8%,11.6%,18715200,-16218600 ( -46.4% ),2731,-1615 ( -37.2% ),3965924273,482987,11
2018-07-24,138,2.4%,216,1.2%,23519,0.8%,12.8%,19543800,828600 ( 4.4% ),3012,281 ( 10.3% ),3985468073,485999,12
2018-07-25,20,0.4%,24,0.1%,2476,0.1%,13.4%,2226100,-17317700 ( -88.6% ),331,-2681 ( -89.0% ),3987694173,486330,20
2018-07-26,24,0.4%,29,0.2%,2863,0.1%,30.1%,4981300,2755200 ( 123.8% ),862,531 ( 160.4% ),3992675473,487192,12
2018-07-27,18,0.3%,22,0.1%,3003,0.1%,28.8%,7083900,2102600 ( 42.2% ),865,3 ( 0.3% ),3999759373,488057,11
2018-07-28,12,0.2%,17,0.1%,2737,0.1%,13.9%,3017800,-4066100 ( -57.4% ),380,-485 ( -56.1% ),4002777173,488437,22
2018-07-29,11,0.2%,16,0.1%,2338,0.1%,13.7%,2423600,-594200 ( -19.7% ),320,-60 ( -15.8% ),4005200773,488757,18
2018-07-30,13,0.2%,22,0.1%,3107,0.1%,6.8%,1391500,-1032100 ( -42.6% ),211,-109 ( -34.1% ),4006592273,488968,27
2018-07-31,14,0.2%,19,0.1%,2254,0.1%,10.9%,1733000,341500 ( 24.5% ),245,34 ( 16.1% ),4008325273,489213,28
2018-08-01,3,0.1%,5,0%,434,0.0%,14.5%,505000,-1228000 ( -70.9% ),63,-182 ( -74.3% ),4008830273,489276,41
2018-08-02,2,0.0%,2,0%,941,0.0%,3.1%,177000,-328000 ( -65.0% ),29,-34 ( -54.0% ),4009007273,489305,53
2018-08-03,3,0.1%,3,0%,1153,0.0%,22.6%,1791000,1614000 ( 911.9% ),261,232 ( 800.0% ),4010798273,489566,18
2018-08-04,1,0.0%,1,0%,100,0.0%,36.0%,216000,-1575000 ( -87.9% ),36,-225 ( -86.2% ),4011014273,489602,46
2018-08-05,1,0.0%,1,0%,100,0.0%,17.0%,102000,-114000 ( -52.8% ),17,-19 ( -52.8% ),4011116273,489619,51
2018-08-06,2,0.0%,3,0%,1025,0.0%,5.3%,414000,312000 ( 305.9% ),54,37 ( 217.6% ),4011530273,489673,43
2018-08-07,2,0.0%,2,0%,142,0.0%,21.8%,251000,-163000 ( -39.4% ),31,-23 ( -42.6% ),4011781273,489704,49
2018-08-09,1,0.0%,1,0%,148,0.0%,100.0%,1036000,1036000 ( 100.0% ),148,148 ( 100.0% ),4012817273,489852,28
2018-08-13,2,0.0%,3,0%,296,0.0%,44.6%,948000,948000 ( 100.0% ),132,132 ( 100.0% ),4013765273,489984,26
2018-08-14,1,0.0%,2,0%,184,0.0%,4.9%,67000,-881000 ( -92.9% ),9,-123 ( -93.2% ),4013832273,489993,77
2018-08-17,1,0.0%,1,0%,54,0.0%,74.1%,240000,240000 ( 100.0% ),40,40 ( 100.0% ),4014072273,490033,55
2018-10-26,1,0.0%,1,0%,157,0.0%,38.2%,360000,360000 ( 100.0% ),60,60 ( 100.0% ),4014432273,490093,65
2018-11-06,1,0.0%,1,0%,198,0.0%,100.0%,990000,990000 ( 100.0% ),198,198 ( 100.0% ),4015422273,490291,29
2018-11-07,1,0.0%,1,0%,114,0.0%,100.0%,570000,-420000 ( -42.4% ),114,-84 ( -42.4% ),4015992273,490405,42
2018-11-08,1,0.0%,1,0%,114,0.0%,100.0%,570000,0 ( 0.0% ),114,0 ( 0.0% ),4016562273,490519,52
