날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-04-20,1,0.0%,1,0%,77,0.0%,14.3%,66000,66000 ( 100.0% ),11,11 ( 100.0% ),66000,11,99
2018-04-25,1,0.0%,1,0%,124,0.0%,100.0%,992000,992000 ( 100.0% ),124,124 ( 100.0% ),1058000,135,36
2018-05-02,1,0.0%,1,0%,180,0.0%,100.0%,1260000,1260000 ( 100.0% ),180,180 ( 100.0% ),2318000,315,30
2018-05-03,4,0.1%,4,0%,841,0.0%,100.0%,7569000,6309000 ( 500.7% ),841,661 ( 367.2% ),9887000,1156,14
2018-05-08,4,0.1%,4,0%,468,0.0%,45.3%,1340500,1340500 ( 100.0% ),212,212 ( 100.0% ),11227500,1368,23
2018-05-09,1,0.0%,1,0%,92,0.0%,55.4%,408000,-932500 ( -69.6% ),51,-161 ( -75.9% ),11635500,1419,48
2018-05-10,112,2.6%,190,1.2%,25120,1.0%,2.9%,5825100,5417100 ( 1327.7% ),725,674 ( 1321.6% ),17460600,2144,13
2018-05-11,115,2.6%,198,1.2%,24765,0.9%,3.7%,8340800,2515700 ( 43.2% ),918,193 ( 26.6% ),25801400,3062,10
2018-05-12,127,2.5%,186,1%,22991,0.8%,6.6%,13500900,5160100 ( 61.9% ),1527,609 ( 66.3% ),39302300,4589,15
2018-05-13,114,2.2%,171,1%,21005,0.8%,6.6%,12743100,-757800 ( -5.6% ),1387,-140 ( -9.2% ),52045400,5976,13
2018-05-14,112,2.6%,170,1.1%,21757,0.9%,2.8%,4660700,-8082400 ( -63.4% ),616,-771 ( -55.6% ),56706100,6592,11
2018-05-15,100,2.2%,157,1%,20539,0.8%,3.2%,5062800,402100 ( 8.6% ),647,31 ( 5.0% ),61768900,7239,14
2018-05-16,62,1.2%,75,0.5%,9641,0.4%,3.6%,2748100,-2314700 ( -45.7% ),348,-299 ( -46.2% ),64517000,7587,18
2018-05-17,8,0.2%,9,0.1%,1337,0.0%,7.3%,958000,-1790100 ( -65.1% ),98,-250 ( -71.8% ),65475000,7685,45
2018-05-18,12,0.2%,14,0.1%,1067,0.0%,17.6%,1889000,931000 ( 97.2% ),188,90 ( 91.8% ),67364000,7873,32
2018-05-19,8,0.1%,10,0.1%,814,0.0%,15.1%,1137100,-751900 ( -39.8% ),123,-65 ( -34.6% ),68501100,7996,35
2018-05-20,15,0.3%,17,0.1%,1472,0.1%,13.2%,1835500,698400 ( 61.4% ),195,72 ( 58.5% ),70336600,8191,29
2018-05-21,9,0.2%,10,0.1%,762,0.0%,17.3%,964000,-871500 ( -47.5% ),132,-63 ( -32.3% ),71300600,8323,38
2018-05-22,6,0.1%,7,0%,682,0.0%,21.8%,1299300,335300 ( 34.8% ),149,17 ( 12.9% ),72599900,8472,33
2018-05-23,8,0.2%,10,0.1%,950,0.0%,15.2%,1094500,-204800 ( -15.8% ),144,-5 ( -3.4% ),73694400,8616,34
2018-05-24,2,0.0%,2,0%,182,0.0%,3.3%,54000,-1040500 ( -95.1% ),6,-138 ( -95.8% ),73748400,8622,82
2018-05-25,5,0.1%,5,0%,456,0.0%,22.8%,573033,519033 ( 961.2% ),104,98 ( 1633.3% ),74321433,8726,42
2018-05-26,4,0.1%,4,0%,285,0.0%,53.7%,1383000,809967 ( 141.3% ),153,49 ( 47.1% ),75704433,8879,36
2018-05-27,3,0.1%,3,0%,238,0.0%,18.5%,418000,-965000 ( -69.8% ),44,-109 ( -71.2% ),76122433,8923,49
2018-05-29,3,0.1%,3,0%,231,0.0%,3.0%,51000,51000 ( 100.0% ),7,7 ( 100.0% ),76173433,8930,74
2018-05-30,2,0.0%,2,0%,88,0.0%,19.3%,149000,98000 ( 192.2% ),17,10 ( 142.9% ),76322433,8947,65
2018-06-01,1,0.0%,1,0%,52,0.0%,5.8%,27000,27000 ( 100.0% ),3,3 ( 100.0% ),76349433,8950,93
2018-06-02,1,0.0%,1,0%,58,0.0%,41.4%,237000,210000 ( 777.8% ),24,21 ( 700.0% ),76586433,8974,74
2018-06-03,2,0.0%,2,0%,88,0.0%,15.9%,124000,-113000 ( -47.7% ),14,-10 ( -41.7% ),76710433,8988,76
2018-06-04,1,0.0%,1,0%,58,0.0%,6.9%,28000,-96000 ( -77.4% ),4,-10 ( -71.4% ),76738433,8992,82
2018-06-05,1,0.0%,1,0%,30,0.0%,3.3%,9000,-19000 ( -67.9% ),1,-3 ( -75.0% ),76747433,8993,102
2018-06-06,2,0.0%,2,0%,110,0.0%,36.4%,391000,382000 ( 4244.4% ),40,39 ( 3900.0% ),77138433,9033,61
2018-06-07,1,0.0%,1,0%,30,0.0%,6.7%,16000,-375000 ( -95.9% ),2,-38 ( -95.0% ),77154433,9035,91
2018-06-08,2,0.0%,2,0%,150,0.0%,69.3%,1040000,1024000 ( 6400.0% ),104,102 ( 5100.0% ),78194433,9139,40
2018-06-10,1,0.0%,1,0%,58,0.0%,46.6%,270000,270000 ( 100.0% ),27,27 ( 100.0% ),78464433,9166,66
2018-06-13,1,0.0%,1,0%,58,0.0%,84.5%,476000,476000 ( 100.0% ),49,49 ( 100.0% ),78940433,9215,52
