날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-10-24,5,0.1%,6,0%,1361,0.1%,92.1%,11039000,11039000 ( 100.0% ),1254,1254 ( 100.0% ),11039000,1254,16
2018-10-25,4,0.1%,4,0%,1119,0.0%,100.0%,10071000,-968000 ( -8.8% ),1119,-135 ( -10.8% ),21110000,2373,12
2018-10-26,1,0.0%,1,0%,174,0.0%,100.0%,1566000,-8505000 ( -84.5% ),174,-945 ( -84.5% ),22676000,2547,34
2018-10-29,43,0.8%,43,0.3%,7516,0.3%,92.1%,48171000,48171000 ( 100.0% ),6919,6919 ( 100.0% ),70847000,9466,9
2018-10-30,3,0.1%,4,0%,686,0.0%,80.9%,4095000,-44076000 ( -91.5% ),555,-6364 ( -92.0% ),74942000,10021,18
2018-10-31,811,13.6%,2937,16.2%,497769,17.5%,22.2%,760190950,756095950 ( 18463.9% ),110477,109922 ( 19805.8% ),835132950,120498,2
2018-11-01,777,13.5%,3018,17.2%,527329,19.0%,12.4%,565879350,-194311600 ( -25.6% ),65472,-45005 ( -40.7% ),1401012300,185970,2
2018-11-02,838,14.2%,3227,17.8%,564020,19.7%,17.7%,948085902,382206552 ( 67.5% ),99555,34083 ( 52.1% ),2349098202,285525,2
2018-11-03,910,14.5%,3602,18.9%,613373,20.5%,35.9%,2083926361,1135840459 ( 119.8% ),219900,120345 ( 120.9% ),4433024563,505425,2
2018-11-04,936,15.1%,3662,19.7%,626963,21.5%,32.5%,1902230050,-181696311 ( -8.7% ),203898,-16002 ( -7.3% ),6335254613,709323,2
2018-11-05,882,16.2%,3584,21.3%,621820,23.2%,12.9%,685354050,-1216876000 ( -64.0% ),80136,-123762 ( -60.7% ),7020608663,789459,2
2018-11-06,898,16.2%,3631,21.7%,628457,23.5%,13.5%,723283150,37929100 ( 5.5% ),85040,4904 ( 6.1% ),7743891813,874499,2
2018-11-07,874,16.9%,3477,20.1%,596490,21.7%,15.1%,766841400,43558250 ( 6.0% ),89874,4834 ( 5.7% ),8510733213,964373,2
2018-11-08,891,15.9%,3383,19.5%,581043,21.1%,16.3%,806737250,39895850 ( 5.2% ),94697,4823 ( 5.4% ),9317470463,1059070,2
2018-11-09,960,16.8%,3725,20.8%,633476,22.3%,23.7%,1401045537,594308287 ( 73.7% ),150117,55420 ( 58.5% ),10718516000,1209187,2
2018-11-10,1040,17.3%,4312,22.7%,721578,24.2%,44.7%,2998080301,1597034764 ( 114.0% ),322326,172209 ( 114.7% ),13716596301,1531513,2
2018-11-11,1098,18.1%,4383,23.5%,730381,25.0%,42.7%,2871375300,-126705001 ( -4.2% ),311652,-10674 ( -3.3% ),16587971601,1843165,2
2018-11-12,1002,19.4%,4195,24.9%,717646,26.7%,15.2%,930124000,-1941251300 ( -67.6% ),109370,-202282 ( -64.9% ),17518095601,1952535,2
2018-11-13,1018,19.0%,4235,25.1%,717606,26.7%,16.6%,1002547950,72423950 ( 7.8% ),119031,9661 ( 8.8% ),18520643551,2071566,1
2018-11-14,735,15.5%,2812,16.5%,400892,15.0%,29.7%,970597550,-31950400 ( -3.2% ),119169,138 ( 0.1% ),19491241101,2190735,2
2018-11-15,807,14.3%,2595,14.9%,368399,13.4%,35.6%,1037072950,66475400 ( 6.8% ),131138,11969 ( 10.0% ),20528314051,2321873,2
2018-11-16,888,16.0%,3054,17.4%,446681,16.2%,38.2%,1523160660,486087710 ( 46.9% ),170462,39324 ( 30.0% ),22051474711,2492335,2
2018-11-17,1105,18.0%,3818,20.8%,569900,19.8%,57.3%,2950351360,1427190700 ( 93.7% ),326368,155906 ( 91.5% ),25001826071,2818703,2
2018-11-18,1179,19.2%,4057,22.7%,610200,21.8%,52.3%,2865565300,-84786060 ( -2.9% ),319315,-7053 ( -2.2% ),27867391371,3138018,2
2018-11-19,1048,20.2%,4137,25.1%,666823,25.7%,20.3%,1103435350,-1762129950 ( -61.5% ),135596,-183719 ( -57.5% ),28970826721,3273614,1
2018-11-20,1109,20.2%,4289,26%,700394,26.9%,18.6%,1053530350,-49905000 ( -4.5% ),130475,-5121 ( -3.8% ),30024357071,3404089,1
2018-11-21,1164,22.2%,4866,29.6%,848788,32.8%,18.1%,1227310550,173780200 ( 16.5% ),153271,22796 ( 17.5% ),31251667621,3557360,1
2018-11-22,1026,18.9%,4061,23.7%,729360,27.0%,18.1%,1071685650,-155624900 ( -12.7% ),131665,-21606 ( -14.1% ),32323353271,3689025,2
2018-11-23,1054,19.1%,4344,24.6%,787804,28.3%,24.1%,1699394218,627708568 ( 58.6% ),189644,57979 ( 44.0% ),34022747489,3878669,1
2018-11-24,1136,19.6%,5013,27%,912371,31.4%,43.3%,3612363296,1912969078 ( 112.6% ),395504,205860 ( 108.6% ),37635110785,4274173,1
2018-11-25,1121,19.5%,4946,27.2%,901665,31.7%,41.1%,3331716050,-280647246 ( -7.8% ),370278,-25226 ( -6.4% ),40966826835,4644451,1
2018-11-26,1062,20.7%,4594,27.3%,841989,31.6%,16.1%,1096676600,-2235039450 ( -67.1% ),135951,-234327 ( -63.3% ),42063503435,4780402,1
2018-11-27,1119,20.4%,4365,26.8%,798179,31.0%,16.5%,1048715350,-47961250 ( -4.4% ),131835,-4116 ( -3.0% ),43112218785,4912237,1
2018-11-28,928,16.1%,3408,19.2%,585833,20.8%,34.6%,1306567050,257851700 ( 24.6% ),202908,71073 ( 53.9% ),44418785835,5115145,2
2018-11-29,896,15.7%,3423,19.2%,592140,21.0%,21.5%,1020031800,-286535250 ( -21.9% ),127482,-75426 ( -37.2% ),45438817635,5242627,2
2018-11-30,998,17.1%,3861,21.2%,660094,22.9%,27.9%,1614687854,594656054 ( 58.3% ),184033,56551 ( 44.4% ),47053505489,5426660,2
2018-12-01,1093,18.1%,4725,25%,809564,27.2%,40.5%,2996655884,1381968030 ( 85.6% ),328050,144017 ( 78.3% ),50050161373,5754710,2
2018-12-02,1103,18.4%,4706,25.3%,805542,27.6%,36.3%,2642813900,-353841984 ( -11.8% ),292238,-35812 ( -10.9% ),52692975273,6046948,2
