날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-06-20,3,0.1%,3,0%,625,0.0%,100.0%,4524000,4524000 ( 100.0% ),625,625 ( 100.0% ),4524000,625,16
2016-06-21,4,0.1%,5,0%,1279,0.1%,87.3%,7812000,3288000 ( 72.7% ),1116,491 ( 78.6% ),12336000,1741,15
2016-06-24,11,0.2%,11,0.1%,2017,0.1%,100.0%,18153000,18153000 ( 100.0% ),2017,2017 ( 100.0% ),30489000,3758,13
2016-06-25,2,0.0%,2,0%,606,0.0%,100.0%,6060000,-12093000 ( -66.6% ),606,-1411 ( -70.0% ),36549000,4364,22
2016-06-27,1,0.0%,1,0%,375,0.0%,100.0%,3000000,3000000 ( 100.0% ),375,375 ( 100.0% ),39549000,4739,25
2016-06-29,2,0.0%,2,0%,211,0.0%,100.0%,1266000,1266000 ( 100.0% ),211,211 ( 100.0% ),40815000,4950,32
2016-06-30,9,0.2%,9,0.1%,1763,0.1%,100.0%,14104000,12838000 ( 1014.1% ),1763,1552 ( 735.5% ),54919000,6713,14
2016-07-01,15,0.3%,15,0.1%,3159,0.1%,100.0%,28431000,14327000 ( 101.6% ),3159,1396 ( 79.2% ),83350000,9872,12
2016-07-04,9,0.2%,9,0.1%,1816,0.1%,100.0%,16344000,16344000 ( 100.0% ),1816,1816 ( 100.0% ),99694000,11688,12
2016-07-05,6,0.1%,9,0.1%,985,0.0%,71.6%,4529000,-11815000 ( -72.3% ),705,-1111 ( -61.2% ),104223000,12393,20
2016-07-06,747,15.1%,3393,21.2%,637073,23.8%,21.5%,1023319200,1018790200 ( 22494.8% ),136701,135996 ( 19290.2% ),1127542200,149094,1
2016-07-07,760,14.3%,3403,21.1%,634169,23.6%,19.0%,890382380,-132936820 ( -13.0% ),120196,-16505 ( -12.1% ),2017924580,269290,1
2016-07-08,816,14.5%,3587,21.7%,668877,24.3%,23.3%,1272010279,381627899 ( 42.9% ),155593,35397 ( 29.4% ),3289934859,424883,1
2016-07-09,928,14.6%,3813,21.8%,699794,24.1%,45.9%,2667855883,1395845604 ( 109.7% ),321539,165946 ( 106.7% ),5957790742,746422,2
2016-07-10,942,15.1%,3746,22.1%,685219,24.3%,44.1%,2504123200,-163732683 ( -6.1% ),302093,-19446 ( -6.0% ),8461913942,1048515,2
2016-07-11,800,15.7%,3701,23.6%,708173,26.9%,13.9%,737575500,-1766547700 ( -70.5% ),98696,-203397 ( -67.3% ),9199489442,1147211,1
2016-07-12,859,14.8%,3493,22.3%,647148,24.8%,15.5%,727123800,-10451700 ( -1.4% ),99986,1290 ( 1.3% ),9926613242,1247197,2
2016-07-13,698,14.4%,2964,18.6%,527825,20.0%,14.1%,543359200,-183764600 ( -25.3% ),74642,-25344 ( -25.3% ),10469972442,1321839,2
2016-07-14,695,13.7%,2865,17.9%,510239,19.3%,13.1%,484029300,-59329900 ( -10.9% ),66696,-7946 ( -10.6% ),10954001742,1388535,2
2016-07-15,783,13.3%,2851,17.4%,501634,18.5%,15.0%,609751200,125721900 ( 26.0% ),75437,8741 ( 13.1% ),11563752942,1463972,3
2016-07-16,811,12.9%,2915,16.8%,479105,16.8%,38.8%,1543535000,933783800 ( 153.1% ),185925,110488 ( 146.5% ),13107287942,1649897,4
2016-07-17,801,12.8%,2815,16.7%,457514,16.5%,33.5%,1273494800,-270040200 ( -17.5% ),153135,-32790 ( -17.6% ),14380782742,1803032,4
2016-07-18,652,13.4%,2853,18.1%,489116,18.7%,9.6%,347503500,-925991300 ( -72.7% ),47140,-105995 ( -69.2% ),14728286242,1850172,2
2016-07-19,658,13.0%,2838,17.9%,485068,18.5%,10.2%,360047800,12544300 ( 3.6% ),49429,2289 ( 4.9% ),15088334042,1899601,2
