날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-11-16,1,0.0%,1,0%,94,0.0%,42.6%,327500,327500 ( 100.0% ),40,40 ( 100.0% ),327500,40,95
2017-11-18,2,0.0%,2,0%,253,0.0%,34.8%,750000,750000 ( 100.0% ),88,88 ( 100.0% ),1077500,128,71
2017-11-19,2,0.0%,2,0%,185,0.0%,47.0%,769900,19900 ( 2.7% ),87,-1 ( -1.1% ),1847400,215,63
2017-11-20,1,0.0%,1,0%,142,0.0%,16.2%,176000,-593900 ( -77.1% ),23,-64 ( -73.6% ),2023400,238,85
2017-11-21,1,0.0%,1,0%,111,0.0%,16.2%,112500,-63500 ( -36.1% ),18,-5 ( -21.7% ),2135900,256,112
2017-11-25,2,0.0%,2,0%,222,0.0%,59.5%,1134400,1134400 ( 100.0% ),132,132 ( 100.0% ),3270300,388,51
2017-11-26,2,0.0%,2,0%,247,0.0%,31.2%,677500,-456900 ( -40.3% ),77,-55 ( -41.7% ),3947800,465,74
2017-11-29,1,0.0%,1,0%,110,0.0%,51.8%,384900,384900 ( 100.0% ),57,57 ( 100.0% ),4332700,522,73
2017-12-02,1,0.0%,1,0%,293,0.0%,28.3%,813000,813000 ( 100.0% ),83,83 ( 100.0% ),5145700,605,65
2018-04-25,2,0.0%,2,0%,178,0.0%,71.9%,1146000,1146000 ( 100.0% ),128,128 ( 100.0% ),6291700,733,34
2018-04-26,2,0.0%,2,0%,345,0.0%,21.2%,615000,-531000 ( -46.3% ),73,-55 ( -43.0% ),6906700,806,56
2018-04-28,2,0.0%,2,0%,278,0.0%,47.5%,2112000,2112000 ( 100.0% ),132,132 ( 100.0% ),9018700,938,43
2018-04-30,1,0.0%,1,0%,72,0.0%,84.7%,500000,500000 ( 100.0% ),61,61 ( 100.0% ),9518700,999,50
2018-05-01,1,0.0%,2,0%,586,0.0%,45.1%,2292000,1792000 ( 358.4% ),264,203 ( 332.8% ),11810700,1263,28
2018-05-02,2,0.0%,3,0%,704,0.0%,28.7%,1930000,-362000 ( -15.8% ),202,-62 ( -23.5% ),13740700,1465,27
2018-05-03,45,1.0%,73,0.5%,8894,0.3%,14.2%,10187900,8257900 ( 427.9% ),1265,1063 ( 526.2% ),23928600,2730,11
2018-05-04,43,0.9%,69,0.4%,8636,0.3%,16.8%,12645500,2457600 ( 24.1% ),1449,184 ( 14.5% ),36574100,4179,12
2018-05-05,42,0.7%,60,0.3%,7907,0.3%,33.3%,23777500,11132000 ( 88.0% ),2634,1185 ( 81.8% ),60351600,6813,10
2018-05-06,45,0.8%,63,0.3%,8478,0.3%,36.9%,28091800,4314300 ( 18.1% ),3129,495 ( 18.8% ),88443400,9942,11
2018-05-07,41,0.7%,65,0.4%,8612,0.3%,35.2%,26679100,-1412700 ( -5.0% ),3032,-97 ( -3.1% ),115122500,12974,10
2018-05-08,55,1.2%,82,0.5%,10307,0.4%,11.6%,9273500,-17405600 ( -65.2% ),1200,-1832 ( -60.4% ),124396000,14174,10
2018-05-09,41,1.0%,72,0.5%,8885,0.4%,13.5%,9462600,189100 ( 2.0% ),1196,-4 ( -0.3% ),133858600,15370,6
2018-05-10,44,1.0%,79,0.5%,10908,0.4%,12.9%,11225200,1762600 ( 18.6% ),1410,214 ( 17.9% ),145083800,16780,7
2018-05-11,46,1.0%,85,0.5%,10783,0.4%,14.7%,14219100,2993900 ( 26.7% ),1583,173 ( 12.3% ),159302900,18363,7
2018-05-12,53,1.0%,107,0.6%,13176,0.5%,32.1%,38816000,24596900 ( 173.0% ),4228,2645 ( 167.1% ),198118900,22591,9
