날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2014-09-05,1,0.0%,4,0%,1200,0.0%,55.4%,1335000,1335000 ( 100.0% ),665,665 ( 100.0% ),1335000,665,17
2014-09-06,1,0.0%,4,0%,1200,0.0%,54.6%,1315000,-20000 ( -1.5% ),655,-10 ( -1.5% ),2650000,1320,19
2014-09-07,1,0.0%,4,0%,1200,0.0%,47.8%,1151000,-164000 ( -12.5% ),573,-82 ( -12.5% ),3801000,1893,18
2014-09-08,1,0.0%,4,0%,1200,0.0%,48.2%,1166000,15000 ( 1.3% ),578,5 ( 0.9% ),4967000,2471,18
2015-03-01,1,0.0%,4,0%,888,0.0%,13.0%,233000,233000 ( 100.0% ),115,115 ( 100.0% ),5200000,2586,42
2015-03-02,1,0.0%,4,0%,888,0.0%,9.8%,174000,-59000 ( -25.3% ),87,-28 ( -24.3% ),5374000,2673,41
2015-03-03,1,0.0%,4,0%,888,0.0%,9.3%,166000,-8000 ( -4.6% ),83,-4 ( -4.6% ),5540000,2756,45
2015-04-01,1,0.0%,4,0%,556,0.0%,27.0%,300000,300000 ( 100.0% ),150,150 ( 100.0% ),5840000,2906,36
2015-04-02,1,0.0%,4,0%,556,0.0%,21.9%,244000,-56000 ( -18.7% ),122,-28 ( -18.7% ),6084000,3028,37
2015-04-03,1,0.0%,4,0%,556,0.0%,21.2%,236000,-8000 ( -3.3% ),118,-4 ( -3.3% ),6320000,3146,38
2016-04-01,1,0.0%,2,0%,444,0.0%,14.9%,137000,137000 ( 100.0% ),66,66 ( 100.0% ),6457000,3212,52
2016-04-02,1,0.0%,3,0%,666,0.0%,9.5%,131000,-6000 ( -4.4% ),63,-3 ( -4.5% ),6588000,3275,44
2016-05-24,1,0.0%,1,0%,126,0.0%,100.0%,756000,756000 ( 100.0% ),126,126 ( 100.0% ),7344000,3401,42
2016-05-27,1,0.0%,1,0%,97,0.0%,91.8%,534000,534000 ( 100.0% ),89,89 ( 100.0% ),7878000,3490,42
2016-05-30,1,0.0%,1,0%,108,0.0%,79.6%,516000,516000 ( 100.0% ),86,86 ( 100.0% ),8394000,3576,44
2016-05-31,3,0.1%,3,0%,417,0.0%,98.8%,2575000,2059000 ( 399.0% ),412,326 ( 379.1% ),10969000,3988,22
2016-06-01,1,0.0%,1,0%,128,0.0%,78.1%,500000,-2075000 ( -80.6% ),100,-312 ( -75.7% ),11469000,4088,41
2016-06-02,3,0.1%,3,0%,458,0.0%,100.0%,3306000,2806000 ( 561.2% ),458,358 ( 358.0% ),14775000,4546,22
2016-06-03,2,0.0%,2,0%,283,0.0%,90.5%,1702000,-1604000 ( -48.5% ),256,-202 ( -44.1% ),16477000,4802,25
2016-06-07,4,0.1%,4,0%,629,0.0%,78.9%,3250000,3250000 ( 100.0% ),496,496 ( 100.0% ),19727000,5298,20
2016-06-08,2,0.0%,2,0%,250,0.0%,95.6%,1375000,-1875000 ( -57.7% ),239,-257 ( -51.8% ),21102000,5537,30
2016-06-09,6,0.1%,6,0%,764,0.0%,98.0%,4842000,3467000 ( 252.1% ),749,510 ( 213.4% ),25944000,6286,19
2016-06-10,1,0.0%,1,0%,107,0.0%,79.4%,425000,-4417000 ( -91.2% ),85,-664 ( -88.7% ),26369000,6371,44
2016-06-13,1,0.0%,1,0%,144,0.0%,98.6%,1008000,1008000 ( 100.0% ),142,142 ( 100.0% ),27377000,6513,29
2016-06-14,1,0.0%,1,0%,92,0.0%,100.0%,552000,-456000 ( -45.2% ),92,-50 ( -35.2% ),27929000,6605,35
2016-06-15,1,0.0%,1,0%,257,0.0%,100.0%,1542000,990000 ( 179.3% ),257,165 ( 179.3% ),29471000,6862,20
2016-06-16,84,1.8%,115,0.7%,14359,0.6%,12.8%,12279000,10737000 ( 696.3% ),1839,1582 ( 615.6% ),41750000,8701,11
2016-06-17,81,1.7%,110,0.7%,13520,0.5%,10.4%,10067000,-2212000 ( -18.0% ),1408,-431 ( -23.4% ),51817000,10109,13
2016-06-18,76,1.4%,116,0.7%,14106,0.5%,19.0%,20393500,10326500 ( 102.6% ),2675,1267 ( 90.0% ),72210500,12784,13
2016-06-19,77,1.4%,111,0.7%,13403,0.5%,19.6%,19614000,-779500 ( -3.8% ),2630,-45 ( -1.7% ),91824500,15414,12
2016-06-20,77,1.6%,114,0.8%,14391,0.6%,8.5%,8383000,-11231000 ( -57.3% ),1221,-1409 ( -53.6% ),100207500,16635,13
2016-06-21,78,1.6%,118,0.8%,14623,0.6%,11.2%,10825400,2442400 ( 29.1% ),1644,423 ( 34.6% ),111032900,18279,14
2016-06-22,65,1.4%,93,0.6%,11507,0.4%,9.0%,7377000,-3448400 ( -31.9% ),1038,-606 ( -36.9% ),118409900,19317,14
2016-06-23,57,1.2%,84,0.5%,11018,0.4%,11.1%,8316000,939000 ( 12.7% ),1225,187 ( 18.0% ),126725900,20542,14
2016-06-24,63,1.3%,93,0.6%,11972,0.4%,12.2%,9941000,1625000 ( 19.5% ),1464,239 ( 19.5% ),136666900,22006,14
2016-06-25,61,1.1%,82,0.5%,9663,0.3%,20.5%,14982100,5041100 ( 50.7% ),1980,516 ( 35.2% ),151649000,23986,15
2016-06-26,60,1.1%,78,0.5%,9423,0.3%,23.5%,16516200,1534100 ( 10.2% ),2214,234 ( 11.8% ),168165200,26200,14
2016-06-27,58,1.2%,84,0.5%,11043,0.4%,7.9%,5919000,-10597200 ( -64.2% ),868,-1346 ( -60.8% ),174084200,27068,16
2016-06-28,58,1.2%,86,0.6%,11294,0.4%,9.3%,6960000,1041000 ( 17.6% ),1050,182 ( 21.0% ),181044200,28118,17
2016-06-29,35,0.7%,42,0.3%,5350,0.2%,11.7%,4013000,-2947000 ( -42.3% ),624,-426 ( -40.6% ),185057200,28742,20
2016-06-30,33,0.7%,36,0.2%,4472,0.2%,15.7%,4499000,486000 ( 12.1% ),702,78 ( 12.5% ),189556200,29444,21
2016-07-01,34,0.7%,39,0.2%,4719,0.2%,19.2%,6068600,1569600 ( 34.9% ),904,202 ( 28.8% ),195624800,30348,19
2016-07-02,30,0.5%,38,0.2%,4736,0.2%,23.7%,8136000,2067400 ( 34.1% ),1123,219 ( 24.2% ),203760800,31471,22
2016-07-03,36,0.7%,42,0.2%,5126,0.2%,34.3%,11751000,3615000 ( 44.4% ),1756,633 ( 56.4% ),215511800,33227,16
2016-07-04,30,0.6%,35,0.2%,4302,0.2%,12.5%,3920000,-7831000 ( -66.6% ),536,-1220 ( -69.5% ),219431800,33763,22
2016-07-05,33,0.7%,39,0.2%,4649,0.2%,16.2%,5285500,1365500 ( 34.8% ),751,215 ( 40.1% ),224717300,34514,18
