날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-03-12,1,0.0%,1,0%,108,0.0%,68.5%,370000,370000 ( 100.0% ),74,74 ( 100.0% ),370000,74,52
2016-03-16,3,0.1%,3,0%,379,0.0%,55.7%,1438500,1438500 ( 100.0% ),211,211 ( 100.0% ),1808500,285,29
2016-03-19,1,0.0%,1,0%,413,0.0%,12.8%,327000,327000 ( 100.0% ),53,53 ( 100.0% ),2135500,338,55
2016-04-08,1,0.0%,1,0%,107,0.0%,100.0%,963000,963000 ( 100.0% ),107,107 ( 100.0% ),3098500,445,45
2016-04-11,1,0.0%,1,0%,293,0.0%,99.0%,2610000,2610000 ( 100.0% ),290,290 ( 100.0% ),5708500,735,27
2016-04-18,2,0.0%,2,0%,444,0.0%,86.0%,3384000,3384000 ( 100.0% ),382,382 ( 100.0% ),9092500,1117,22
2016-04-21,37,0.8%,86,0.5%,12361,0.5%,11.0%,9985500,9985500 ( 100.0% ),1356,1356 ( 100.0% ),19078000,2473,12
2016-04-22,39,0.8%,92,0.6%,12388,0.5%,13.9%,14392500,4407000 ( 44.1% ),1719,363 ( 26.8% ),33470500,4192,12
2016-04-23,40,0.8%,86,0.5%,12085,0.4%,24.5%,25513900,11121400 ( 77.3% ),2965,1246 ( 72.5% ),58984400,7157,14
2016-04-24,40,0.8%,89,0.5%,12315,0.4%,25.1%,26511700,997800 ( 3.9% ),3085,120 ( 4.0% ),85496100,10242,12
2016-04-25,39,0.9%,107,0.7%,14628,0.6%,12.3%,13496400,-13015300 ( -49.1% ),1799,-1286 ( -41.7% ),98992500,12041,11
2016-04-26,38,0.8%,104,0.7%,14320,0.6%,11.6%,12389400,-1107000 ( -8.2% ),1660,-139 ( -7.7% ),111381900,13701,12
2016-04-27,35,0.8%,89,0.6%,11757,0.5%,22.8%,15871000,3481600 ( 28.1% ),2681,1021 ( 61.5% ),127252900,16382,7
2016-04-28,32,0.7%,68,0.5%,9089,0.4%,13.5%,9255500,-6615500 ( -41.7% ),1227,-1454 ( -54.2% ),136508400,17609,10
2016-04-29,36,0.8%,72,0.5%,10855,0.5%,17.1%,15083200,5827700 ( 63.0% ),1858,631 ( 51.4% ),151591600,19467,10
2016-04-30,33,0.7%,72,0.5%,10586,0.4%,25.2%,22844900,7761700 ( 51.5% ),2671,813 ( 43.8% ),174436500,22138,9
