날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-11-10,1,0.0%,1,0%,76,0.0%,100.0%,684000,684000 ( 100.0% ),76,76 ( 100.0% ),684000,76,57
2016-11-17,1,0.0%,1,0%,76,0.0%,94.7%,648000,648000 ( 100.0% ),72,72 ( 100.0% ),1332000,148,54
2016-11-18,2,0.0%,2,0%,292,0.0%,70.5%,2008000,1360000 ( 209.9% ),206,134 ( 186.1% ),3340000,354,32
2016-11-23,125,2.4%,321,2.2%,45060,1.8%,8.0%,27952000,27952000 ( 100.0% ),3599,3599 ( 100.0% ),31292000,3953,7
2016-11-24,172,3.4%,559,3.6%,77861,3.0%,11.5%,66554200,38602200 ( 138.1% ),8916,5317 ( 147.7% ),97846200,12869,5
2016-11-25,164,3.2%,557,3.5%,77659,2.9%,10.5%,65342600,-1211600 ( -1.8% ),8169,-747 ( -8.4% ),163188800,21038,5
2016-11-26,164,3.0%,498,2.9%,64960,2.3%,15.0%,82083800,16741200 ( 25.6% ),9741,1572 ( 19.2% ),245272600,30779,6
2016-11-27,163,3.1%,465,2.8%,61574,2.3%,12.6%,64713500,-17370300 ( -21.2% ),7746,-1995 ( -20.5% ),309986100,38525,7
2016-11-28,148,3.1%,412,2.7%,57740,2.3%,4.7%,20710800,-44002700 ( -68.0% ),2737,-5009 ( -64.7% ),330696900,41262,6
2016-11-29,145,2.9%,387,2.5%,54120,2.1%,4.3%,17473600,-3237200 ( -15.6% ),2328,-409 ( -14.9% ),348170500,43590,9
2016-11-30,66,1.3%,85,0.5%,11658,0.4%,7.6%,5553500,-11920100 ( -68.2% ),882,-1446 ( -62.1% ),353724000,44472,18
2016-12-01,52,1.1%,60,0.4%,8590,0.3%,4.0%,2451400,-3102100 ( -55.9% ),347,-535 ( -60.7% ),356175400,44819,27
2016-12-02,44,0.9%,55,0.3%,7512,0.3%,4.6%,2701600,250200 ( 10.2% ),344,-3 ( -0.9% ),358877000,45163,29
2016-12-03,55,1.0%,72,0.4%,9232,0.3%,5.4%,3884400,1182800 ( 43.8% ),502,158 ( 45.9% ),362761400,45665,25
2016-12-04,48,0.9%,60,0.3%,7698,0.3%,4.8%,2830800,-1053600 ( -27.1% ),366,-136 ( -27.1% ),365592200,46031,29
2016-12-05,31,0.7%,35,0.2%,4835,0.2%,2.1%,732000,-2098800 ( -74.1% ),102,-264 ( -72.1% ),366324200,46133,44
2016-12-06,33,0.7%,37,0.2%,5235,0.2%,2.2%,849000,117000 ( 16.0% ),113,11 ( 10.8% ),367173200,46246,46
2016-12-07,1,0.0%,1,0%,94,0.0%,41.5%,311000,-538000 ( -63.4% ),39,-74 ( -65.5% ),367484200,46285,72
2017-01-10,5,0.1%,5,0%,771,0.0%,63.4%,3912000,3912000 ( 100.0% ),489,489 ( 100.0% ),371396200,46774,24
2017-01-11,1,0.0%,1,0%,209,0.0%,47.8%,800000,-3112000 ( -79.6% ),100,-389 ( -79.6% ),372196200,46874,44
2017-01-14,1,0.0%,1,0%,248,0.0%,40.3%,800000,800000 ( 100.0% ),100,100 ( 100.0% ),372996200,46974,40
2017-03-29,1,0.0%,1,0%,116,0.0%,2.6%,15000,15000 ( 100.0% ),3,3 ( 100.0% ),373011200,46977,114
