날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-06-13,1,0.0%,1,0%,238,0.0%,100.0%,1428000,1428000 ( 100.0% ),238,238 ( 100.0% ),1428000,238,23
2016-06-14,4,0.1%,5,0%,1386,0.1%,88.2%,8561000,7133000 ( 499.5% ),1223,985 ( 413.9% ),9989000,1461,11
2016-06-20,9,0.2%,9,0.1%,1543,0.1%,100.0%,13887000,13887000 ( 100.0% ),1543,1543 ( 100.0% ),23876000,3004,11
2016-06-22,1,0.0%,7,0%,1393,0.1%,4.5%,480000,480000 ( 100.0% ),63,63 ( 100.0% ),24356000,3067,43
2016-06-23,463,9.6%,2334,14.7%,349035,13.2%,15.3%,404585600,404105600 ( 84188.7% ),53485,53422 ( 84796.8% ),428941600,56552,2
2016-06-24,474,9.5%,2323,14.3%,345879,12.8%,12.8%,372690283,-31895317 ( -7.9% ),44302,-9183 ( -17.2% ),801631883,100854,5
2016-06-25,502,9.3%,2083,12.2%,305003,10.8%,16.9%,442132256,69441973 ( 18.6% ),51512,7210 ( 16.3% ),1243764139,152366,6
2016-06-26,493,9.2%,1954,11.8%,283987,10.4%,14.6%,356135200,-85997056 ( -19.5% ),41340,-10172 ( -19.7% ),1599899339,193706,6
2016-06-27,435,9.3%,1994,13%,287979,11.2%,6.5%,140908500,-215226700 ( -60.4% ),18830,-22510 ( -54.5% ),1740807839,212536,6
2016-06-28,438,9.2%,1922,12.6%,279945,11.0%,6.4%,132382200,-8526300 ( -6.1% ),17817,-1013 ( -5.4% ),1873190039,230353,6
2016-06-29,269,5.3%,492,3%,60210,2.2%,7.2%,28806600,-103575600 ( -78.2% ),4341,-13476 ( -75.6% ),1901996639,234694,11
2016-06-30,183,3.6%,327,2%,37964,1.4%,6.0%,17320900,-11485700 ( -39.9% ),2277,-2064 ( -47.5% ),1919317539,236971,13
2016-07-01,159,3.1%,278,1.6%,31768,1.1%,6.0%,16090100,-1230800 ( -7.1% ),1906,-371 ( -16.3% ),1935407639,238877,14
2016-07-02,120,2.1%,178,1%,19918,0.7%,10.1%,16804800,714700 ( 4.4% ),2009,103 ( 5.4% ),1952212439,240886,17
2016-07-03,113,2.0%,171,1%,19754,0.7%,9.5%,15754800,-1050000 ( -6.2% ),1871,-138 ( -6.9% ),1967967239,242757,15
2016-07-04,141,3.0%,242,1.5%,27464,1.0%,6.1%,12422000,-3332800 ( -21.2% ),1670,-201 ( -10.7% ),1980389239,244427,13
2016-07-05,141,2.9%,240,1.5%,26970,1.0%,6.8%,13721500,1299500 ( 10.5% ),1842,172 ( 10.3% ),1994110739,246269,13
2016-07-06,21,0.4%,30,0.2%,2820,0.1%,26.7%,6000000,-7721500 ( -56.3% ),753,-1089 ( -59.1% ),2000110739,247022,18
2016-07-07,27,0.5%,29,0.2%,4014,0.1%,16.6%,4206000,-1794000 ( -29.9% ),665,-88 ( -11.7% ),2004316739,247687,23
2016-07-08,27,0.5%,28,0.2%,3802,0.1%,19.8%,5190500,984500 ( 23.4% ),753,88 ( 13.2% ),2009507239,248440,23
2016-07-09,9,0.1%,11,0.1%,1639,0.1%,22.4%,2947000,-2243500 ( -43.2% ),367,-386 ( -51.3% ),2012454239,248807,32
2016-07-10,10,0.2%,12,0.1%,1539,0.1%,21.4%,2542000,-405000 ( -13.7% ),330,-37 ( -10.1% ),2014996239,249137,32
2016-07-11,4,0.1%,5,0%,507,0.0%,21.9%,819000,-1723000 ( -67.8% ),111,-219 ( -66.4% ),2015815239,249248,41
2016-07-12,5,0.1%,7,0%,651,0.0%,19.5%,943000,124000 ( 15.1% ),127,16 ( 14.4% ),2016758239,249375,41
2016-07-13,1,0.0%,1,0%,92,0.0%,33.7%,273000,-670000 ( -71.0% ),31,-96 ( -75.6% ),2017031239,249406,61
2016-07-14,1,0.0%,1,0%,160,0.0%,15.6%,212000,-61000 ( -22.3% ),25,-6 ( -19.4% ),2017243239,249431,58
2016-07-15,2,0.0%,3,0%,344,0.0%,32.3%,1087000,875000 ( 412.7% ),111,86 ( 344.0% ),2018330239,249542,44
2016-07-16,3,0.0%,4,0%,364,0.0%,39.0%,1224000,137000 ( 12.6% ),142,31 ( 27.9% ),2019554239,249684,43
2016-07-17,5,0.1%,6,0%,648,0.0%,21.5%,1322000,98000 ( 8.0% ),139,-3 ( -2.1% ),2020876239,249823,41
2016-07-18,2,0.0%,4,0%,346,0.0%,14.7%,378000,-944000 ( -71.4% ),51,-88 ( -63.3% ),2021254239,249874,49
2016-07-19,3,0.1%,6,0%,476,0.0%,18.3%,650000,272000 ( 72.0% ),87,36 ( 70.6% ),2021904239,249961,49
2016-07-20,1,0.0%,3,0%,174,0.0%,24.1%,362000,-288000 ( -44.3% ),42,-45 ( -51.7% ),2022266239,250003,53
2016-07-21,2,0.0%,2,0%,150,0.0%,27.3%,367000,5000 ( 1.4% ),41,-1 ( -2.4% ),2022633239,250044,47
2016-07-22,1,0.0%,2,0%,184,0.0%,16.3%,297000,-70000 ( -19.1% ),30,-11 ( -26.8% ),2022930239,250074,49
2016-07-23,1,0.0%,1,0%,92,0.0%,89.1%,814000,517000 ( 174.1% ),82,52 ( 173.3% ),2023744239,250156,50
2016-07-24,2,0.0%,2,0%,150,0.0%,25.3%,348000,-466000 ( -57.2% ),38,-44 ( -53.7% ),2024092239,250194,60
2016-07-25,1,0.0%,1,0%,58,0.0%,32.8%,169000,-179000 ( -51.4% ),19,-19 ( -50.0% ),2024261239,250213,66
2016-07-26,1,0.0%,2,0%,116,0.0%,19.8%,199000,30000 ( 17.8% ),23,4 ( 21.1% ),2024460239,250236,70
2016-07-27,2,0.0%,2,0%,150,0.0%,6.7%,90000,-109000 ( -54.8% ),10,-13 ( -56.5% ),2024550239,250246,74
2016-07-29,1,0.0%,1,0%,58,0.0%,31.0%,180000,180000 ( 100.0% ),18,18 ( 100.0% ),2024730239,250264,63
2016-07-30,1,0.0%,1,0%,58,0.0%,25.9%,150000,-30000 ( -16.7% ),15,-3 ( -16.7% ),2024880239,250279,66
2016-08-01,1,0.0%,1,0%,58,0.0%,10.3%,54000,54000 ( 100.0% ),6,6 ( 100.0% ),2024934239,250285,56
2016-08-02,1,0.0%,1,0%,58,0.0%,6.9%,24000,-30000 ( -55.6% ),4,-2 ( -33.3% ),2024958239,250289,76
2016-08-04,1,0.0%,1,0%,92,0.0%,5.4%,44000,44000 ( 100.0% ),5,5 ( 100.0% ),2025002239,250294,71
2016-08-05,1,0.0%,1,0%,58,0.0%,5.2%,21000,-23000 ( -52.3% ),3,-2 ( -40.0% ),2025023239,250297,76
2016-08-06,1,0.0%,1,0%,58,0.0%,37.9%,217000,196000 ( 933.3% ),22,19 ( 633.3% ),2025240239,250319,57
2016-08-07,2,0.0%,2,0%,294,0.0%,63.6%,1414000,1197000 ( 551.6% ),187,165 ( 750.0% ),2026654239,250506,27
2016-08-14,1,0.0%,1,0%,58,0.0%,44.8%,248000,248000 ( 100.0% ),26,26 ( 100.0% ),2026902239,250532,67
2016-08-15,1,0.0%,1,0%,58,0.0%,20.7%,120000,-128000 ( -51.6% ),12,-14 ( -53.8% ),2027022239,250544,79
2016-08-18,1,0.0%,1,0%,92,0.0%,10.9%,89000,89000 ( 100.0% ),10,10 ( 100.0% ),2027111239,250554,83
2016-08-19,1,0.0%,2,0%,116,0.0%,12.9%,122000,33000 ( 37.1% ),15,5 ( 50.0% ),2027233239,250569,78
2016-08-22,1,0.0%,2,0%,116,0.0%,12.9%,134000,134000 ( 100.0% ),15,15 ( 100.0% ),2027367239,250584,68
2016-08-23,1,0.0%,2,0%,116,0.0%,17.2%,154000,20000 ( 14.9% ),20,5 ( 33.3% ),2027521239,250604,77
2016-08-24,1,0.0%,2,0%,116,0.0%,6.9%,60000,-94000 ( -61.0% ),8,-12 ( -60.0% ),2027581239,250612,90
2016-09-09,1,0.0%,1,0%,850,0.0%,0.4%,24000,24000 ( 100.0% ),3,3 ( 100.0% ),2027605239,250615,93
2016-09-10,1,0.0%,1,0%,850,0.0%,1.3%,84000,60000 ( 250.0% ),11,8 ( 266.7% ),2027689239,250626,86
2016-09-11,1,0.0%,1,0%,850,0.0%,0.5%,32000,-52000 ( -61.9% ),4,-7 ( -63.6% ),2027721239,250630,99
2016-09-23,1,0.0%,1,0%,119,0.0%,16.8%,80000,80000 ( 100.0% ),20,20 ( 100.0% ),2027801239,250650,80
2016-10-27,1,0.0%,1,0%,110,0.0%,100.0%,990000,990000 ( 100.0% ),110,110 ( 100.0% ),2028791239,250760,47
2016-12-18,1,0.0%,1,0%,77,0.0%,40.3%,277000,277000 ( 100.0% ),31,31 ( 100.0% ),2029068239,250791,55
2016-12-23,1,0.0%,1,0%,77,0.0%,49.4%,342000,342000 ( 100.0% ),38,38 ( 100.0% ),2029410239,250829,52
2017-03-31,1,0.0%,1,0%,200,0.0%,3.0%,35000,35000 ( 100.0% ),6,6 ( 100.0% ),2029445239,250835,80
