날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-01-19,3,0.1%,3,0%,737,0.0%,100.0%,6800000,6800000 ( 100.0% ),737,737 ( 100.0% ),6800000,737,17
2018-01-23,9,0.2%,9,0.1%,1309,0.0%,94.7%,10086000,10086000 ( 100.0% ),1239,1239 ( 100.0% ),16886000,1976,15
2018-01-24,347,6.1%,647,3.7%,82175,2.9%,10.9%,64972100,54886100 ( 544.2% ),8922,7683 ( 620.1% ),81858100,10898,8
2018-01-25,347,5.5%,648,3.6%,81217,2.8%,7.5%,38644300,-26327800 ( -40.5% ),6087,-2835 ( -31.8% ),120502400,16985,8
2018-01-26,325,5.0%,560,3.1%,69216,2.4%,7.8%,35665100,-2979200 ( -7.7% ),5399,-688 ( -11.3% ),156167500,22384,8
2018-01-27,310,4.4%,475,2.5%,55739,1.9%,10.7%,45797300,10132200 ( 28.4% ),5986,587 ( 10.9% ),201964800,28370,10
2018-01-28,302,4.3%,459,2.5%,53205,1.8%,11.5%,43196100,-2601200 ( -5.7% ),6100,114 ( 1.9% ),245160900,34470,10
2018-01-29,291,4.7%,468,2.7%,56675,2.0%,6.7%,22214800,-20981300 ( -48.6% ),3800,-2300 ( -37.7% ),267375700,38270,10
2018-01-30,304,4.7%,470,2.7%,56622,2.0%,5.2%,19212500,-3002300 ( -13.5% ),2936,-864 ( -22.7% ),286588200,41206,10
2018-01-31,48,0.8%,53,0.3%,5278,0.2%,11.0%,3950500,-15262000 ( -79.4% ),579,-2357 ( -80.3% ),290538700,41785,19
2018-02-01,20,0.3%,22,0.1%,2118,0.1%,11.9%,1524000,-2426500 ( -61.4% ),252,-327 ( -56.5% ),292062700,42037,34
2018-02-02,22,0.3%,26,0.1%,2218,0.1%,10.1%,1584000,60000 ( 3.9% ),225,-27 ( -10.7% ),293646700,42262,36
2018-02-03,22,0.3%,28,0.1%,2365,0.1%,14.1%,2236000,652000 ( 41.2% ),333,108 ( 48.0% ),295882700,42595,32
2018-02-04,22,0.3%,27,0.1%,2017,0.1%,16.6%,2262500,26500 ( 1.2% ),334,1 ( 0.3% ),298145200,42929,31
2018-02-05,25,0.4%,28,0.2%,2929,0.1%,11.4%,1956500,-306000 ( -13.5% ),335,1 ( 0.3% ),300101700,43264,23
2018-02-06,19,0.3%,22,0.1%,2019,0.1%,7.6%,908000,-1048500 ( -53.6% ),154,-181 ( -54.0% ),301009700,43418,41
2018-02-07,18,0.3%,19,0.1%,1536,0.1%,14.9%,1429000,521000 ( 57.4% ),229,75 ( 48.7% ),302438700,43647,31
2018-02-08,4,0.1%,5,0%,413,0.0%,27.6%,690000,-739000 ( -51.7% ),114,-115 ( -50.2% ),303128700,43761,49
2018-02-09,5,0.1%,5,0%,914,0.0%,69.1%,5009500,4319500 ( 626.0% ),632,518 ( 454.4% ),308138200,44393,26
2018-02-10,5,0.1%,5,0%,777,0.0%,5.9%,295000,-4714500 ( -94.1% ),46,-586 ( -92.7% ),308433200,44439,70
2018-02-11,5,0.1%,5,0%,533,0.0%,12.9%,495000,200000 ( 67.8% ),69,23 ( 50.0% ),308928200,44508,65
2018-02-12,2,0.0%,2,0%,182,0.0%,5.5%,70000,-425000 ( -85.9% ),10,-59 ( -85.5% ),308998200,44518,72
2018-02-13,5,0.1%,5,0%,448,0.0%,9.4%,234000,164000 ( 234.3% ),42,32 ( 320.0% ),309232200,44560,64
2018-02-14,2,0.0%,2,0%,209,0.0%,2.9%,36000,-198000 ( -84.6% ),6,-36 ( -85.7% ),309268200,44566,86
2018-02-15,1,0.0%,1,0%,108,0.0%,3.7%,32000,-4000 ( -11.1% ),4,-2 ( -33.3% ),309300200,44570,83
2018-02-16,2,0.0%,2,0%,209,0.0%,8.1%,106000,74000 ( 231.3% ),17,13 ( 325.0% ),309406200,44587,64
2018-02-17,1,0.0%,1,0%,108,0.0%,7.4%,64000,-42000 ( -39.6% ),8,-9 ( -52.9% ),309470200,44595,86
2018-02-18,1,0.0%,1,0%,108,0.0%,18.5%,160000,96000 ( 150.0% ),20,12 ( 150.0% ),309630200,44615,77
2018-02-19,2,0.0%,3,0%,532,0.0%,6.4%,140000,-20000 ( -12.5% ),34,14 ( 70.0% ),309770200,44649,64
2018-02-20,6,0.1%,6,0%,626,0.0%,28.9%,854000,714000 ( 510.0% ),181,147 ( 432.4% ),310624200,44830,41
