날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-07-17,1,0.0%,1,0%,188,0.0%,100.0%,1692000,1692000 ( 100.0% ),188,188 ( 100.0% ),1692000,188,38
2016-07-18,1,0.0%,1,0%,126,0.0%,100.0%,882000,-810000 ( -47.9% ),126,-62 ( -33.0% ),2574000,314,39
2016-07-20,4,0.1%,4,0%,911,0.0%,99.8%,7498000,7498000 ( 100.0% ),909,909 ( 100.0% ),10072000,1223,12
2016-07-27,323,7.0%,615,3.6%,76507,2.7%,27.7%,143628000,143628000 ( 100.0% ),21181,21181 ( 100.0% ),153700000,22404,7
2016-07-28,332,7.0%,608,3.5%,76482,2.6%,33.2%,177347460,33719460 ( 23.5% ),25414,4233 ( 20.0% ),331047460,47818,6
2016-07-29,321,6.8%,566,3.2%,70606,2.4%,35.4%,193715600,16368140 ( 9.2% ),24967,-447 ( -1.8% ),524763060,72785,7
2016-07-30,307,6.2%,483,2.6%,59641,2.0%,36.4%,170316300,-23399300 ( -12.1% ),21738,-3229 ( -12.9% ),695079360,94523,8
2016-07-31,308,6.3%,470,2.6%,56856,1.9%,36.2%,163536700,-6779600 ( -4.0% ),20560,-1178 ( -5.4% ),858616060,115083,8
2016-08-01,297,6.5%,437,2.5%,51760,1.8%,36.5%,132265660,-31271040 ( -19.1% ),18910,-1650 ( -8.0% ),990881720,133993,8
2016-08-02,290,6.2%,452,2.5%,53685,1.8%,36.5%,135205500,2939840 ( 2.2% ),19588,678 ( 3.6% ),1126087220,153581,8
2016-08-03,24,0.5%,27,0.2%,3129,0.1%,37.1%,7963600,-127241900 ( -94.1% ),1161,-18427 ( -94.1% ),1134050820,154742,15
2016-08-04,24,0.5%,26,0.1%,2989,0.1%,25.9%,5187000,-2776600 ( -34.9% ),774,-387 ( -33.3% ),1139237820,155516,21
2016-08-05,21,0.4%,24,0.1%,3037,0.1%,23.0%,5074300,-112700 ( -2.2% ),698,-76 ( -9.8% ),1144312120,156214,17
2016-08-06,16,0.3%,20,0.1%,2319,0.1%,26.7%,4260200,-814100 ( -16.0% ),620,-78 ( -11.2% ),1148572320,156834,19
2016-08-07,18,0.3%,22,0.1%,2401,0.1%,21.2%,3727500,-532700 ( -12.5% ),508,-112 ( -18.1% ),1152299820,157342,19
2016-08-08,15,0.3%,15,0.1%,1482,0.1%,30.0%,3208000,-519500 ( -13.9% ),445,-63 ( -12.4% ),1155507820,157787,18
2016-08-09,20,0.4%,24,0.1%,3132,0.1%,38.1%,9223800,6015800 ( 187.5% ),1193,748 ( 168.1% ),1164731620,158980,14
2016-08-10,6,0.1%,9,0.1%,1235,0.0%,23.9%,1515000,-7708800 ( -83.6% ),295,-898 ( -75.3% ),1166246620,159275,27
2016-08-11,8,0.1%,11,0.1%,1261,0.0%,23.9%,1505300,-9700 ( -0.6% ),302,7 ( 2.4% ),1167751920,159577,25
2016-08-12,5,0.1%,7,0%,1107,0.0%,16.9%,1074000,-431300 ( -28.7% ),187,-115 ( -38.1% ),1168825920,159764,27
2016-08-13,4,0.1%,8,0%,1337,0.0%,11.5%,704800,-369200 ( -34.4% ),154,-33 ( -17.6% ),1169530720,159918,42
2016-08-14,5,0.1%,9,0%,1549,0.1%,15.2%,1080000,375200 ( 53.2% ),236,82 ( 53.2% ),1170610720,160154,30
2016-08-15,2,0.0%,2,0%,152,0.0%,65.1%,692000,-388000 ( -35.9% ),99,-137 ( -58.1% ),1171302720,160253,47
2016-08-16,2,0.0%,4,0%,591,0.0%,8.6%,192000,-500000 ( -72.3% ),51,-48 ( -48.5% ),1171494720,160304,57
2016-08-17,3,0.1%,6,0%,888,0.0%,17.7%,692000,500000 ( 260.4% ),157,106 ( 207.8% ),1172186720,160461,46
2016-08-18,1,0.0%,1,0%,36,0.0%,100.0%,180000,-512000 ( -74.0% ),36,-121 ( -77.1% ),1172366720,160497,67
2016-08-19,2,0.0%,2,0%,212,0.0%,56.1%,595000,415000 ( 230.6% ),119,83 ( 230.6% ),1172961720,160616,43
2016-08-20,1,0.0%,1,0%,169,0.0%,100.0%,845000,250000 ( 42.0% ),169,50 ( 42.0% ),1173806720,160785,40
2016-08-31,1,0.0%,1,0%,137,0.0%,21.2%,155000,155000 ( 100.0% ),29,29 ( 100.0% ),1173961720,160814,78
2016-09-09,1,0.0%,1,0%,104,0.0%,44.2%,235000,235000 ( 100.0% ),46,46 ( 100.0% ),1174196720,160860,60
2016-10-15,1,0.0%,1,0%,130,0.0%,3.1%,20000,20000 ( 100.0% ),4,4 ( 100.0% ),1174216720,160864,108
2016-10-23,1,0.0%,1,0%,130,0.0%,20.8%,144000,144000 ( 100.0% ),27,27 ( 100.0% ),1174360720,160891,85
2016-10-28,1,0.0%,1,0%,130,0.0%,64.6%,504000,504000 ( 100.0% ),84,84 ( 100.0% ),1174864720,160975,48
2016-10-30,1,0.0%,1,0%,130,0.0%,21.5%,140000,140000 ( 100.0% ),28,28 ( 100.0% ),1175004720,161003,68
2016-11-06,1,0.0%,1,0%,130,0.0%,3.8%,33000,33000 ( 100.0% ),5,5 ( 100.0% ),1175037720,161008,93
2016-11-10,1,0.0%,1,0%,141,0.0%,22.7%,192000,192000 ( 100.0% ),32,32 ( 100.0% ),1175229720,161040,75
2016-11-13,1,0.0%,1,0%,130,0.0%,14.6%,109000,109000 ( 100.0% ),19,19 ( 100.0% ),1175338720,161059,84
2016-11-20,1,0.0%,1,0%,130,0.0%,18.5%,125000,125000 ( 100.0% ),24,24 ( 100.0% ),1175463720,161083,82
2016-11-27,1,0.0%,1,0%,130,0.0%,7.7%,50000,50000 ( 100.0% ),10,10 ( 100.0% ),1175513720,161093,105
2016-11-30,1,0.0%,1,0%,130,0.0%,67.7%,528000,528000 ( 100.0% ),88,88 ( 100.0% ),1176041720,161181,58
