날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-06-23,3,0.1%,3,0%,829,0.0%,100.0%,6632000,6632000 ( 100.0% ),829,829 ( 100.0% ),6632000,829,17
2016-06-27,10,0.2%,11,0.1%,3586,0.1%,99.5%,28544000,28544000 ( 100.0% ),3568,3568 ( 100.0% ),35176000,4397,11
2016-06-28,5,0.1%,6,0%,1180,0.0%,96.4%,8670000,-19874000 ( -69.6% ),1138,-2430 ( -68.1% ),43846000,5535,16
2016-06-29,696,13.8%,3574,21.7%,665113,24.1%,24.2%,961451300,952781300 ( 10989.4% ),161021,159883 ( 14049.5% ),1005297300,166556,1
2016-06-30,665,13.3%,3614,21.7%,684095,24.7%,10.0%,512203900,-449247400 ( -46.7% ),68190,-92831 ( -57.7% ),1517501200,234746,2
2016-07-01,691,13.5%,3659,21.7%,703182,24.9%,10.0%,584212888,72008988 ( 14.1% ),70271,2081 ( 3.1% ),2101714088,305017,3
2016-07-02,686,12.3%,3572,19.9%,677893,22.7%,18.8%,1088806627,504593739 ( 86.4% ),127520,57249 ( 81.5% ),3190520715,432537,3
2016-07-03,656,11.9%,3288,18.9%,618248,21.3%,16.3%,858217500,-230589127 ( -21.2% ),101049,-26471 ( -20.8% ),4048738215,533586,3
2016-07-04,572,12.0%,2966,18.6%,507818,19.0%,6.6%,252253400,-605964100 ( -70.6% ),33716,-67333 ( -66.6% ),4300991615,567302,3
2016-07-05,571,11.5%,2836,17.8%,486573,18.3%,6.4%,237457900,-14795500 ( -5.9% ),31226,-2490 ( -7.4% ),4538449515,598528,3
2016-07-06,383,7.7%,1042,6.5%,135633,5.1%,7.8%,80368200,-157089700 ( -66.2% ),10613,-20613 ( -66.0% ),4618817715,609141,5
2016-07-07,344,6.5%,868,5.4%,111897,4.2%,5.6%,46688100,-33680100 ( -41.9% ),6284,-4329 ( -40.8% ),4665505815,615425,8
2016-07-08,348,6.2%,833,5%,106744,3.9%,6.4%,56641500,9953400 ( 21.3% ),6847,563 ( 9.0% ),4722147315,622272,8
2016-07-09,317,5.0%,591,3.4%,74658,2.6%,10.8%,67428400,10786900 ( 19.0% ),8049,1202 ( 17.6% ),4789575715,630321,11
2016-07-10,310,5.0%,550,3.2%,70187,2.5%,9.6%,57560000,-9868400 ( -14.6% ),6760,-1289 ( -16.0% ),4847135715,637081,10
2016-07-11,292,5.7%,657,4.2%,83885,3.2%,4.7%,29351300,-28208700 ( -49.0% ),3909,-2851 ( -42.2% ),4876487015,640990,10
2016-07-12,298,5.1%,545,3.5%,72296,2.8%,4.7%,24715000,-4636300 ( -15.8% ),3377,-532 ( -13.6% ),4901202015,644367,11
2016-07-13,46,1.0%,55,0.3%,7168,0.3%,5.0%,2462000,-22253000 ( -90.0% ),357,-3020 ( -89.4% ),4903664015,644724,27
2016-07-14,30,0.6%,33,0.2%,4416,0.2%,9.3%,3120000,658000 ( 26.7% ),411,54 ( 15.1% ),4906784015,645135,26
2016-07-15,27,0.5%,30,0.2%,3656,0.1%,5.3%,1312000,-1808000 ( -57.9% ),194,-217 ( -52.8% ),4908096015,645329,35
2016-07-16,16,0.3%,19,0.1%,2197,0.1%,5.7%,1009000,-303000 ( -23.1% ),125,-69 ( -35.6% ),4909105015,645454,46
2016-07-17,16,0.3%,19,0.1%,2348,0.1%,5.4%,1067000,58000 ( 5.7% ),126,1 ( 0.8% ),4910172015,645580,42
2016-07-18,19,0.4%,21,0.1%,2748,0.1%,3.6%,727000,-340000 ( -31.9% ),98,-28 ( -22.2% ),4910899015,645678,42
2016-07-19,21,0.4%,23,0.1%,2716,0.1%,3.3%,623000,-104000 ( -14.3% ),89,-9 ( -9.2% ),4911522015,645767,48
2016-07-20,5,0.1%,5,0%,787,0.0%,3.7%,226000,-397000 ( -63.7% ),29,-60 ( -67.4% ),4911748015,645796,57
2016-07-21,5,0.1%,5,0%,630,0.0%,2.4%,84000,-142000 ( -62.8% ),15,-14 ( -48.3% ),4911832015,645811,56
2016-07-22,6,0.1%,7,0%,783,0.0%,1.8%,106000,22000 ( 26.2% ),14,-1 ( -6.7% ),4911938015,645825,57
2016-07-23,4,0.1%,5,0%,673,0.0%,4.8%,285000,179000 ( 168.9% ),32,18 ( 128.6% ),4912223015,645857,69
2016-07-24,4,0.1%,4,0%,402,0.0%,2.7%,101000,-184000 ( -64.6% ),11,-21 ( -65.6% ),4912324015,645868,69
2016-07-25,5,0.1%,6,0%,837,0.0%,1.4%,69000,-32000 ( -31.7% ),12,1 ( 9.1% ),4912393015,645880,68
2016-07-26,8,0.2%,8,0%,1127,0.0%,2.0%,133000,64000 ( 92.8% ),22,10 ( 83.3% ),4912526015,645902,71
2016-07-27,1,0.0%,1,0%,144,0.0%,4.9%,44500,-88500 ( -66.5% ),7,-15 ( -68.2% ),4912570515,645909,80
2016-07-29,1,0.0%,1,0%,94,0.0%,4.3%,28000,28000 ( 100.0% ),4,4 ( 100.0% ),4912598515,645913,81
2016-07-30,1,0.0%,1,0%,94,0.0%,4.3%,31000,3000 ( 10.7% ),4,0 ( 0.0% ),4912629515,645917,80
2016-07-31,1,0.0%,1,0%,94,0.0%,2.1%,11000,-20000 ( -64.5% ),2,-2 ( -50.0% ),4912640515,645919,82
2016-08-01,1,0.0%,1,0%,94,0.0%,0.0%,0,-11000 ( -100.0% ),0,-2 ( -100.0% ),4912640515,645919,78
2016-08-02,1,0.0%,1,0%,94,0.0%,1.1%,6000,6000 ( 100.0% ),1,1 ( 100.0% ),4912646515,645920,85
2016-08-03,1,0.0%,1,0%,94,0.0%,2.1%,12000,6000 ( 100.0% ),2,1 ( 100.0% ),4912658515,645922,92
