날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-10-20,1,0.0%,1,0%,238,0.0%,100.0%,1904000,1904000 ( 100.0% ),238,238 ( 100.0% ),1904000,238,29
2016-11-03,8,0.2%,8,0.1%,1511,0.1%,100.0%,12088000,12088000 ( 100.0% ),1511,1511 ( 100.0% ),13992000,1749,16
2016-11-15,4,0.1%,4,0%,860,0.0%,100.2%,7246000,7246000 ( 100.0% ),862,862 ( 100.0% ),21238000,2611,21
2016-11-16,1,0.0%,1,0%,173,0.0%,101.2%,1750000,-5496000 ( -75.8% ),175,-687 ( -79.7% ),22988000,2786,36
2016-11-17,2,0.0%,2,0%,428,0.0%,100.5%,3790000,2040000 ( 116.6% ),430,255 ( 145.7% ),26778000,3216,25
2016-12-19,9,0.2%,16,0.1%,2888,0.1%,100.0%,23008000,23008000 ( 100.0% ),2888,2888 ( 100.0% ),49786000,6104,11
2016-12-20,26,0.5%,26,0.2%,5683,0.2%,97.8%,45156000,22148000 ( 96.3% ),5556,2668 ( 92.4% ),94942000,11660,8
2016-12-21,1,0.0%,1,0%,131,0.0%,0.0%,0,-45156000 ( -100.0% ),0,-5556 ( -100.0% ),94942000,11660,113
2016-12-22,1,0.0%,1,0%,358,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),94942000,11660,101
2016-12-23,5,0.1%,5,0%,940,0.0%,78.5%,6642000,6642000 ( 100.0% ),738,738 ( 100.0% ),101584000,12398,19
2016-12-26,11,0.2%,12,0.1%,3510,0.1%,100.0%,28080000,28080000 ( 100.0% ),3510,3510 ( 100.0% ),129664000,15908,7
2016-12-30,3,0.1%,3,0%,502,0.0%,100.0%,5020000,5020000 ( 100.0% ),502,502 ( 100.0% ),134684000,16410,24
2017-01-02,3,0.1%,3,0%,443,0.0%,76.1%,2696000,2696000 ( 100.0% ),337,337 ( 100.0% ),137380000,16747,20
2017-01-03,20,0.4%,20,0.1%,3750,0.1%,51.5%,18682800,15986800 ( 593.0% ),1930,1593 ( 472.7% ),156062800,18677,11
2017-01-04,496,8.3%,1942,11.3%,300165,10.7%,15.0%,334212300,315529500 ( 1688.9% ),44941,43011 ( 2228.5% ),490275100,63618,4
2017-01-05,495,8.0%,1848,10.7%,279152,9.9%,13.0%,268551700,-65660600 ( -19.6% ),36355,-8586 ( -19.1% ),758826800,99973,5
2017-01-06,507,8.0%,1789,10.1%,264505,9.2%,13.0%,282776370,14224670 ( 5.3% ),34492,-1863 ( -5.1% ),1041603170,134465,5
2017-01-07,534,8.2%,1596,8.7%,216117,7.2%,26.8%,476635370,193859000 ( 68.6% ),57846,23354 ( 67.7% ),1518238540,192311,6
2017-01-08,542,8.4%,1533,8.6%,209828,7.2%,25.7%,450612400,-26022970 ( -5.5% ),53856,-3990 ( -6.9% ),1968850940,246167,6
2017-01-09,494,8.5%,1530,9%,212296,7.6%,9.6%,150380500,-300231900 ( -66.6% ),20277,-33579 ( -62.3% ),2119231440,266444,6
2017-01-10,498,8.2%,1501,8.8%,207279,7.4%,9.9%,149426000,-954500 ( -0.6% ),20444,167 ( 0.8% ),2268657440,286888,7
2017-01-11,324,5.8%,688,4%,86831,3.1%,10.4%,64180000,-85246000 ( -57.0% ),8989,-11455 ( -56.0% ),2332837440,295877,9
2017-01-12,250,4.4%,458,2.7%,55146,2.0%,12.2%,49425300,-14754700 ( -23.0% ),6741,-2248 ( -25.0% ),2382262740,302618,10
2017-01-13,261,4.4%,463,2.6%,56231,1.9%,11.4%,50090200,664900 ( 1.3% ),6433,-308 ( -4.6% ),2432352940,309051,10
2017-01-14,248,4.0%,432,2.4%,49222,1.6%,22.0%,86948300,36858100 ( 73.6% ),10814,4381 ( 68.1% ),2519301240,319865,10
2017-01-15,238,3.9%,401,2.3%,46536,1.6%,20.8%,77488500,-9459800 ( -10.9% ),9683,-1131 ( -10.5% ),2596789740,329548,10
2017-01-16,235,4.2%,424,2.5%,51259,1.9%,8.6%,31321600,-46166900 ( -59.6% ),4433,-5250 ( -54.2% ),2628111340,333981,8
2017-01-17,248,4.2%,428,2.6%,51895,1.9%,8.9%,31703700,382100 ( 1.2% ),4607,174 ( 3.9% ),2659815040,338588,10
2017-01-18,10,0.2%,13,0.1%,1693,0.1%,12.3%,1138000,-30565700 ( -96.4% ),209,-4398 ( -95.5% ),2660953040,338797,36
