날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-04-16,2,0.0%,2,0%,406,0.0%,100.0%,3248000,3248000 ( 100.0% ),406,406 ( 100.0% ),3248000,406,18
2018-04-24,10,0.2%,10,0.1%,2150,0.1%,99.4%,17104000,17104000 ( 100.0% ),2138,2138 ( 100.0% ),20352000,2544,13
2018-04-25,427,8.0%,841,5.4%,99632,4.0%,7.9%,49784000,32680000 ( 191.1% ),7827,5689 ( 266.1% ),70136000,10371,4
2018-04-26,434,8.7%,863,5.5%,101941,4.1%,5.2%,40861400,-8922600 ( -17.9% ),5260,-2567 ( -32.8% ),110997400,15631,3
2018-04-27,428,8.6%,826,5.1%,97719,3.8%,6.1%,51158400,10297000 ( 25.2% ),5939,679 ( 12.9% ),162155800,21570,3
2018-04-28,404,7.8%,711,4.2%,83213,3.1%,10.2%,72385700,21227300 ( 41.5% ),8481,2542 ( 42.8% ),234541500,30051,4
2018-04-29,406,7.9%,692,4.1%,80816,3.1%,10.3%,72571300,185600 ( 0.3% ),8317,-164 ( -1.9% ),307112800,38368,4
2018-04-30,409,8.2%,742,4.6%,86938,3.4%,6.0%,40174700,-32396600 ( -44.6% ),5252,-3065 ( -36.9% ),347287500,43620,4
2018-05-01,271,5.8%,346,2%,39643,1.5%,5.8%,16744900,-23429800 ( -58.3% ),2308,-2944 ( -56.1% ),364032400,45928,8
2018-05-02,181,4.1%,242,1.5%,28554,1.1%,3.9%,8503800,-8241100 ( -49.2% ),1117,-1191 ( -51.6% ),372536200,47045,8
2018-05-03,66,1.4%,80,0.5%,8507,0.3%,4.1%,2601400,-5902400 ( -69.4% ),353,-764 ( -68.4% ),375137600,47398,22
2018-05-04,75,1.5%,90,0.5%,9664,0.4%,6.8%,4780500,2179100 ( 83.8% ),661,308 ( 87.3% ),379918100,48059,15
2018-05-05,46,0.8%,51,0.3%,5164,0.2%,6.8%,2805800,-1974700 ( -41.3% ),352,-309 ( -46.7% ),382723900,48411,21
2018-05-06,47,0.8%,55,0.3%,5629,0.2%,9.5%,4237000,1431200 ( 51.0% ),537,185 ( 52.6% ),386960900,48948,15
2018-05-07,51,0.9%,55,0.3%,5606,0.2%,5.3%,2347200,-1889800 ( -44.6% ),298,-239 ( -44.5% ),389308100,49246,24
2018-05-08,57,1.2%,69,0.4%,8033,0.3%,3.9%,2334600,-12600 ( -0.5% ),314,16 ( 5.4% ),391642700,49560,21
2018-05-09,9,0.2%,12,0.1%,1008,0.0%,3.3%,275500,-2059100 ( -88.2% ),33,-281 ( -89.5% ),391918200,49593,59
2018-05-10,2,0.0%,2,0%,201,0.0%,1.0%,11000,-264500 ( -96.0% ),2,-31 ( -93.9% ),391929200,49595,87
2018-05-11,4,0.1%,5,0%,490,0.0%,4.1%,189500,178500 ( 1622.7% ),20,18 ( 900.0% ),392118700,49615,62
2018-05-12,2,0.0%,2,0%,196,0.0%,4.1%,71500,-118000 ( -62.3% ),8,-12 ( -60.0% ),392190200,49623,84
2018-05-13,3,0.1%,3,0%,245,0.0%,3.7%,71000,-500 ( -0.7% ),9,1 ( 12.5% ),392261200,49632,74
2018-05-14,2,0.0%,2,0%,196,0.0%,2.0%,35000,-36000 ( -50.7% ),4,-5 ( -55.6% ),392296200,49636,78
2018-05-15,2,0.0%,2,0%,196,0.0%,7.1%,104000,69000 ( 197.1% ),14,10 ( 250.0% ),392400200,49650,75
2018-05-16,5,0.1%,5,0%,397,0.0%,8.1%,191000,87000 ( 83.7% ),32,18 ( 128.6% ),392591200,49682,49
