날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-08-16,1,0.0%,1,0%,262,0.0%,100.0%,2358000,2358000 ( 100.0% ),262,262 ( 100.0% ),2358000,262,26
2018-08-21,4,0.1%,5,0%,945,0.0%,98.3%,8361000,8361000 ( 100.0% ),929,929 ( 100.0% ),10719000,1191,16
2018-08-23,1,0.0%,1,0%,160,0.0%,100.0%,1280000,1280000 ( 100.0% ),160,160 ( 100.0% ),11999000,1351,29
2018-08-24,1,0.0%,2,0%,436,0.0%,100.0%,4578000,3298000 ( 257.7% ),436,276 ( 172.5% ),16577000,1787,21
2018-08-27,6,0.1%,6,0%,1525,0.1%,98.4%,13509000,13509000 ( 100.0% ),1501,1501 ( 100.0% ),30086000,3288,12
2018-08-29,867,14.6%,3691,20.1%,663105,22.6%,19.9%,843052500,843052500 ( 100.0% ),131795,131795 ( 100.0% ),873138500,135083,2
2018-08-30,820,13.8%,3590,19.4%,650664,22.0%,12.7%,679783300,-163269200 ( -19.4% ),82912,-48883 ( -37.1% ),1552921800,217995,2
2018-08-31,841,14.0%,3634,19.2%,654126,21.7%,13.6%,791758200,111974900 ( 16.5% ),89069,6157 ( 7.4% ),2344680000,307064,2
2018-09-01,797,12.4%,3510,17.8%,618856,19.7%,16.1%,907570913,115812713 ( 14.6% ),99858,10789 ( 12.1% ),3252250913,406922,3
2018-09-02,773,12.0%,3307,17.1%,580946,18.9%,17.5%,931357450,23786537 ( 2.6% ),101729,1871 ( 1.9% ),4183608363,508651,3
2018-09-03,736,13.1%,3113,17.6%,531664,18.7%,7.8%,333814700,-597542750 ( -64.2% ),41450,-60279 ( -59.3% ),4517423063,550101,3
2018-09-04,726,12.6%,2994,17%,510754,18.0%,6.8%,279305600,-54509100 ( -16.3% ),34856,-6594 ( -15.9% ),4796728663,584957,3
2018-09-05,688,12.3%,2775,15.8%,457987,16.2%,5.8%,213014600,-66291000 ( -23.7% ),26714,-8142 ( -23.4% ),5009743263,611671,3
2018-09-06,562,9.7%,2077,11.7%,301756,10.5%,6.6%,160464700,-52549900 ( -24.7% ),20053,-6661 ( -24.9% ),5170207963,631724,3
