날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-03-20,1,0.0%,1,0%,170,0.0%,100.0%,1190000,1190000 ( 100.0% ),170,170 ( 100.0% ),1190000,170,31
2017-04-03,2,0.0%,2,0%,527,0.0%,100.0%,4216000,4216000 ( 100.0% ),527,527 ( 100.0% ),5406000,697,16
2017-04-04,1,0.0%,1,0%,432,0.0%,100.0%,3456000,-760000 ( -18.0% ),432,-95 ( -18.0% ),8862000,1129,23
2017-04-17,3,0.1%,3,0%,1092,0.0%,97.8%,7422000,7422000 ( 100.0% ),1068,1068 ( 100.0% ),16284000,2197,13
2017-04-18,1,0.0%,1,0%,136,0.0%,100.0%,1224000,-6198000 ( -83.5% ),136,-932 ( -87.3% ),17508000,2333,44
2017-04-19,1,0.0%,1,0%,384,0.0%,100.0%,2304000,1080000 ( 88.2% ),384,248 ( 182.4% ),19812000,2717,24
2017-04-22,1,0.0%,2,0%,72,0.0%,12.5%,60000,60000 ( 100.0% ),9,9 ( 100.0% ),19872000,2726,107
2017-04-23,3,0.0%,4,0%,326,0.0%,77.0%,2059000,1999000 ( 3331.7% ),251,242 ( 2688.9% ),21931000,2977,37
2017-04-24,3,0.1%,3,0%,412,0.0%,49.0%,1382000,-677000 ( -32.9% ),202,-49 ( -19.5% ),23313000,3179,30
2017-04-25,1,0.0%,1,0%,207,0.0%,100.0%,1656000,274000 ( 19.8% ),207,5 ( 2.5% ),24969000,3386,36
2017-04-26,164,3.4%,221,1.4%,28110,1.1%,10.8%,18701700,17045700 ( 1029.3% ),3034,2827 ( 1365.7% ),43670700,6420,6
2017-04-27,197,4.2%,280,1.7%,36171,1.4%,16.1%,40888600,22186900 ( 118.6% ),5807,2773 ( 91.4% ),84559300,12227,5
2017-04-28,234,4.6%,317,1.9%,42351,1.6%,28.9%,93373700,52485100 ( 128.4% ),12253,6446 ( 111.0% ),177933000,24480,4
2017-04-29,197,3.6%,270,1.5%,33353,1.1%,23.7%,59894300,-33479400 ( -35.9% ),7912,-4341 ( -35.4% ),237827300,32392,8
2017-04-30,179,3.3%,252,1.4%,32030,1.1%,24.8%,62534000,2639700 ( 4.4% ),7954,42 ( 0.5% ),300361300,40346,8
2017-05-01,194,3.7%,287,1.7%,34678,1.2%,19.3%,47282900,-15251100 ( -24.4% ),6683,-1271 ( -16.0% ),347644200,47029,8
2017-05-02,186,3.0%,267,1.6%,32751,1.2%,15.7%,35569300,-11713600 ( -24.8% ),5134,-1549 ( -23.2% ),383213500,52163,8
2017-05-03,57,0.9%,77,0.4%,8512,0.3%,43.8%,29175500,-6393800 ( -18.0% ),3724,-1410 ( -27.5% ),412389000,55887,12
2017-05-04,92,1.5%,119,0.7%,14058,0.5%,22.3%,22634500,-6541000 ( -22.4% ),3134,-590 ( -15.8% ),435023500,59021,12
2017-05-05,70,1.0%,90,0.5%,11167,0.4%,31.8%,29077600,6443100 ( 28.5% ),3556,422 ( 13.5% ),464101100,62577,11
2017-05-06,96,1.4%,117,0.6%,14253,0.5%,23.8%,27328700,-1748900 ( -6.0% ),3388,-168 ( -4.7% ),491429800,65965,11
2017-05-07,102,1.5%,127,0.7%,15745,0.5%,22.8%,28101000,772300 ( 2.8% ),3588,200 ( 5.9% ),519530800,69553,10
2017-05-08,104,1.9%,145,0.8%,17080,0.6%,13.3%,16071500,-12029500 ( -42.8% ),2276,-1312 ( -36.6% ),535602300,71829,7
