날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-11-08,17,0.3%,18,0.1%,4969,0.2%,97.2%,40012000,40012000 ( 100.0% ),4830,4830 ( 100.0% ),40012000,4830,8
2018-11-09,11,0.2%,11,0.1%,2157,0.1%,104.7%,17827000,-22185000 ( -55.4% ),2258,-2572 ( -53.3% ),57839000,7088,11
2018-11-10,3,0.0%,3,0%,395,0.0%,87.3%,2905000,-14922000 ( -83.7% ),345,-1913 ( -84.7% ),60744000,7433,27
2018-11-11,1,0.0%,1,0%,113,0.0%,76.1%,688000,-2217000 ( -76.3% ),86,-259 ( -75.1% ),61432000,7519,54
2018-11-12,19,0.4%,19,0.1%,3949,0.1%,98.8%,31405000,30717000 ( 4464.7% ),3901,3815 ( 4436.0% ),92837000,11420,6
2018-11-13,28,0.5%,28,0.2%,5347,0.2%,96.1%,43034000,11629000 ( 37.0% ),5137,1236 ( 31.7% ),135871000,16557,5
2018-11-14,14,0.3%,15,0.1%,2742,0.1%,92.0%,20538000,-22496000 ( -52.3% ),2524,-2613 ( -50.9% ),156409000,19081,7
2018-11-15,14,0.2%,14,0.1%,2520,0.1%,92.1%,19014000,-1524000 ( -7.4% ),2322,-202 ( -8.0% ),175423000,21403,10
2018-11-16,21,0.4%,22,0.1%,3410,0.1%,84.4%,24342000,5328000 ( 28.0% ),2879,557 ( 24.0% ),199765000,24282,9
2018-11-17,310,5.0%,495,2.7%,65454,2.3%,36.8%,212186100,187844100 ( 771.7% ),24098,21219 ( 737.0% ),411951100,48380,5
2018-11-18,311,5.1%,497,2.8%,65067,2.3%,46.5%,270673950,58487850 ( 27.6% ),30226,6128 ( 25.4% ),682625050,78606,5
2018-11-19,4,0.1%,4,0%,764,0.0%,100.0%,6404000,-264269950 ( -97.6% ),764,-29462 ( -97.5% ),689029050,79370,12
2018-11-20,18,0.3%,18,0.1%,4092,0.2%,93.7%,30882000,24478000 ( 382.2% ),3833,3069 ( 401.7% ),719911050,83203,9
2018-11-21,5,0.1%,6,0%,1607,0.1%,83.7%,11139300,-19742700 ( -63.9% ),1345,-2488 ( -64.9% ),731050350,84548,13
2018-11-22,978,18.0%,4455,26%,737248,27.3%,18.4%,1063308250,1052168950 ( 9445.6% ),135764,134419 ( 9994.0% ),1794358600,220312,1
2018-11-23,987,17.9%,4558,25.8%,752671,27.1%,20.1%,1309860882,246552632 ( 23.2% ),151350,15586 ( 11.5% ),3104219482,371662,2
2018-11-24,1006,17.3%,4676,25.2%,765223,26.3%,36.9%,2499051604,1189190722 ( 90.8% ),282197,130847 ( 86.5% ),5603271086,653859,2
2018-11-25,1010,17.6%,4639,25.5%,760787,26.7%,35.1%,2368503500,-130548104 ( -5.2% ),267159,-15038 ( -5.3% ),7971774586,921018,2
2018-11-26,972,19.0%,4501,26.8%,743760,27.9%,12.9%,756285200,-1612218300 ( -68.1% ),96214,-170945 ( -64.0% ),8728059786,1017232,2
2018-11-27,992,18.1%,4271,26.2%,702351,27.3%,11.8%,650848900,-105436300 ( -13.9% ),82845,-13369 ( -13.9% ),9378908686,1100077,2
2018-11-28,695,12.1%,2467,13.9%,351404,12.5%,23.8%,503819700,-147029200 ( -22.6% ),83461,616 ( 0.7% ),9882728386,1183538,3
2018-11-29,673,11.8%,2408,13.5%,339147,12.0%,13.0%,339691200,-164128500 ( -32.6% ),43961,-39500 ( -47.3% ),10222419586,1227499,3
2018-11-30,669,11.5%,2382,13.1%,331064,11.5%,16.6%,455146926,115455726 ( 34.0% ),54861,10900 ( 24.8% ),10677566512,1282360,3
2018-12-01,635,10.5%,2151,11.4%,288851,9.7%,30.1%,758416725,303269799 ( 66.6% ),87084,32223 ( 58.7% ),11435983237,1369444,3
2018-12-02,633,10.5%,2086,11.2%,276904,9.5%,29.7%,720162200,-38254525 ( -5.0% ),82221,-4863 ( -5.6% ),12156145437,1451665,3
2018-12-03,605,11.1%,2072,11.9%,273770,9.9%,11.6%,247351750,-472810450 ( -65.7% ),31745,-50476 ( -61.4% ),12403497187,1483410,3
