날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-01-20,1,0.0%,1,0%,214,0.0%,100.0%,1712000,1712000 ( 100.0% ),214,214 ( 100.0% ),1712000,214,39
2016-01-23,2,0.0%,2,0%,344,0.0%,66.9%,1389600,1389600 ( 100.0% ),230,230 ( 100.0% ),3101600,444,33
2016-01-24,1,0.0%,1,0%,132,0.0%,87.9%,700000,-689600 ( -49.6% ),116,-114 ( -49.6% ),3801600,560,39
2016-01-26,2,0.0%,2,0%,514,0.0%,100.0%,3084000,3084000 ( 100.0% ),514,514 ( 100.0% ),6885600,1074,22
2016-01-27,7,0.1%,7,0%,1506,0.1%,100.0%,12048000,8964000 ( 290.7% ),1506,992 ( 193.0% ),18933600,2580,14
2016-01-28,187,4.0%,413,2.6%,54105,2.0%,5.8%,22308500,10260500 ( 85.2% ),3112,1606 ( 106.6% ),41242100,5692,10
2016-01-29,186,3.9%,397,2.4%,51576,1.8%,5.7%,22882700,574200 ( 2.6% ),2933,-179 ( -5.8% ),64124800,8625,12
2016-01-30,184,3.7%,345,2%,43421,1.5%,8.4%,29136300,6253600 ( 27.3% ),3637,704 ( 24.0% ),93261100,12262,11
2016-01-31,182,3.6%,334,2%,41898,1.5%,8.0%,26469600,-2666700 ( -9.2% ),3354,-283 ( -7.8% ),119730700,15616,11
2016-02-01,173,3.9%,301,2%,37554,1.5%,3.9%,10661500,-15808100 ( -59.7% ),1463,-1891 ( -56.4% ),130392200,17079,10
2016-02-02,162,3.5%,282,1.9%,34817,1.4%,3.9%,9817200,-844300 ( -7.9% ),1351,-112 ( -7.7% ),140209400,18430,13
2016-02-03,76,1.8%,117,0.8%,14667,0.6%,3.2%,3540000,-6277200 ( -63.9% ),466,-885 ( -65.5% ),143749400,18896,18
2016-02-04,14,0.3%,16,0.1%,1939,0.1%,5.1%,736400,-2803600 ( -79.2% ),99,-367 ( -78.8% ),144485800,18995,43
2016-02-05,13,0.3%,16,0.1%,1855,0.1%,7.2%,1148500,412100 ( 56.0% ),133,34 ( 34.3% ),145634300,19128,27
2016-02-06,10,0.2%,13,0.1%,1689,0.1%,8.3%,1140000,-8500 ( -0.7% ),141,8 ( 6.0% ),146774300,19269,32
2016-02-07,9,0.2%,12,0.1%,1464,0.1%,9.5%,1104000,-36000 ( -3.2% ),139,-2 ( -1.4% ),147878300,19408,27
2016-02-08,7,0.1%,9,0.1%,909,0.0%,14.2%,1046000,-58000 ( -5.3% ),129,-10 ( -7.2% ),148924300,19537,34
2016-02-09,8,0.1%,11,0.1%,1443,0.0%,11.0%,1240600,194600 ( 18.6% ),159,30 ( 23.3% ),150164900,19696,41
2016-02-10,10,0.2%,14,0.1%,1775,0.1%,11.5%,1603000,362400 ( 29.2% ),204,45 ( 28.3% ),151767900,19900,37
2016-02-11,6,0.1%,7,0%,790,0.0%,7.1%,410000,-1193000 ( -74.4% ),56,-148 ( -72.5% ),152177900,19956,43
2016-02-12,6,0.1%,7,0%,750,0.0%,6.0%,382000,-28000 ( -6.8% ),45,-11 ( -19.6% ),152559900,20001,50
2016-02-13,7,0.1%,9,0.1%,991,0.0%,7.6%,629500,247500 ( 64.8% ),75,30 ( 66.7% ),153189400,20076,52
2016-02-14,6,0.1%,8,0%,847,0.0%,7.6%,532500,-97000 ( -15.4% ),64,-11 ( -14.7% ),153721900,20140,51
2016-02-15,4,0.1%,7,0%,607,0.0%,7.2%,349500,-183000 ( -34.4% ),44,-20 ( -31.3% ),154071400,20184,49
2016-02-16,4,0.1%,8,0.1%,689,0.0%,9.9%,501000,151500 ( 43.3% ),68,24 ( 54.5% ),154572400,20252,51
2016-02-17,2,0.0%,2,0%,248,0.0%,66.9%,830000,329000 ( 65.7% ),166,98 ( 144.1% ),155402400,20418,36
2016-02-18,2,0.0%,2,0%,336,0.0%,1.5%,28000,-802000 ( -96.6% ),5,-161 ( -97.0% ),155430400,20423,80
2016-02-19,1,0.0%,1,0%,136,0.0%,0.7%,8000,-20000 ( -71.4% ),1,-4 ( -80.0% ),155438400,20424,83
2016-02-20,1,0.0%,1,0%,136,0.0%,1.5%,16000,8000 ( 100.0% ),2,1 ( 100.0% ),155454400,20426,80
2016-02-21,1,0.0%,1,0%,136,0.0%,0.7%,5000,-11000 ( -68.8% ),1,-1 ( -50.0% ),155459400,20427,86
2016-02-23,1,0.0%,1,0%,144,0.0%,1.4%,12000,12000 ( 100.0% ),2,2 ( 100.0% ),155471400,20429,83
2016-02-24,2,0.0%,2,0%,280,0.0%,6.8%,99000,87000 ( 725.0% ),19,17 ( 850.0% ),155570400,20448,58
