날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-01-02,831,13.9%,3256,19.1%,562236,20.0%,70.5%,3136359200,3136359200 ( 100.0% ),396224,396224 ( 100.0% ),3136359200,396224,2
2016-01-03,891,15.1%,3376,20.5%,595784,22.0%,45.1%,2134618400,-1001740800 ( -31.9% ),268938,-127286 ( -32.1% ),5270977600,665162,2
2016-01-04,736,13.8%,3131,20.5%,571770,22.6%,16.8%,718311200,-1416307200 ( -66.3% ),96300,-172638 ( -64.2% ),5989288800,761462,2
2016-01-05,747,13.8%,3067,20.1%,564418,22.4%,13.1%,548322400,-169988800 ( -23.7% ),73733,-22567 ( -23.4% ),6537611200,835195,3
2016-01-06,712,13.3%,3006,19.9%,560765,22.5%,11.1%,463892500,-84429900 ( -15.4% ),62132,-11601 ( -15.7% ),7001503700,897327,3
2016-01-07,563,10.3%,2296,14.5%,428151,16.5%,10.8%,345019900,-118872600 ( -25.6% ),46128,-16004 ( -25.8% ),7346523600,943455,5
2016-01-08,575,10.2%,2276,14.1%,420745,15.9%,11.8%,399974678,54954778 ( 15.9% ),49794,3666 ( 7.9% ),7746498278,993249,5
2016-01-09,566,9.3%,2083,12.4%,361975,13.1%,25.9%,757411471,357436793 ( 89.4% ),93663,43869 ( 88.1% ),8503909749,1086912,5
2016-01-10,534,8.9%,1945,11.9%,338297,12.7%,22.0%,593285200,-164126271 ( -21.7% ),74291,-19372 ( -20.7% ),9097194949,1161203,5
2016-01-11,513,9.3%,1789,11.8%,303172,12.1%,7.5%,169872300,-423412900 ( -71.4% ),22602,-51689 ( -69.6% ),9267067249,1183805,5
2016-01-12,498,8.9%,1745,11.6%,294890,11.9%,7.2%,158303400,-11568900 ( -6.8% ),21212,-1390 ( -6.1% ),9425370649,1205017,5
2016-01-13,495,8.8%,1682,11.2%,287991,11.6%,7.0%,150098800,-8204600 ( -5.2% ),20071,-1141 ( -5.4% ),9575469449,1225088,5
2016-01-14,225,3.9%,436,2.8%,62318,2.4%,10.3%,47754400,-102344400 ( -68.2% ),6440,-13631 ( -67.9% ),9623223849,1231528,8
2016-01-15,227,3.9%,448,2.8%,61556,2.3%,12.8%,60361500,12607100 ( 26.4% ),7859,1419 ( 22.0% ),9683585349,1239387,7
2016-01-16,229,3.7%,403,2.5%,53552,2.0%,21.7%,94817400,34455900 ( 57.1% ),11646,3787 ( 48.2% ),9778402749,1251033,9
2016-01-17,225,3.7%,372,2.3%,50406,1.9%,19.9%,80988500,-13828900 ( -14.6% ),10044,-1602 ( -13.8% ),9859391249,1261077,9
2016-01-18,209,3.8%,364,2.5%,46866,1.9%,8.5%,29473500,-51515000 ( -63.6% ),3962,-6082 ( -60.6% ),9888864749,1265039,10
2016-01-19,214,3.8%,373,2.6%,49726,2.1%,7.6%,27828400,-1645100 ( -5.6% ),3768,-194 ( -4.9% ),9916693149,1268807,8
2016-01-20,217,3.9%,384,2.6%,50672,2.1%,8.4%,31869900,4041500 ( 14.5% ),4280,512 ( 13.6% ),9948563049,1273087,7
2016-01-21,18,0.3%,32,0.2%,4194,0.2%,13.9%,4335000,-27534900 ( -86.4% ),584,-3696 ( -86.4% ),9952898049,1273671,23
2016-01-22,19,0.4%,39,0.3%,4755,0.2%,14.3%,5364000,1029000 ( 23.7% ),678,94 ( 16.1% ),9958262049,1274349,24
2016-01-23,18,0.3%,26,0.2%,3763,0.1%,29.1%,8798000,3434000 ( 64.0% ),1095,417 ( 61.5% ),9967060049,1275444,23
2016-01-24,16,0.3%,23,0.1%,3087,0.1%,22.2%,5553000,-3245000 ( -36.9% ),684,-411 ( -37.5% ),9972613049,1276128,24
2016-01-25,18,0.4%,27,0.2%,3404,0.1%,10.8%,2665000,-2888000 ( -52.0% ),368,-316 ( -46.2% ),9975278049,1276496,27
2016-01-26,17,0.3%,30,0.2%,3631,0.2%,11.9%,3110000,445000 ( 16.7% ),431,63 ( 17.1% ),9978388049,1276927,26
2016-01-27,15,0.3%,24,0.2%,2938,0.1%,25.2%,4414500,1304500 ( 41.9% ),740,309 ( 71.7% ),9982802549,1277667,23
2016-01-28,5,0.1%,6,0%,545,0.0%,29.4%,1282000,-3132500 ( -71.0% ),160,-580 ( -78.4% ),9984084549,1277827,39
2016-01-29,5,0.1%,7,0%,657,0.0%,23.1%,1236500,-45500 ( -3.5% ),152,-8 ( -5.0% ),9985321049,1277979,37
2016-01-30,5,0.1%,6,0%,647,0.0%,29.8%,1566000,329500 ( 26.6% ),193,41 ( 27.0% ),9986887049,1278172,34
2016-01-31,5,0.1%,6,0%,647,0.0%,29.7%,1493000,-73000 ( -4.7% ),192,-1 ( -0.5% ),9988380049,1278364,35
2016-02-01,4,0.1%,4,0%,485,0.0%,13.4%,488000,-1005000 ( -67.3% ),65,-127 ( -66.1% ),9988868049,1278429,49
2016-02-02,5,0.1%,5,0%,709,0.0%,32.6%,1812000,1324000 ( 271.3% ),231,166 ( 255.4% ),9990680049,1278660,26
2016-02-03,4,0.1%,5,0%,595,0.0%,12.9%,568000,-1244000 ( -68.7% ),77,-154 ( -66.7% ),9991248049,1278737,45
2016-02-04,4,0.1%,4,0%,474,0.0%,9.1%,301000,-267000 ( -47.0% ),43,-34 ( -44.2% ),9991549049,1278780,52
2016-02-06,1,0.0%,2,0%,196,0.0%,24.5%,386000,386000 ( 100.0% ),48,48 ( 100.0% ),9991935049,1278828,58
2016-02-07,1,0.0%,1,0%,98,0.0%,10.2%,74000,-312000 ( -80.8% ),10,-38 ( -79.2% ),9992009049,1278838,77
2016-02-08,1,0.0%,1,0%,98,0.0%,9.2%,68000,-6000 ( -8.1% ),9,-1 ( -10.0% ),9992077049,1278847,73
2016-02-09,1,0.0%,1,0%,98,0.0%,19.4%,135000,67000 ( 98.5% ),19,10 ( 111.1% ),9992212049,1278866,80
2016-02-10,1,0.0%,1,0%,98,0.0%,5.1%,29000,-106000 ( -78.5% ),5,-14 ( -73.7% ),9992241049,1278871,82
2016-02-11,1,0.0%,1,0%,98,0.0%,23.5%,184000,155000 ( 534.5% ),23,18 ( 360.0% ),9992425049,1278894,53
