날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-01-08,1,0.0%,1,0%,226,0.0%,100.0%,1582000,1582000 ( 100.0% ),226,226 ( 100.0% ),1582000,226,21
2018-02-01,1,0.0%,1,0%,214,0.0%,100.0%,1926000,1926000 ( 100.0% ),214,214 ( 100.0% ),3508000,440,39
2018-02-10,11,0.2%,11,0.1%,1241,0.0%,81.1%,9057100,9057100 ( 100.0% ),1007,1007 ( 100.0% ),12565100,1447,21
2018-02-12,6,0.1%,8,0%,1324,0.0%,67.7%,8007000,8007000 ( 100.0% ),897,897 ( 100.0% ),20572100,2344,17
2018-02-13,9,0.1%,11,0.1%,1889,0.1%,66.6%,11710000,3703000 ( 46.2% ),1259,362 ( 40.4% ),32282100,3603,18
2018-02-15,2,0.0%,2,0%,401,0.0%,89.3%,3473500,3473500 ( 100.0% ),358,358 ( 100.0% ),35755600,3961,25
2018-02-16,2,0.0%,2,0%,284,0.0%,57.4%,1475500,-1998000 ( -57.5% ),163,-195 ( -54.5% ),37231100,4124,31
2018-02-17,1,0.0%,1,0%,293,0.0%,90.8%,2636000,1160500 ( 78.7% ),266,103 ( 63.2% ),39867100,4390,29
2018-02-18,5,0.1%,5,0%,655,0.0%,88.4%,5514500,2878500 ( 109.2% ),579,313 ( 117.7% ),45381600,4969,22
2018-02-20,17,0.3%,17,0.1%,2561,0.1%,83.2%,19165200,19165200 ( 100.0% ),2130,2130 ( 100.0% ),64546800,7099,11
2018-02-21,1,0.0%,1,0%,293,0.0%,63.8%,1666000,-17499200 ( -91.3% ),187,-1943 ( -91.2% ),66212800,7286,35
2018-02-22,252,4.3%,903,5.2%,133680,4.9%,17.0%,176081700,174415700 ( 10469.1% ),22660,22473 ( 12017.6% ),242294500,29946,5
2018-02-23,275,4.7%,972,5.5%,145364,5.2%,19.0%,242700873,66619173 ( 37.8% ),27688,5028 ( 22.2% ),484995373,57634,5
2018-02-24,404,6.4%,1312,7.1%,200170,6.8%,27.9%,488232582,245531709 ( 101.2% ),55749,28061 ( 101.3% ),973227955,113383,5
2018-02-25,397,6.4%,1298,7.2%,199523,7.0%,24.6%,432032300,-56200282 ( -11.5% ),49177,-6572 ( -11.8% ),1405260255,162560,5
2018-02-26,351,6.2%,1334,7.9%,205838,7.6%,12.3%,197541000,-234491300 ( -54.3% ),25254,-23923 ( -48.6% ),1602801255,187814,3
2018-02-27,349,5.9%,1319,7.8%,204041,7.5%,12.1%,191388200,-6152800 ( -3.1% ),24650,-604 ( -2.4% ),1794189455,212464,3
2018-02-28,266,4.4%,680,3.6%,93357,3.1%,25.2%,146373500,-45014700 ( -23.5% ),23504,-1146 ( -4.6% ),1940562955,235968,6
2018-03-01,287,4.6%,666,3.5%,90711,3.0%,32.5%,253927700,107554200 ( 73.5% ),29442,5938 ( 25.3% ),2194490655,265410,6
2018-03-02,295,5.0%,702,3.8%,96618,3.2%,16.1%,134044467,-119883233 ( -47.2% ),15536,-13906 ( -47.2% ),2328535122,280946,5
2018-03-03,280,4.5%,677,3.5%,90896,3.0%,27.7%,220279378,86234911 ( 64.3% ),25213,9677 ( 62.3% ),2548814500,306159,5
2018-03-04,291,4.7%,683,3.7%,91911,3.1%,23.6%,189768500,-30510878 ( -13.9% ),21712,-3501 ( -13.9% ),2738583000,327871,5
2018-03-05,267,5.2%,717,4.3%,102041,3.7%,11.0%,88035100,-101733400 ( -53.6% ),11205,-10507 ( -48.4% ),2826618100,339076,5
2018-03-06,303,5.7%,766,4.6%,108676,4.0%,13.4%,107656700,19621600 ( 22.3% ),14555,3350 ( 29.9% ),2934274800,353631,5
2018-03-07,258,5.2%,692,4%,102884,3.7%,10.8%,85902300,-21754400 ( -20.2% ),11064,-3491 ( -24.0% ),3020177100,364695,6
2018-03-08,268,5.1%,530,3.1%,74011,2.6%,12.0%,68890900,-17011400 ( -19.8% ),8891,-2173 ( -19.6% ),3089068000,373586,6
2018-03-09,294,5.5%,613,3.5%,87361,3.0%,14.0%,106474900,37584000 ( 54.6% ),12226,3335 ( 37.5% ),3195542900,385812,6
2018-03-10,301,5.0%,650,3.4%,88995,2.9%,26.7%,208620000,102145100 ( 95.9% ),23746,11520 ( 94.2% ),3404162900,409558,6
2018-03-11,294,4.9%,628,3.4%,87030,2.9%,22.5%,171797400,-36822600 ( -17.7% ),19583,-4163 ( -17.5% ),3575960300,429141,6
2018-03-12,275,5.3%,619,3.7%,89232,3.3%,8.0%,56010100,-115787300 ( -67.4% ),7172,-12411 ( -63.4% ),3631970400,436313,6
2018-03-13,279,5.2%,620,3.7%,89699,3.3%,8.0%,55348200,-661900 ( -1.2% ),7181,9 ( 0.1% ),3687318600,443494,6
2018-03-14,183,3.5%,356,2.1%,47393,1.7%,10.4%,38206500,-17141700 ( -31.0% ),4927,-2254 ( -31.4% ),3725525100,448421,8
2018-03-15,178,3.2%,307,1.8%,42710,1.6%,9.8%,32647400,-5559100 ( -14.6% ),4194,-733 ( -14.9% ),3758172500,452615,9
2018-03-16,191,3.4%,322,1.8%,43996,1.6%,12.3%,47397000,14749600 ( 45.2% ),5396,1202 ( 28.7% ),3805569500,458011,8
2018-03-17,193,3.1%,313,1.7%,40525,1.4%,24.7%,88902700,41505700 ( 87.6% ),10007,4611 ( 85.5% ),3894472200,468018,8
2018-03-18,193,3.1%,316,1.7%,40830,1.4%,19.9%,72158800,-16743900 ( -18.8% ),8133,-1874 ( -18.7% ),3966631000,476151,8
2018-03-19,180,3.4%,313,1.9%,43240,1.6%,7.8%,26293600,-45865200 ( -63.6% ),3389,-4744 ( -58.3% ),3992924600,479540,8
2018-03-20,179,3.3%,306,1.9%,42605,1.6%,8.2%,26183300,-110300 ( -0.4% ),3484,95 ( 2.8% ),4019107900,483024,8
2018-03-21,131,2.6%,204,1.3%,26315,1.0%,8.4%,16927200,-9256100 ( -35.4% ),2203,-1281 ( -36.8% ),4036035100,485227,10
2018-03-22,95,1.8%,136,0.8%,19596,0.7%,8.9%,13411100,-3516100 ( -20.8% ),1744,-459 ( -20.8% ),4049446200,486971,11
2018-03-23,101,1.8%,146,0.8%,20485,0.7%,11.6%,20707200,7296100 ( 54.4% ),2368,624 ( 35.8% ),4070153400,489339,11
2018-03-24,99,1.6%,146,0.8%,20455,0.7%,19.5%,35428400,14721200 ( 71.1% ),3990,1622 ( 68.5% ),4105581800,493329,12
2018-03-25,101,1.7%,148,0.8%,20692,0.7%,15.6%,28383200,-7045200 ( -19.9% ),3225,-765 ( -19.2% ),4133965000,496554,12
2018-03-26,95,1.8%,151,0.9%,22488,0.9%,5.9%,10152700,-18230500 ( -64.2% ),1320,-1905 ( -59.1% ),4144117700,497874,12
2018-03-27,96,1.8%,158,1%,22217,0.9%,7.0%,11647200,1494500 ( 14.7% ),1546,226 ( 17.1% ),4155764900,499420,13
2018-03-28,25,0.5%,27,0.2%,4289,0.2%,12.2%,3337000,-8310200 ( -71.3% ),523,-1023 ( -66.2% ),4159101900,499943,19
2018-03-29,22,0.4%,27,0.2%,3681,0.1%,9.8%,2759500,-577500 ( -17.3% ),359,-164 ( -31.4% ),4161861400,500302,22
2018-03-30,26,0.5%,29,0.2%,3861,0.1%,11.5%,3628900,869400 ( 31.5% ),445,86 ( 24.0% ),4165490300,500747,18
2018-03-31,25,0.4%,26,0.1%,3549,0.1%,19.2%,5855600,2226700 ( 61.4% ),682,237 ( 53.3% ),4171345900,501429,18
2018-04-01,23,0.4%,25,0.1%,3778,0.1%,18.9%,5703200,-152400 ( -2.6% ),713,31 ( 4.5% ),4177049100,502142,16
2018-04-02,22,0.5%,27,0.2%,3817,0.1%,8.1%,2348600,-3354600 ( -58.8% ),310,-403 ( -56.5% ),4179397700,502452,20
2018-04-03,24,0.5%,30,0.2%,4502,0.2%,6.9%,2265300,-83300 ( -3.5% ),310,0 ( 0.0% ),4181663000,502762,25
2018-04-04,20,0.4%,27,0.2%,3611,0.1%,5.6%,1507600,-757700 ( -33.4% ),202,-108 ( -34.8% ),4183170600,502964,22
2018-04-05,11,0.2%,13,0.1%,1741,0.1%,9.5%,1227800,-279800 ( -18.6% ),165,-37 ( -18.3% ),4184398400,503129,32
2018-04-06,9,0.2%,9,0%,908,0.0%,12.0%,969000,-258800 ( -21.1% ),109,-56 ( -33.9% ),4185367400,503238,34
2018-04-07,10,0.2%,11,0.1%,1105,0.0%,20.5%,1976500,1007500 ( 104.0% ),227,118 ( 108.3% ),4187343900,503465,30
2018-04-08,10,0.2%,11,0.1%,1007,0.0%,24.0%,2110500,134000 ( 6.8% ),242,15 ( 6.6% ),4189454400,503707,24
2018-04-09,9,0.2%,11,0.1%,1432,0.1%,10.3%,1145000,-965500 ( -45.7% ),147,-95 ( -39.3% ),4190599400,503854,32
2018-04-10,10,0.2%,11,0.1%,1554,0.1%,11.2%,1290500,145500 ( 12.7% ),174,27 ( 18.4% ),4191889900,504028,27
2018-04-11,10,0.2%,12,0.1%,1418,0.1%,9.5%,1056500,-234000 ( -18.1% ),135,-39 ( -22.4% ),4192946400,504163,38
2018-04-12,7,0.1%,7,0%,1294,0.0%,8.8%,879000,-177500 ( -16.8% ),114,-21 ( -15.6% ),4193825400,504277,40
2018-04-13,8,0.1%,8,0%,1401,0.0%,11.2%,1293500,414500 ( 47.2% ),157,43 ( 37.7% ),4195118900,504434,35
2018-04-14,7,0.1%,7,0%,940,0.0%,14.8%,1135000,-158500 ( -12.3% ),139,-18 ( -11.5% ),4196253900,504573,43
2018-04-15,8,0.1%,8,0%,980,0.0%,18.3%,1592500,457500 ( 40.3% ),179,40 ( 28.8% ),4197846400,504752,34
2018-04-16,4,0.1%,4,0%,631,0.0%,8.2%,429000,-1163500 ( -73.1% ),52,-127 ( -70.9% ),4198275400,504804,46
2018-04-17,6,0.1%,6,0%,761,0.0%,12.0%,740000,311000 ( 72.5% ),91,39 ( 75.0% ),4199015400,504895,47
2018-04-18,6,0.1%,6,0%,1134,0.0%,8.4%,749500,9500 ( 1.3% ),95,4 ( 4.4% ),4199764900,504990,45
2018-04-19,4,0.1%,5,0%,453,0.0%,7.9%,309000,-440500 ( -58.8% ),36,-59 ( -62.1% ),4200073900,505026,72
2018-04-20,4,0.1%,4,0%,394,0.0%,9.6%,326000,17000 ( 5.5% ),38,2 ( 5.6% ),4200399900,505064,78
