날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-12-02,1,0.0%,1,0%,202,0.0%,70.3%,993000,993000 ( 100.0% ),142,142 ( 100.0% ),993000,142,43
2017-12-05,1,0.0%,1,0%,160,0.0%,76.3%,797500,797500 ( 100.0% ),122,122 ( 100.0% ),1790500,264,52
2018-02-21,2,0.0%,2,0%,150,0.0%,100.0%,1200000,1200000 ( 100.0% ),150,150 ( 100.0% ),2990500,414,44
2018-02-23,1,0.0%,1,0%,76,0.0%,100.0%,380000,380000 ( 100.0% ),76,76 ( 100.0% ),3370500,490,57
2018-03-12,1,0.0%,2,0%,494,0.0%,75.1%,3339000,3339000 ( 100.0% ),371,371 ( 100.0% ),6709500,861,22
2018-03-20,5,0.1%,6,0%,675,0.0%,75.9%,3535000,3535000 ( 100.0% ),512,512 ( 100.0% ),10244500,1373,20
2018-03-22,259,4.9%,618,3.7%,75508,2.8%,5.9%,33201800,33201800 ( 100.0% ),4421,4421 ( 100.0% ),43446300,5794,7
2018-03-23,254,4.6%,599,3.4%,72398,2.6%,6.2%,37479600,4277800 ( 12.9% ),4489,68 ( 1.5% ),80925900,10283,7
2018-03-24,262,4.3%,549,2.9%,64431,2.2%,9.8%,54635100,17155500 ( 45.8% ),6328,1839 ( 41.0% ),135561000,16611,10
2018-03-25,255,4.2%,512,2.8%,59788,2.1%,9.9%,49941300,-4693800 ( -8.6% ),5934,-394 ( -6.2% ),185502300,22545,10
2018-03-26,284,5.5%,577,3.6%,67397,2.6%,6.1%,30866300,-19075000 ( -38.2% ),4129,-1805 ( -30.4% ),216368600,26674,6
2018-03-27,282,5.3%,577,3.6%,67333,2.6%,5.9%,29882900,-983400 ( -3.2% ),3968,-161 ( -3.9% ),246251500,30642,6
2018-03-28,115,2.2%,153,0.9%,18615,0.7%,14.0%,15173800,-14709100 ( -49.2% ),2598,-1370 ( -34.5% ),261425300,33240,10
2018-03-29,88,1.7%,150,0.9%,17711,0.7%,8.0%,10832400,-4341400 ( -28.6% ),1411,-1187 ( -45.7% ),272257700,34651,10
2018-03-30,88,1.7%,161,0.9%,19060,0.7%,9.0%,14249400,3417000 ( 31.5% ),1723,312 ( 22.1% ),286507100,36374,9
2018-03-31,82,1.5%,153,0.8%,18021,0.6%,17.4%,26769100,12519700 ( 87.9% ),3137,1414 ( 82.1% ),313276200,39511,10
2018-04-01,81,1.5%,149,0.8%,17604,0.6%,16.1%,24119200,-2649900 ( -9.9% ),2835,-302 ( -9.6% ),337395400,42346,9
2018-04-02,83,1.8%,149,0.9%,17028,0.6%,7.4%,9363600,-14755600 ( -61.2% ),1259,-1576 ( -55.6% ),346759000,43605,10
2018-04-03,86,1.7%,154,0.9%,18098,0.7%,6.7%,8722400,-641200 ( -6.8% ),1214,-45 ( -3.6% ),355481400,44819,14
2018-04-04,72,1.5%,130,0.8%,14802,0.5%,8.4%,9543900,821500 ( 9.4% ),1241,27 ( 2.2% ),365025300,46060,11
2018-04-05,45,0.9%,64,0.4%,7136,0.2%,9.0%,4881200,-4662700 ( -48.9% ),642,-599 ( -48.3% ),369906500,46702,15
2018-04-06,42,0.8%,66,0.4%,6304,0.2%,12.1%,6474300,1593100 ( 32.6% ),761,119 ( 18.5% ),376380800,47463,14
2018-04-07,44,0.7%,67,0.3%,6861,0.2%,20.1%,11942300,5468000 ( 84.5% ),1381,620 ( 81.5% ),388323100,48844,14
2018-04-08,40,0.7%,64,0.3%,5972,0.2%,20.3%,10470800,-1471500 ( -12.3% ),1213,-168 ( -12.2% ),398793900,50057,14
2018-04-09,44,0.9%,64,0.4%,7058,0.3%,8.5%,4669800,-5801000 ( -55.4% ),600,-613 ( -50.5% ),403463700,50657,14
2018-04-10,46,0.9%,71,0.4%,7530,0.3%,8.4%,4807000,137200 ( 2.9% ),634,34 ( 5.7% ),408270700,51291,12
2018-04-11,45,0.9%,65,0.4%,6885,0.2%,8.7%,4726900,-80100 ( -1.7% ),598,-36 ( -5.7% ),412997600,51889,14
2018-04-12,32,0.6%,38,0.2%,3886,0.1%,7.8%,2390600,-2336300 ( -49.4% ),305,-293 ( -49.0% ),415388200,52194,25
2018-04-13,36,0.6%,44,0.2%,4900,0.2%,8.9%,3772300,1381700 ( 57.8% ),435,130 ( 42.6% ),419160500,52629,23
2018-04-14,33,0.5%,42,0.2%,3883,0.1%,21.3%,7361200,3588900 ( 95.1% ),826,391 ( 89.9% ),426521700,53455,24
2018-04-15,32,0.5%,42,0.2%,4639,0.1%,12.9%,5308200,-2053000 ( -27.9% ),600,-226 ( -27.4% ),431829900,54055,25
2018-04-16,29,0.5%,41,0.2%,4319,0.2%,6.1%,2029600,-3278600 ( -61.8% ),263,-337 ( -56.2% ),433859500,54318,24
2018-04-17,32,0.6%,41,0.2%,4494,0.2%,6.9%,2435600,406000 ( 20.0% ),312,49 ( 18.6% ),436295100,54630,23
2018-04-18,29,0.5%,39,0.2%,4146,0.1%,7.5%,2365000,-70600 ( -2.9% ),309,-3 ( -1.0% ),438660100,54939,23
2018-04-19,14,0.2%,18,0.1%,1591,0.1%,9.9%,1290500,-1074500 ( -45.4% ),158,-151 ( -48.9% ),439950600,55097,43
2018-04-20,16,0.3%,18,0.1%,2454,0.1%,13.4%,2959000,1668500 ( 129.3% ),328,170 ( 107.6% ),442909600,55425,32
2018-04-21,17,0.2%,19,0.1%,1362,0.0%,21.7%,2589100,-369900 ( -12.5% ),296,-32 ( -9.8% ),445498700,55721,43
2018-04-22,12,0.2%,17,0.1%,1903,0.1%,15.6%,2682200,93100 ( 3.6% ),297,1 ( 0.3% ),448180900,56018,37
2018-04-23,15,0.2%,18,0.1%,1482,0.1%,10.9%,1290300,-1391900 ( -51.9% ),162,-135 ( -45.5% ),449471200,56180,37
