날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-08-02,9,0.2%,10,0.1%,2142,0.1%,100.0%,21274000,21274000 ( 100.0% ),2142,2142 ( 100.0% ),21274000,2142,13
2016-08-03,733,14.6%,3408,19.1%,595586,20.3%,66.8%,3166550200,3145276200 ( 14784.6% ),397666,395524 ( 18465.2% ),3187824200,399808,1
2016-08-04,823,15.6%,3596,20.1%,640580,21.7%,39.8%,2021037460,-1145512740 ( -36.2% ),255185,-142481 ( -35.8% ),5208861660,654993,2
2016-08-05,817,15.2%,3543,19.5%,642144,21.5%,34.2%,1946293935,-74743525 ( -3.7% ),219875,-35310 ( -13.8% ),7155155595,874868,3
2016-08-06,770,14.1%,3294,17.7%,597113,19.5%,50.1%,2661909735,715615800 ( 36.8% ),298947,79072 ( 36.0% ),9817065330,1173815,3
2016-08-07,733,13.5%,3040,16.7%,547423,18.2%,44.4%,2164176800,-497732935 ( -18.7% ),243153,-55794 ( -18.7% ),11981242130,1416968,3
2016-08-08,652,13.2%,2759,15.8%,475003,16.5%,21.7%,812643400,-1351533400 ( -62.5% ),103011,-140142 ( -57.6% ),12793885530,1519979,5
2016-08-09,652,12.9%,2704,15.4%,459817,15.9%,19.2%,695455600,-117187800 ( -14.4% ),88399,-14612 ( -14.2% ),13489341130,1608378,5
2016-08-10,410,7.8%,904,5.3%,117589,4.2%,31.0%,278752400,-416703200 ( -59.9% ),36461,-51938 ( -58.8% ),13768093530,1644839,7
2016-08-11,412,7.5%,893,5.2%,116315,4.1%,28.1%,251031900,-27720500 ( -9.9% ),32700,-3761 ( -10.3% ),14019125430,1677539,7
2016-08-12,414,7.4%,861,4.9%,112478,3.9%,30.6%,293661376,42629476 ( 17.0% ),34381,1681 ( 5.1% ),14312786806,1711920,7
2016-08-13,354,5.8%,636,3.5%,83501,2.8%,48.2%,346618182,52956806 ( 18.0% ),40244,5863 ( 17.1% ),14659404988,1752164,7
2016-08-14,357,5.9%,624,3.4%,82514,2.8%,50.6%,360860500,14242318 ( 4.1% ),41776,1532 ( 3.8% ),15020265488,1793940,7
2016-08-15,348,6.0%,627,3.6%,83109,2.9%,41.8%,294883800,-65976700 ( -18.3% ),34753,-7023 ( -16.8% ),15315149288,1828693,7
2016-08-16,367,6.9%,726,4.3%,98824,3.6%,19.7%,150354000,-144529800 ( -49.0% ),19491,-15262 ( -43.9% ),15465503288,1848184,7
2016-08-17,130,2.3%,221,1.3%,28438,1.0%,22.7%,49502300,-100851700 ( -67.1% ),6462,-13029 ( -66.8% ),15515005588,1854646,9
2016-08-18,124,2.1%,211,1.3%,28292,1.0%,18.7%,40584100,-8918200 ( -18.0% ),5303,-1159 ( -17.9% ),15555589688,1859949,9
2016-08-19,122,2.1%,219,1.3%,28397,1.0%,20.5%,50292300,9708200 ( 23.9% ),5818,515 ( 9.7% ),15605881988,1865767,9
2016-08-20,117,1.9%,192,1.1%,24845,0.9%,36.1%,75767600,25475300 ( 50.7% ),8976,3158 ( 54.3% ),15681649588,1874743,10
2016-08-21,125,2.1%,203,1.2%,26670,0.9%,29.9%,68566300,-7201300 ( -9.5% ),7975,-1001 ( -11.2% ),15750215888,1882718,12
2016-08-22,115,2.1%,204,1.3%,27543,1.0%,14.2%,30181200,-38385100 ( -56.0% ),3900,-4075 ( -51.1% ),15780397088,1886618,9
2016-08-23,110,2.0%,200,1.2%,27430,1.0%,12.2%,25785800,-4395400 ( -14.6% ),3340,-560 ( -14.4% ),15806182888,1889958,9
2016-08-24,76,1.4%,128,0.8%,18045,0.7%,11.7%,16488500,-9297300 ( -36.1% ),2109,-1231 ( -36.9% ),15822671388,1892067,13
2016-08-25,35,0.6%,55,0.3%,8248,0.3%,12.4%,7980700,-8507800 ( -51.6% ),1020,-1089 ( -51.6% ),15830652088,1893087,24
2016-08-26,35,0.6%,51,0.3%,6876,0.2%,12.4%,7572500,-408200 ( -5.1% ),854,-166 ( -16.3% ),15838224588,1893941,24
2016-08-27,31,0.5%,44,0.2%,5524,0.2%,25.8%,12443800,4871300 ( 64.3% ),1424,570 ( 66.7% ),15850668388,1895365,25
2016-08-28,27,0.4%,41,0.2%,5060,0.2%,25.2%,10809300,-1634500 ( -13.1% ),1277,-147 ( -10.3% ),15861477688,1896642,24
2016-08-29,28,0.5%,42,0.3%,5709,0.2%,8.8%,3882000,-6927300 ( -64.1% ),502,-775 ( -60.7% ),15865359688,1897144,26
2016-08-30,27,0.5%,40,0.2%,5539,0.2%,9.5%,3953500,71500 ( 1.8% ),524,22 ( 4.4% ),15869313188,1897668,27
2016-08-31,3,0.0%,3,0%,590,0.0%,11.2%,340000,-3613500 ( -91.4% ),66,-458 ( -87.4% ),15869653188,1897734,64
2016-09-01,3,0.1%,3,0%,650,0.0%,3.1%,168000,-172000 ( -50.6% ),20,-46 ( -69.7% ),15869821188,1897754,77
2016-09-02,2,0.0%,3,0%,420,0.0%,9.5%,373000,205000 ( 122.0% ),40,20 ( 100.0% ),15870194188,1897794,70
2016-09-03,3,0.0%,6,0%,1320,0.0%,8.5%,1028000,655000 ( 175.6% ),112,72 ( 180.0% ),15871222188,1897906,58
2016-09-04,3,0.0%,6,0%,1320,0.0%,9.4%,1140500,112500 ( 10.9% ),124,12 ( 10.7% ),15872362688,1898030,54
2016-09-05,3,0.1%,5,0%,1156,0.0%,3.0%,284500,-856000 ( -75.1% ),35,-89 ( -71.8% ),15872647188,1898065,58
2016-09-06,3,0.1%,6,0%,1320,0.1%,4.2%,459000,174500 ( 61.3% ),56,21 ( 60.0% ),15873106188,1898121,68
2016-09-08,1,0.0%,1,0%,116,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),15873106188,1898121,102
2016-10-15,1,0.0%,1,0%,99,0.0%,100.0%,1005000,1005000 ( 100.0% ),99,99 ( 100.0% ),15874111188,1898220,50
2016-12-01,1,0.0%,1,0%,404,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),15874111188,1898220,150
2016-12-22,1,0.0%,1,0%,143,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),15874111188,1898220,101
