날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-10-19,1,0.0%,1,0%,186,0.0%,100.0%,1527000,1527000 ( 100.0% ),186,186 ( 100.0% ),1527000,186,40
2016-10-25,1,0.0%,1,0%,126,0.0%,100.0%,1008000,1008000 ( 100.0% ),126,126 ( 100.0% ),2535000,312,51
2016-11-01,3,0.1%,3,0%,495,0.0%,85.1%,2786000,2786000 ( 100.0% ),421,421 ( 100.0% ),5321000,733,23
2016-11-03,2,0.0%,2,0%,331,0.0%,100.0%,2437000,2437000 ( 100.0% ),331,331 ( 100.0% ),7758000,1064,26
2016-11-07,2,0.0%,2,0%,277,0.0%,100.0%,1939000,1939000 ( 100.0% ),277,277 ( 100.0% ),9697000,1341,24
2016-11-08,5,0.1%,5,0%,897,0.0%,94.4%,6603000,4664000 ( 240.5% ),847,570 ( 205.8% ),16300000,2188,15
2016-11-10,8,0.2%,8,0.1%,1349,0.1%,91.2%,7962000,7962000 ( 100.0% ),1230,1230 ( 100.0% ),24262000,3418,15
2016-11-11,1,0.0%,1,0%,137,0.0%,87.6%,600000,-7362000 ( -92.5% ),120,-1110 ( -90.2% ),24862000,3538,48
2016-11-14,5,0.1%,5,0%,858,0.0%,92.3%,5578000,5578000 ( 100.0% ),792,792 ( 100.0% ),30440000,4330,15
2016-11-15,1,0.0%,1,0%,151,0.0%,88.7%,800000,-4778000 ( -85.7% ),134,-658 ( -83.1% ),31240000,4464,50
2016-11-16,2,0.0%,2,0%,325,0.0%,52.0%,1018000,218000 ( 27.3% ),169,35 ( 26.1% ),32258000,4633,37
2016-11-17,102,2.0%,144,0.9%,18101,0.7%,14.1%,17498500,16480500 ( 1618.9% ),2554,2385 ( 1411.2% ),49756500,7187,10
2016-11-18,101,1.9%,143,0.9%,18093,0.7%,16.1%,20311000,2812500 ( 16.1% ),2909,355 ( 13.9% ),70067500,10096,10
2016-11-19,103,1.9%,139,0.8%,16452,0.6%,13.8%,17949600,-2361400 ( -11.6% ),2274,-635 ( -21.8% ),88017100,12370,12
2016-11-20,96,1.8%,138,0.9%,16035,0.6%,22.6%,28446300,10496700 ( 58.5% ),3627,1353 ( 59.5% ),116463400,15997,11
2016-11-21,96,2.1%,135,0.9%,16744,0.7%,8.1%,9683900,-18762400 ( -66.0% ),1355,-2272 ( -62.6% ),126147300,17352,9
2016-11-22,104,2.2%,140,1%,18051,0.7%,13.1%,16538400,6854500 ( 70.8% ),2357,1002 ( 73.9% ),142685700,19709,8
2016-11-23,90,1.7%,115,0.8%,14352,0.6%,16.8%,16465000,-73400 ( -0.4% ),2404,47 ( 2.0% ),159150700,22113,9
2016-11-24,72,1.4%,79,0.5%,10288,0.4%,13.3%,9504400,-6960600 ( -42.3% ),1371,-1033 ( -43.0% ),168655100,23484,15
2016-11-25,65,1.3%,76,0.5%,8660,0.3%,15.9%,10187800,683400 ( 7.2% ),1374,3 ( 0.2% ),178842900,24858,14
2016-11-26,75,1.4%,90,0.5%,10938,0.4%,24.6%,20533100,10345300 ( 101.5% ),2693,1319 ( 96.0% ),199376000,27551,14
2016-11-27,77,1.4%,90,0.5%,10524,0.4%,34.2%,26862200,6329100 ( 30.8% ),3601,908 ( 33.7% ),226238200,31152,12
2016-11-28,72,1.5%,84,0.6%,10891,0.4%,11.3%,8512800,-18349400 ( -68.3% ),1235,-2366 ( -65.7% ),234751000,32387,12
2016-11-29,69,1.4%,82,0.5%,9607,0.4%,12.7%,8339800,-173000 ( -2.0% ),1224,-11 ( -0.9% ),243090800,33611,13
2016-11-30,32,0.6%,35,0.2%,3953,0.1%,24.4%,6150500,-2189300 ( -26.3% ),966,-258 ( -21.1% ),249241300,34577,17
2016-12-01,36,0.7%,44,0.3%,6028,0.2%,21.1%,7789200,1638700 ( 26.6% ),1274,308 ( 31.9% ),257030500,35851,11
2016-12-02,37,0.7%,41,0.2%,5066,0.2%,23.7%,7838200,49000 ( 0.6% ),1201,-73 ( -5.7% ),264868700,37052,11
