날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-07-20,1,0.0%,1,0%,274,0.0%,100.0%,2192000,2192000 ( 100.0% ),274,274 ( 100.0% ),2192000,274,27
2017-07-25,4,0.1%,4,0%,1096,0.0%,100.0%,8768000,8768000 ( 100.0% ),1096,1096 ( 100.0% ),10960000,1370,20
2017-07-26,810,14.8%,2922,15.8%,410286,13.8%,47.7%,1210810000,1202042000 ( 13709.4% ),195774,194678 ( 17762.6% ),1221770000,197144,2
2017-07-27,812,15.2%,3129,16.9%,438795,14.6%,40.1%,1212403800,1593800 ( 0.1% ),175856,-19918 ( -10.2% ),2434173800,373000,2
2017-07-28,875,16.5%,3416,18.1%,473786,15.6%,41.2%,1489680208,277276408 ( 22.9% ),195260,19404 ( 11.0% ),3923854008,568260,2
2017-07-29,1029,18.7%,4087,21.1%,576918,18.4%,59.0%,2649074712,1159394504 ( 77.8% ),340504,145244 ( 74.4% ),6572928720,908764,2
2017-07-30,1057,19.3%,4243,22.2%,601665,19.6%,52.7%,2491186000,-157888712 ( -6.0% ),317075,-23429 ( -6.9% ),9064114720,1225839,2
2017-07-31,950,17.9%,4021,21.5%,582861,19.3%,45.3%,1844542100,-646643900 ( -26.0% ),264090,-52985 ( -16.7% ),10908656820,1489929,2
2017-08-01,997,18.2%,4159,22.1%,607525,20.0%,40.0%,1687174300,-157367800 ( -8.5% ),242820,-21270 ( -8.1% ),12595831120,1732749,2
2017-08-02,844,16.1%,2986,16.2%,415540,14.0%,45.7%,1307515600,-379658700 ( -22.5% ),189977,-52843 ( -21.8% ),13903346720,1922726,3
2017-08-03,859,15.5%,2955,16%,412384,13.8%,38.4%,1087898100,-219617500 ( -16.8% ),158155,-31822 ( -16.8% ),14991244820,2080881,3
2017-08-04,884,16.0%,3012,16.2%,423091,14.1%,34.0%,1094030795,6132695 ( 0.6% ),143904,-14251 ( -9.0% ),16085275615,2224785,3
2017-08-05,914,16.2%,3101,16.4%,443230,14.5%,46.0%,1590623404,496592609 ( 45.4% ),203999,60095 ( 41.8% ),17675899019,2428784,3
2017-08-06,880,15.6%,2928,15.8%,418567,14.0%,44.8%,1468188900,-122434504 ( -7.7% ),187543,-16456 ( -8.1% ),19144087919,2616327,3
2017-08-07,785,15.1%,2667,14.9%,378773,13.1%,19.8%,522214300,-945974600 ( -64.4% ),75133,-112410 ( -59.9% ),19666302219,2691460,3
2017-08-08,783,14.9%,2621,14.6%,372518,12.9%,20.2%,518162600,-4051700 ( -0.8% ),75391,258 ( 0.3% ),20184464819,2766851,3
2017-08-09,567,10.1%,1403,7.6%,179685,6.0%,26.1%,317278500,-200884100 ( -38.8% ),46902,-28489 ( -37.8% ),20501743319,2813753,4
2017-08-10,516,9.1%,1070,5.7%,139205,4.6%,28.9%,272240800,-45037700 ( -14.2% ),40250,-6652 ( -14.2% ),20773984119,2854003,4
2017-08-11,531,9.2%,1049,5.5%,136806,4.4%,27.8%,279458300,7217500 ( 2.7% ),38090,-2160 ( -5.4% ),21053442419,2892093,4
2017-08-12,525,8.6%,1084,5.5%,140230,4.4%,49.6%,529598000,250139700 ( 89.5% ),69613,31523 ( 82.8% ),21583040419,2961706,4
2017-08-13,532,8.8%,1060,5.5%,136169,4.4%,48.9%,511903700,-17694300 ( -3.3% ),66581,-3032 ( -4.4% ),22094944119,3028287,4
2017-08-14,505,8.8%,999,5.2%,127139,4.1%,31.6%,275970400,-235933300 ( -46.1% ),40123,-26458 ( -39.7% ),22370914519,3068410,4
2017-08-15,431,7.5%,715,3.8%,89142,2.9%,73.6%,484343100,208372700 ( 75.5% ),65587,25464 ( 63.5% ),22855257619,3133997,5
2017-08-16,398,7.4%,624,3.5%,78007,2.7%,23.2%,119794200,-364548900 ( -75.3% ),18071,-47516 ( -72.4% ),22975051819,3152068,5
2017-08-17,346,6.2%,467,2.5%,58458,2.0%,29.3%,109491900,-10302300 ( -8.6% ),17107,-964 ( -5.3% ),23084543719,3169175,6
2017-08-18,357,6.2%,485,2.6%,61755,2.1%,28.1%,118606800,9114900 ( 8.3% ),17362,255 ( 1.5% ),23203150519,3186537,6
2017-08-19,376,6.2%,579,3%,72078,2.3%,44.1%,237323200,118716400 ( 100.1% ),31759,14397 ( 82.9% ),23440473719,3218296,6
2017-08-20,370,6.2%,570,3%,71659,2.4%,46.8%,254631900,17308700 ( 7.3% ),33539,1780 ( 5.6% ),23695105619,3251835,6
2017-08-21,298,5.6%,426,2.4%,54589,1.9%,15.7%,58266500,-196365400 ( -77.1% ),8570,-24969 ( -74.4% ),23753372119,3260405,7
2017-08-22,308,5.6%,424,2.4%,54789,1.9%,16.6%,60340100,2073600 ( 3.6% ),9111,541 ( 6.3% ),23813712219,3269516,7
2017-08-23,218,3.8%,261,1.5%,37116,1.3%,13.3%,32507900,-27832200 ( -46.1% ),4930,-4181 ( -45.9% ),23846220119,3274446,9
2017-08-24,154,2.5%,176,1%,24907,0.9%,15.1%,24360500,-8147400 ( -25.1% ),3772,-1158 ( -23.5% ),23870580619,3278218,10
2017-08-25,146,2.3%,176,1%,24192,0.8%,10.7%,19157800,-5202700 ( -21.4% ),2591,-1181 ( -31.3% ),23889738419,3280809,12
2017-08-26,222,3.3%,295,1.5%,37254,1.2%,35.4%,100601900,81444100 ( 425.1% ),13178,10587 ( 408.6% ),23990340319,3293987,9
2017-08-27,224,3.4%,308,1.6%,39251,1.3%,35.5%,107800800,7198900 ( 7.2% ),13924,746 ( 5.7% ),24098141119,3307911,9
2017-08-28,127,2.2%,145,0.8%,20046,0.7%,8.1%,10998500,-96802300 ( -89.8% ),1629,-12295 ( -88.3% ),24109139619,3309540,13
2017-08-29,125,2.1%,150,0.9%,19832,0.7%,8.9%,11666000,667500 ( 6.1% ),1762,133 ( 8.2% ),24120805619,3311302,14
2017-08-30,57,1.0%,68,0.4%,8006,0.3%,19.7%,9319500,-2346500 ( -20.1% ),1575,-187 ( -10.6% ),24130125119,3312877,14
2017-08-31,42,0.7%,48,0.3%,6126,0.2%,16.8%,6287500,-3032000 ( -32.5% ),1032,-543 ( -34.5% ),24136412619,3313909,17
2017-09-01,40,0.7%,47,0.3%,6193,0.2%,12.2%,4490500,-1797000 ( -28.6% ),757,-275 ( -26.6% ),24140903119,3314666,19
2017-09-02,90,1.4%,113,0.6%,14148,0.5%,24.0%,26213800,21723300 ( 483.8% ),3394,2637 ( 348.3% ),24167116919,3318060,16
2017-09-03,95,1.5%,119,0.7%,14420,0.5%,25.6%,29169200,2955400 ( 11.3% ),3697,303 ( 8.9% ),24196286119,3321757,16
