날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-12-02,1,0.0%,1,0%,138,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),0,0,159
2016-12-03,1,0.0%,1,0%,199,0.0%,95.5%,1520000,1520000 ( 100.0% ),190,190 ( 100.0% ),1520000,190,42
2016-12-06,2,0.0%,2,0%,194,0.0%,47.4%,632000,632000 ( 100.0% ),92,92 ( 100.0% ),2152000,282,53
2016-12-07,1,0.0%,1,0%,116,0.0%,69.0%,560000,-72000 ( -11.4% ),80,-12 ( -13.0% ),2712000,362,52
2016-12-08,2,0.0%,2,0%,274,0.0%,58.4%,1120000,560000 ( 100.0% ),160,80 ( 100.0% ),3832000,522,38
2016-12-09,3,0.1%,3,0%,358,0.0%,75.4%,1890000,770000 ( 68.8% ),270,110 ( 68.8% ),5722000,792,27
2016-12-10,1,0.0%,1,0%,170,0.0%,100.0%,1360000,-530000 ( -28.0% ),170,-100 ( -37.0% ),7082000,962,36
2016-12-13,1,0.0%,1,0%,282,0.0%,100.0%,2256000,2256000 ( 100.0% ),282,282 ( 100.0% ),9338000,1244,27
2016-12-14,6,0.1%,7,0%,1072,0.0%,43.7%,3730000,1474000 ( 65.3% ),468,186 ( 66.0% ),13068000,1712,17
2016-12-15,140,2.6%,152,1%,19733,0.8%,13.1%,16907100,13177100 ( 353.3% ),2584,2116 ( 452.1% ),29975100,4296,11
2016-12-16,148,2.7%,155,0.9%,20227,0.8%,10.2%,14075600,-2831500 ( -16.7% ),2057,-527 ( -20.4% ),44050700,6353,12
2016-12-17,259,4.4%,331,1.9%,43685,1.6%,18.5%,62687100,48611500 ( 345.4% ),8094,6037 ( 293.5% ),106737800,14447,9
2016-12-18,240,4.1%,312,1.8%,41292,1.5%,17.5%,57275400,-5411700 ( -8.6% ),7229,-865 ( -10.7% ),164013200,21676,9
2016-12-19,121,2.4%,130,0.8%,16612,0.6%,8.6%,8855700,-48419700 ( -84.5% ),1424,-5805 ( -80.3% ),172868900,23100,15
2016-12-20,120,2.3%,126,0.8%,16028,0.6%,9.8%,9371000,515300 ( 5.8% ),1575,151 ( 10.6% ),182239900,24675,15
2016-12-21,42,0.8%,43,0.3%,4987,0.2%,20.9%,5860500,-3510500 ( -37.5% ),1041,-534 ( -33.9% ),188100400,25716,13
2016-12-22,16,0.3%,16,0.1%,2071,0.1%,40.3%,4548000,-1312500 ( -22.4% ),834,-207 ( -19.9% ),192648400,26550,16
2016-12-23,12,0.2%,12,0.1%,1809,0.1%,51.9%,5781000,1233000 ( 27.1% ),939,105 ( 12.6% ),198429400,27489,15
2016-12-24,18,0.3%,22,0.1%,2863,0.1%,21.7%,3993800,-1787200 ( -30.9% ),620,-319 ( -34.0% ),202423200,28109,21
2016-12-25,15,0.3%,18,0.1%,2197,0.1%,25.1%,4000200,6400 ( 0.2% ),551,-69 ( -11.1% ),206423400,28660,23
2016-12-26,11,0.2%,11,0.1%,975,0.0%,30.4%,1516000,-2484200 ( -62.1% ),296,-255 ( -46.3% ),207939400,28956,26
2016-12-27,11,0.2%,11,0.1%,1000,0.0%,22.7%,1239000,-277000 ( -18.3% ),227,-69 ( -23.3% ),209178400,29183,29
2016-12-28,5,0.1%,5,0%,315,0.0%,28.9%,440000,-799000 ( -64.5% ),91,-136 ( -59.9% ),209618400,29274,45
2016-12-29,7,0.1%,7,0%,410,0.0%,18.8%,403000,-37000 ( -8.4% ),77,-14 ( -15.4% ),210021400,29351,49
2016-12-30,4,0.1%,4,0%,212,0.0%,36.8%,390000,-13000 ( -3.2% ),78,1 ( 1.3% ),210411400,29429,47
2016-12-31,4,0.1%,4,0%,218,0.0%,67.0%,730000,340000 ( 87.2% ),146,68 ( 87.2% ),211141400,29575,35
2017-01-01,3,0.1%,3,0%,163,0.0%,63.8%,520000,-210000 ( -28.8% ),104,-42 ( -28.8% ),211661400,29679,32
2017-01-02,3,0.1%,3,0%,163,0.0%,31.3%,255000,-265000 ( -51.0% ),51,-53 ( -51.0% ),211916400,29730,43
2017-01-03,5,0.1%,5,0%,272,0.0%,14.7%,200000,-55000 ( -21.6% ),40,-11 ( -21.6% ),212116400,29770,56
2017-01-04,8,0.1%,8,0%,1360,0.0%,49.6%,5386000,5186000 ( 2593.0% ),674,634 ( 1585.0% ),217502400,30444,19
2017-01-07,1,0.0%,1,0%,43,0.0%,4.7%,10000,10000 ( 100.0% ),2,2 ( 100.0% ),217512400,30446,81
2017-01-12,1,0.0%,1,0%,52,0.0%,40.4%,108000,108000 ( 100.0% ),21,21 ( 100.0% ),217620400,30467,57
2017-01-21,1,0.0%,1,0%,261,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),217620400,30467,95
2017-01-24,1,0.0%,1,0%,194,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),217620400,30467,98
