날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-04-14,1,0.0%,1,0%,218,0.0%,100.0%,2180000,2180000 ( 100.0% ),218,218 ( 100.0% ),2180000,218,33
2017-04-15,4,0.1%,4,0%,1016,0.0%,98.2%,8982000,6802000 ( 312.0% ),998,780 ( 357.8% ),11162000,1216,22
2017-04-25,1,0.0%,1,0%,80,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),11162000,1216,133
2017-04-26,2,0.0%,2,0%,291,0.0%,81.4%,1185000,1185000 ( 100.0% ),237,237 ( 100.0% ),12347000,1453,28
2017-04-27,1,0.0%,1,0%,110,0.0%,93.6%,618000,-567000 ( -47.8% ),103,-134 ( -56.5% ),12965000,1556,51
2017-04-28,384,7.6%,657,3.9%,83674,3.1%,10.8%,65677100,65059100 ( 10527.4% ),9077,8974 ( 8712.6% ),78642100,10633,6
2017-04-29,545,10.0%,1210,6.8%,161986,5.6%,42.7%,516485700,450808600 ( 686.4% ),69137,60060 ( 661.7% ),595127800,79770,4
2017-04-30,607,11.2%,1366,7.7%,182649,6.3%,43.8%,606133100,89647400 ( 17.4% ),80084,10947 ( 15.8% ),1201260900,159854,4
2017-05-01,537,10.2%,1176,6.8%,157035,5.6%,26.5%,283685000,-322448100 ( -53.2% ),41692,-38392 ( -47.9% ),1484945900,201546,4
2017-05-02,508,8.1%,998,5.9%,134971,4.9%,17.2%,151245900,-132439100 ( -46.7% ),23224,-18468 ( -44.3% ),1636191800,224770,5
2017-05-03,428,6.9%,685,3.7%,86575,2.9%,47.8%,311594200,160348300 ( 106.0% ),41381,18157 ( 78.2% ),1947786000,266151,7
2017-05-04,422,6.7%,642,3.5%,82224,2.8%,38.7%,210098600,-101495600 ( -32.6% ),31826,-9555 ( -23.1% ),2157884600,297977,7
2017-05-05,488,7.1%,856,4.5%,113916,3.7%,45.5%,394813200,184714600 ( 87.9% ),51877,20051 ( 63.0% ),2552697800,349854,5
2017-05-06,421,6.3%,676,3.6%,84650,2.8%,24.3%,154270100,-240543100 ( -60.9% ),20561,-31316 ( -60.4% ),2706967900,370415,7
2017-05-07,416,6.3%,643,3.5%,79221,2.7%,19.9%,119137100,-35133000 ( -22.8% ),15744,-4817 ( -23.4% ),2826105000,386159,7
2017-05-08,233,4.2%,296,1.7%,35836,1.3%,4.2%,9753600,-109383500 ( -91.8% ),1501,-14243 ( -90.5% ),2835858600,387660,9
2017-05-09,247,4.0%,318,1.7%,37533,1.3%,47.7%,131901700,122148100 ( 1252.3% ),17896,16395 ( 1092.3% ),2967760300,405556,8
2017-05-10,75,1.5%,81,0.5%,9454,0.3%,10.9%,5556000,-126345700 ( -95.8% ),1033,-16863 ( -94.2% ),2973316300,406589,12
2017-05-11,72,1.3%,77,0.5%,8723,0.3%,4.6%,2597000,-2959000 ( -53.3% ),398,-635 ( -61.5% ),2975913300,406987,24
2017-05-12,65,1.2%,69,0.4%,8238,0.3%,6.8%,3867000,1270000 ( 48.9% ),559,161 ( 40.5% ),2979780300,407546,17
2017-05-13,201,3.3%,240,1.3%,28550,1.0%,22.7%,47745600,43878600 ( 1134.7% ),6475,5916 ( 1058.3% ),3027525900,414021,10
2017-05-14,198,3.2%,238,1.3%,27875,1.0%,23.7%,50097700,2352100 ( 4.9% ),6594,119 ( 1.8% ),3077623600,420615,9
2017-05-15,56,1.1%,59,0.4%,7043,0.3%,8.0%,3619000,-46478700 ( -92.8% ),566,-6028 ( -91.4% ),3081242600,421181,17
2017-05-16,59,1.1%,61,0.4%,7178,0.3%,5.9%,2583500,-1035500 ( -28.6% ),422,-144 ( -25.4% ),3083826100,421603,20
2017-05-17,16,0.3%,19,0.1%,1804,0.1%,18.2%,1955500,-628000 ( -24.3% ),329,-93 ( -22.0% ),3085781600,421932,22
2017-05-18,10,0.2%,10,0.1%,898,0.0%,26.1%,1340000,-615500 ( -31.5% ),234,-95 ( -28.9% ),3087121600,422166,30
2017-05-19,8,0.1%,8,0%,834,0.0%,39.9%,2389000,1049000 ( 78.3% ),333,99 ( 42.3% ),3089510600,422499,26
2017-05-20,27,0.4%,34,0.2%,4028,0.1%,22.2%,6474000,4085000 ( 171.0% ),893,560 ( 168.2% ),3095984600,423392,18
2017-05-21,30,0.5%,37,0.2%,4855,0.2%,26.4%,9625900,3151900 ( 48.7% ),1282,389 ( 43.6% ),3105610500,424674,14
2017-05-22,4,0.1%,4,0%,317,0.0%,15.1%,285000,-9340900 ( -97.0% ),48,-1234 ( -96.3% ),3105895500,424722,51
2017-05-23,6,0.1%,6,0%,581,0.0%,12.4%,387000,102000 ( 35.8% ),72,24 ( 50.0% ),3106282500,424794,53
2017-05-24,5,0.1%,5,0%,354,0.0%,13.8%,276000,-111000 ( -28.7% ),49,-23 ( -31.9% ),3106558500,424843,63
2017-05-25,3,0.1%,3,0%,215,0.0%,69.3%,1033000,757000 ( 274.3% ),149,100 ( 204.1% ),3107591500,424992,35
2017-05-26,5,0.1%,6,0%,284,0.0%,30.3%,450500,-582500 ( -56.4% ),86,-63 ( -42.3% ),3108042000,425078,46
2017-05-27,11,0.2%,12,0.1%,1069,0.0%,26.1%,1967000,1516500 ( 336.6% ),279,193 ( 224.4% ),3110009000,425357,32
2017-05-28,11,0.2%,13,0.1%,1104,0.0%,32.4%,2604500,637500 ( 32.4% ),358,79 ( 28.3% ),3112613500,425715,24
2017-05-29,2,0.0%,3,0%,99,0.0%,14.1%,96000,-2508500 ( -96.3% ),14,-344 ( -96.1% ),3112709500,425729,81
2017-05-30,4,0.1%,6,0%,558,0.0%,6.3%,139000,43000 ( 44.8% ),35,21 ( 150.0% ),3112848500,425764,70
2017-05-31,3,0.1%,4,0%,278,0.0%,9.4%,142000,3000 ( 2.2% ),26,-9 ( -25.7% ),3112990500,425790,64
2017-06-01,3,0.1%,4,0%,425,0.0%,6.4%,127000,-15000 ( -10.6% ),27,1 ( 3.8% ),3113117500,425817,65
2017-06-02,4,0.1%,4,0%,316,0.0%,9.2%,193000,66000 ( 52.0% ),29,2 ( 7.4% ),3113310500,425846,63
2017-06-03,6,0.1%,11,0.1%,1469,0.1%,12.1%,914000,721000 ( 373.6% ),178,149 ( 513.8% ),3114224500,426024,35
2017-06-04,6,0.1%,11,0.1%,1469,0.1%,12.5%,839500,-74500 ( -8.2% ),183,5 ( 2.8% ),3115064000,426207,27
2017-06-05,3,0.1%,3,0%,134,0.0%,47.0%,433000,-406500 ( -48.4% ),63,-120 ( -65.6% ),3115497000,426270,46
2017-06-06,2,0.0%,3,0%,102,0.0%,78.4%,563000,130000 ( 30.0% ),80,17 ( 27.0% ),3116060000,426350,46
2017-06-07,4,0.1%,5,0%,760,0.0%,18.7%,732000,169000 ( 30.0% ),142,62 ( 77.5% ),3116792000,426492,33
2017-06-08,3,0.1%,4,0%,425,0.0%,2.6%,58000,-674000 ( -92.1% ),11,-131 ( -92.3% ),3116850000,426503,75
2017-06-09,4,0.1%,6,0%,719,0.0%,11.7%,412000,354000 ( 610.3% ),84,73 ( 663.6% ),3117262000,426587,47
2017-06-10,3,0.1%,10,0.1%,1064,0.0%,16.2%,860000,448000 ( 108.7% ),172,88 ( 104.8% ),3118122000,426759,37
2017-06-11,3,0.1%,10,0.1%,1064,0.0%,16.5%,958000,98000 ( 11.4% ),176,4 ( 2.3% ),3119080000,426935,31
2017-06-12,2,0.0%,3,0%,405,0.0%,33.6%,718000,-240000 ( -25.1% ),136,-40 ( -22.7% ),3119798000,427071,29
2017-06-13,4,0.1%,6,0%,795,0.0%,16.9%,668000,-50000 ( -7.0% ),134,-2 ( -1.5% ),3120466000,427205,39
2017-06-14,3,0.1%,6,0%,639,0.0%,3.0%,101000,-567000 ( -84.9% ),19,-115 ( -85.8% ),3120567000,427224,68
2017-06-15,2,0.0%,2,0%,214,0.0%,2.3%,24000,-77000 ( -76.2% ),5,-14 ( -73.7% ),3120591000,427229,79
2017-06-16,3,0.1%,5,0%,604,0.0%,2.0%,50000,26000 ( 108.3% ),12,7 ( 140.0% ),3120641000,427241,75
2017-06-17,3,0.0%,8,0%,997,0.0%,13.4%,608000,558000 ( 1116.0% ),134,122 ( 1016.7% ),3121249000,427375,43
2017-06-18,3,0.0%,8,0%,997,0.0%,13.3%,630000,22000 ( 3.6% ),133,-1 ( -0.7% ),3121879000,427508,41
2017-06-19,1,0.0%,1,0%,32,0.0%,9.4%,15000,-615000 ( -97.6% ),3,-130 ( -97.7% ),3121894000,427511,76
