날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-11-23,1,0.0%,1,0%,247,0.0%,100.0%,2470000,2470000 ( 100.0% ),247,247 ( 100.0% ),2470000,247,30
2018-11-29,1,0.0%,1,0%,247,0.0%,100.0%,1482000,1482000 ( 100.0% ),247,247 ( 100.0% ),3952000,494,36
2018-12-04,4,0.1%,7,0%,1921,0.1%,83.0%,14355000,14355000 ( 100.0% ),1595,1595 ( 100.0% ),18307000,2089,13
2018-12-05,12,0.2%,12,0.1%,1763,0.1%,98.1%,8650000,-5705000 ( -39.7% ),1730,135 ( 8.5% ),26957000,3819,11
2018-12-06,52,0.9%,52,0.3%,10825,0.4%,97.3%,72178000,63528000 ( 734.4% ),10538,8808 ( 509.1% ),99135000,14357,6
2018-12-07,25,0.4%,25,0.1%,4445,0.2%,97.1%,28766000,-43412000 ( -60.1% ),4318,-6220 ( -59.0% ),127901000,18675,11
2018-12-09,2,0.0%,2,0%,306,0.0%,100.0%,3060000,3060000 ( 100.0% ),306,306 ( 100.0% ),130961000,18981,26
2018-12-10,2,0.0%,2,0%,180,0.0%,102.2%,1104000,-1956000 ( -63.9% ),184,-122 ( -39.9% ),132065000,19165,38
2018-12-11,14,0.2%,14,0.1%,4730,0.2%,99.4%,34841000,33737000 ( 3055.9% ),4702,4518 ( 2455.4% ),166906000,23867,10
2018-12-12,6,0.1%,6,0%,1347,0.0%,75.5%,9153000,-25688000 ( -73.7% ),1017,-3685 ( -78.4% ),176059000,24884,20
2018-12-13,20,0.3%,20,0.1%,4620,0.2%,65.9%,34270400,25117400 ( 274.4% ),3045,2028 ( 199.4% ),210329400,27929,12
2018-12-14,353,5.1%,354,1.9%,61547,2.1%,15.9%,86305000,52034600 ( 151.8% ),9804,6759 ( 222.0% ),296634400,37733,7
2018-12-15,418,5.7%,705,3.6%,124049,4.0%,25.0%,271974500,185669500 ( 215.1% ),30951,21147 ( 215.7% ),568608900,68684,6
2018-12-16,407,5.6%,703,3.6%,122895,4.1%,26.3%,285824600,13850100 ( 5.1% ),32305,1354 ( 4.4% ),854433500,100989,6
2018-12-17,17,0.3%,17,0.1%,3825,0.1%,80.7%,26440300,-259384300 ( -90.7% ),3086,-29219 ( -90.4% ),880873800,104075,9
2018-12-18,21,0.3%,21,0.1%,4673,0.2%,99.1%,40947000,14506700 ( 54.9% ),4631,1545 ( 50.1% ),921820800,108706,11
2018-12-19,984,15.5%,3669,21.2%,573754,21.2%,17.9%,776978000,736031000 ( 1797.5% ),102502,97871 ( 2113.4% ),1698798800,211208,3
2018-12-20,983,15.2%,3519,20.4%,543593,20.2%,14.4%,588835200,-188142800 ( -24.2% ),78455,-24047 ( -23.5% ),2287634000,289663,3
2018-12-21,983,15.0%,3478,19.7%,532957,19.3%,17.7%,762699869,173864669 ( 29.5% ),94342,15887 ( 20.2% ),3050333869,384005,3
2018-12-22,860,12.4%,3254,17.2%,488408,16.6%,28.9%,1235052383,472352514 ( 61.9% ),141390,47048 ( 49.9% ),4285386252,525395,3
2018-12-23,810,11.6%,3001,16%,445520,15.3%,30.4%,1192813400,-42238983 ( -3.4% ),135550,-5840 ( -4.1% ),5478199652,660945,3
2018-12-24,831,11.2%,2551,13.3%,365815,12.3%,31.2%,896843950,-295969450 ( -24.8% ),114277,-21273 ( -15.7% ),6375043602,775222,4
2018-12-25,656,8.9%,1856,9.3%,241883,7.7%,59.9%,1248260400,351416450 ( 39.2% ),144828,30551 ( 26.7% ),7623304002,920050,5
2018-12-26,608,9.2%,1389,7.5%,173751,6.0%,31.2%,323671700,-924588700 ( -74.1% ),54156,-90672 ( -62.6% ),7946975702,974206,4
2018-12-27,631,9.4%,1435,7.8%,175519,6.0%,22.3%,297356550,-26315150 ( -8.1% ),39085,-15071 ( -27.8% ),8244332252,1013291,5
2018-12-28,666,9.6%,1505,8%,192096,6.5%,22.5%,360835350,63478800 ( 21.3% ),43230,4145 ( 10.6% ),8605167602,1056521,5
2018-12-29,680,9.3%,1525,7.8%,199233,6.5%,34.6%,605367050,244531700 ( 67.8% ),68940,25710 ( 59.5% ),9210534652,1125461,5
2018-12-30,653,9.1%,1512,7.8%,200082,6.6%,34.8%,606586400,1219350 ( 0.2% ),69690,750 ( 1.1% ),9817121052,1195151,5
2018-12-31,662,9.6%,1601,8.3%,211241,7.0%,30.1%,491444550,-115141850 ( -19.0% ),63660,-6030 ( -8.7% ),10308565602,1258811,5
2019-01-01,577,8.1%,1309,6.7%,172248,5.7%,38.4%,580947700,89503150 ( 18.2% ),66173,2513 ( 3.9% ),10889513302,1324984,6
2019-01-02,587,8.7%,1353,7.4%,180780,6.3%,12.8%,179116350,-401831350 ( -69.2% ),23104,-43069 ( -65.1% ),11068629652,1348088,6
2019-01-03,536,7.7%,1112,6%,149765,5.2%,12.7%,147258350,-31858000 ( -17.8% ),19023,-4081 ( -17.7% ),11215888002,1367111,6
2019-01-04,524,7.5%,1090,5.8%,144823,5.0%,12.0%,150405100,3146750 ( 2.1% ),17369,-1654 ( -8.7% ),11366293102,1384480,6
2019-01-05,479,6.2%,891,4.6%,113380,3.7%,21.4%,213429000,63023900 ( 41.9% ),24315,6946 ( 40.0% ),11579722102,1408795,8
2019-01-06,472,6.1%,829,4.4%,104740,3.5%,18.3%,168047500,-45381500 ( -21.3% ),19210,-5105 ( -21.0% ),11747769602,1428005,9
2019-01-07,484,7.1%,918,5.2%,118715,4.3%,9.1%,85490050,-82557450 ( -49.1% ),10788,-8422 ( -43.8% ),11833259652,1438793,6
2019-01-08,510,7.4%,961,5.4%,123566,4.5%,9.4%,91261950,5771900 ( 6.8% ),11573,785 ( 7.3% ),11924521602,1450366,6
2019-01-09,161,2.6%,245,1.4%,29930,1.1%,9.1%,21385850,-69876100 ( -76.6% ),2736,-8837 ( -76.4% ),11945907452,1453102,11
2019-01-10,131,1.9%,190,1%,23924,0.8%,11.1%,19842900,-1542950 ( -7.2% ),2655,-81 ( -3.0% ),11965750352,1455757,13
2019-01-11,128,1.9%,179,1%,22543,0.8%,9.4%,18047750,-1795150 ( -9.0% ),2113,-542 ( -20.4% ),11983798102,1457870,12
2019-01-12,105,1.5%,148,0.8%,17781,0.6%,18.8%,28073950,10026200 ( 55.6% ),3338,1225 ( 58.0% ),12011872052,1461208,13
2019-01-13,97,1.4%,127,0.7%,14948,0.5%,11.1%,14599610,-13474340 ( -48.0% ),1665,-1673 ( -50.1% ),12026471662,1462873,15
2019-01-14,99,1.6%,133,0.7%,15810,0.6%,6.0%,7386750,-7212860 ( -49.4% ),956,-709 ( -42.6% ),12033858412,1463829,15
