날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-07-05,2,0.0%,2,0%,840,0.0%,100.7%,7614000,7614000 ( 100.0% ),846,846 ( 100.0% ),7614000,846,13
2018-07-10,1,0.0%,1,0%,262,0.0%,100.0%,2358000,2358000 ( 100.0% ),262,262 ( 100.0% ),9972000,1108,26
2018-07-11,808,17.3%,4166,23%,659793,22.9%,11.9%,632336000,629978000 ( 26716.6% ),78615,78353 ( 29905.7% ),642308000,79723,2
2018-07-12,831,16.6%,4129,23%,654849,22.8%,10.9%,582087500,-50248500 ( -7.9% ),71383,-7232 ( -9.2% ),1224395500,151106,2
2018-07-13,812,15.9%,3980,21.3%,627649,21.2%,14.4%,802736208,220648708 ( 37.9% ),90555,19172 ( 26.9% ),2027131708,241661,2
2018-07-14,793,14.4%,3959,20%,620039,19.8%,31.1%,1730198816,927462608 ( 115.5% ),193028,102473 ( 113.2% ),3757330524,434689,2
2018-07-15,791,14.7%,3872,20.2%,604958,19.9%,30.0%,1623920600,-106278216 ( -6.1% ),181248,-11780 ( -6.1% ),5381251124,615937,2
2018-07-16,771,15.7%,3823,21.4%,610916,21.4%,9.2%,455476100,-1168444500 ( -72.0% ),56277,-124971 ( -69.0% ),5836727224,672214,2
2018-07-17,777,15.4%,3797,21.4%,612569,21.6%,8.2%,405054100,-50422000 ( -11.1% ),50327,-5950 ( -10.6% ),6241781324,722541,3
2018-07-18,609,11.4%,2133,11.9%,315666,11.1%,11.2%,279073400,-125980700 ( -31.1% ),35234,-15093 ( -30.0% ),6520854724,757775,4
2018-07-19,595,10.5%,1943,10.8%,293194,10.3%,10.0%,232853700,-46219700 ( -16.6% ),29197,-6037 ( -17.1% ),6753708424,786972,4
2018-07-20,607,10.6%,1941,10.5%,287492,9.8%,13.3%,332144255,99290555 ( 42.6% ),38283,9086 ( 31.1% ),7085852679,825255,4
2018-07-21,606,9.8%,1606,8.3%,218206,7.2%,29.8%,579418639,247274384 ( 74.4% ),65048,26765 ( 69.9% ),7665271318,890303,4
2018-07-22,628,10.2%,1567,8.3%,210826,7.1%,29.1%,545193900,-34224739 ( -5.9% ),61385,-3663 ( -5.6% ),8210465218,951688,4
2018-07-23,586,10.5%,1702,9.5%,235278,8.3%,9.7%,180617700,-364576200 ( -66.9% ),22790,-38595 ( -62.9% ),8391082918,974478,4
2018-07-24,602,10.4%,1692,9.5%,238661,8.5%,9.1%,170124900,-10492800 ( -5.8% ),21621,-1169 ( -5.1% ),8561207818,996099,4
2018-07-25,65,1.2%,89,0.5%,11526,0.4%,8.5%,6089100,-164035800 ( -96.4% ),979,-20642 ( -95.5% ),8567296918,997078,12
2018-07-26,64,1.1%,83,0.5%,10985,0.4%,6.5%,5204700,-884400 ( -14.5% ),711,-268 ( -27.4% ),8572501618,997789,16
2018-07-27,56,1.0%,77,0.4%,8954,0.3%,6.8%,5095200,-109500 ( -2.1% ),613,-98 ( -13.8% ),8577596818,998402,17
2018-07-28,54,0.9%,64,0.3%,8132,0.3%,9.2%,6056400,961200 ( 18.9% ),746,133 ( 21.7% ),8583653218,999148,16
2018-07-29,45,0.8%,59,0.3%,7598,0.3%,10.9%,6654300,597900 ( 9.9% ),830,84 ( 11.3% ),8590307518,999978,13
2018-07-30,39,0.7%,51,0.3%,6844,0.2%,6.7%,3486600,-3167700 ( -47.6% ),461,-369 ( -44.5% ),8593794118,1000439,17
2018-07-31,48,0.8%,64,0.4%,8361,0.3%,7.3%,4601300,1114700 ( 32.0% ),612,151 ( 32.8% ),8598395418,1001051,18
2018-08-01,3,0.1%,3,0%,469,0.0%,8.7%,287000,-4314300 ( -93.8% ),41,-571 ( -93.3% ),8598682418,1001092,48
2018-08-02,3,0.1%,3,0%,537,0.0%,3.9%,151000,-136000 ( -47.4% ),21,-20 ( -48.8% ),8598833418,1001113,60
2018-08-03,3,0.1%,3,0%,575,0.0%,3.7%,175300,24300 ( 16.1% ),21,0 ( 0.0% ),8599008718,1001134,61
2018-08-04,2,0.0%,2,0%,431,0.0%,4.4%,168000,-7300 ( -4.2% ),19,-2 ( -9.5% ),8599176718,1001153,55
2018-08-05,1,0.0%,1,0%,131,0.0%,5.3%,56000,-112000 ( -66.7% ),7,-12 ( -63.2% ),8599232718,1001160,64
2018-08-08,10,0.2%,10,0.1%,1004,0.0%,34.4%,2654000,2654000 ( 100.0% ),345,345 ( 100.0% ),8601886718,1001505,19
2018-08-09,2,0.0%,2,0%,174,0.0%,34.5%,450000,-2204000 ( -83.0% ),60,-285 ( -82.6% ),8602336718,1001565,42
2018-08-10,2,0.0%,2,0%,174,0.0%,39.7%,533000,83000 ( 18.4% ),69,9 ( 15.0% ),8602869718,1001634,37
2018-08-11,2,0.0%,2,0%,174,0.0%,59.2%,784000,251000 ( 47.1% ),103,34 ( 49.3% ),8603653718,1001737,30
2018-08-12,2,0.0%,2,0%,174,0.0%,53.4%,708000,-76000 ( -9.7% ),93,-10 ( -9.7% ),8604361718,1001830,30
2018-08-13,2,0.0%,2,0%,174,0.0%,35.1%,457000,-251000 ( -35.5% ),61,-32 ( -34.4% ),8604818718,1001891,44
2018-08-14,2,0.0%,2,0%,174,0.0%,35.1%,457000,0 ( 0.0% ),61,0 ( 0.0% ),8605275718,1001952,47
2018-08-15,2,0.0%,2,0%,174,0.0%,52.9%,693000,236000 ( 51.6% ),92,31 ( 50.8% ),8605968718,1002044,38
2018-08-16,2,0.0%,2,0%,174,0.0%,34.5%,450000,-243000 ( -35.1% ),60,-32 ( -34.8% ),8606418718,1002104,53
2018-08-17,2,0.0%,2,0%,174,0.0%,36.8%,494000,44000 ( 9.8% ),64,4 ( 6.7% ),8606912718,1002168,41
2018-08-18,2,0.0%,2,0%,174,0.0%,36.2%,474000,-20000 ( -4.0% ),63,-1 ( -1.6% ),8607386718,1002231,57
2018-08-19,2,0.0%,2,0%,174,0.0%,37.4%,494000,20000 ( 4.2% ),65,2 ( 3.2% ),8607880718,1002296,47
2018-08-20,2,0.0%,2,0%,174,0.0%,35.1%,457000,-37000 ( -7.5% ),61,-4 ( -6.2% ),8608337718,1002357,47
2018-08-21,2,0.0%,2,0%,174,0.0%,34.5%,450000,-7000 ( -1.5% ),60,-1 ( -1.6% ),8608787718,1002417,56
2018-08-22,2,0.0%,2,0%,174,0.0%,35.1%,458000,8000 ( 1.8% ),61,1 ( 1.7% ),8609245718,1002478,46
2018-08-23,2,0.0%,2,0%,174,0.0%,36.2%,477000,19000 ( 4.1% ),63,2 ( 3.3% ),8609722718,1002541,52
2018-08-24,2,0.0%,2,0%,174,0.0%,37.4%,496000,19000 ( 4.0% ),65,2 ( 3.2% ),8610218718,1002606,58
2018-08-25,2,0.0%,2,0%,174,0.0%,37.9%,503000,7000 ( 1.4% ),66,1 ( 1.5% ),8610721718,1002672,59
2018-08-26,2,0.0%,2,0%,174,0.0%,37.4%,483000,-20000 ( -4.0% ),65,-1 ( -1.5% ),8611204718,1002737,49
2018-08-27,2,0.0%,2,0%,174,0.0%,35.1%,457000,-26000 ( -5.4% ),61,-4 ( -6.2% ),8611661718,1002798,46
2018-08-28,2,0.0%,2,0%,174,0.0%,34.5%,450000,-7000 ( -1.5% ),60,-1 ( -1.6% ),8612111718,1002858,48
