날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-08-01,1,0.0%,1,0%,401,0.0%,100.0%,3208000,3208000 ( 100.0% ),401,401 ( 100.0% ),3208000,401,19
2016-08-03,1,0.0%,1,0%,450,0.0%,100.0%,3600000,3600000 ( 100.0% ),450,450 ( 100.0% ),6808000,851,20
2016-08-04,10,0.2%,10,0.1%,3137,0.1%,96.8%,35673000,32073000 ( 890.9% ),3036,2586 ( 574.7% ),42481000,3887,11
2016-08-09,4,0.1%,4,0%,890,0.0%,100.0%,7120000,7120000 ( 100.0% ),890,890 ( 100.0% ),49601000,4777,19
2016-08-10,4,0.1%,4,0%,817,0.0%,100.0%,7085000,-35000 ( -0.5% ),817,-73 ( -8.2% ),56686000,5594,16
2016-08-15,1,0.0%,2,0%,778,0.0%,100.0%,8169000,8169000 ( 100.0% ),778,778 ( 100.0% ),64855000,6372,21
2016-08-16,5,0.1%,5,0%,1602,0.1%,98.5%,15398000,7229000 ( 88.5% ),1578,800 ( 102.8% ),80253000,7950,12
2016-08-17,701,12.4%,3501,20.9%,679341,24.7%,12.2%,701970400,686572400 ( 4458.8% ),83066,81488 ( 5164.0% ),782223400,91016,3
2016-08-18,716,12.2%,3409,20.2%,658846,23.8%,14.3%,773750100,71779700 ( 10.2% ),93991,10925 ( 13.2% ),1555973500,185007,3
2016-08-19,703,11.9%,3347,19.5%,637444,22.7%,16.0%,946747200,172997100 ( 22.4% ),101882,7891 ( 8.4% ),2502720700,286889,3
2016-08-20,682,11.2%,3134,17.7%,560170,19.4%,37.2%,1933462220,986715020 ( 104.2% ),208507,106625 ( 104.7% ),4436182920,495396,2
2016-08-21,676,11.2%,2998,17.4%,536389,19.1%,34.1%,1679643400,-253818820 ( -13.1% ),183005,-25502 ( -12.2% ),6115826320,678401,3
2016-08-22,627,11.4%,2938,18.1%,531229,19.9%,10.1%,442159300,-1237484100 ( -73.7% ),53599,-129406 ( -70.7% ),6557985620,732000,3
2016-08-23,627,11.3%,2864,17.7%,518345,19.5%,9.4%,403213200,-38946100 ( -8.8% ),48909,-4690 ( -8.8% ),6961198820,780909,3
2016-08-24,514,9.4%,2069,12.6%,355487,13.1%,10.8%,314329200,-88884000 ( -22.0% ),38485,-10424 ( -21.3% ),7275528020,819394,4
2016-08-25,431,7.2%,1366,8.2%,241596,8.8%,10.9%,218275000,-96054200 ( -30.6% ),26260,-12225 ( -31.8% ),7493803020,845654,5
2016-08-26,473,7.7%,1404,8.3%,242375,8.7%,15.4%,347619300,129344300 ( 59.3% ),37401,11141 ( 42.4% ),7841422320,883055,5
2016-08-27,489,7.4%,1416,7.9%,238545,8.2%,29.7%,653868300,306249000 ( 88.1% ),70941,33540 ( 89.7% ),8495290620,953996,5
2016-08-28,487,7.4%,1369,7.9%,232961,8.2%,25.6%,545762400,-108105900 ( -16.5% ),59601,-11340 ( -16.0% ),9041053020,1013597,5
2016-08-29,443,7.7%,1293,8.1%,228977,8.6%,7.4%,139042400,-406720000 ( -74.5% ),16844,-42757 ( -71.7% ),9180095420,1030441,5
2016-08-30,431,7.3%,1267,7.9%,225832,8.5%,7.3%,139243000,200600 ( 0.1% ),16460,-384 ( -2.3% ),9319338420,1046901,5
2016-08-31,338,5.5%,764,4.6%,122706,4.5%,15.4%,110482700,-28760300 ( -20.7% ),18847,2387 ( 14.5% ),9429821120,1065748,6
2016-09-01,315,5.4%,716,4.4%,118434,4.4%,6.8%,59814600,-50668100 ( -45.9% ),8055,-10792 ( -57.3% ),9489635720,1073803,7
2016-09-02,329,5.5%,763,4.5%,124925,4.5%,9.4%,100968900,41154300 ( 68.8% ),11732,3677 ( 45.6% ),9590604620,1085535,6
2016-09-03,362,5.7%,802,4.5%,128333,4.3%,18.2%,204806500,103837600 ( 102.8% ),23357,11625 ( 99.1% ),9795411120,1108892,7
2016-09-04,351,5.6%,767,4.4%,122607,4.3%,15.0%,156384800,-48421700 ( -23.6% ),18440,-4917 ( -21.1% ),9951795920,1127332,8
2016-09-05,318,5.7%,706,4.6%,117175,4.5%,4.9%,43060100,-113324700 ( -72.5% ),5734,-12706 ( -68.9% ),9994856020,1133066,8
2016-09-06,320,5.6%,716,4.7%,119510,4.7%,5.0%,44338700,1278600 ( 3.0% ),5980,246 ( 4.3% ),10039194720,1139046,7
2016-09-07,34,0.7%,43,0.3%,7009,0.3%,7.5%,3878000,-40460700 ( -91.3% ),527,-5453 ( -91.2% ),10043072720,1139573,19
2016-09-08,34,0.7%,47,0.3%,6344,0.3%,9.8%,4802500,924500 ( 23.8% ),621,94 ( 17.8% ),10047875220,1140194,17
2016-09-09,38,0.7%,49,0.3%,6731,0.3%,11.3%,6460100,1657600 ( 34.5% ),758,137 ( 22.1% ),10054335320,1140952,17
2016-09-10,35,0.6%,46,0.3%,6880,0.3%,19.5%,12523900,6063800 ( 93.9% ),1341,583 ( 76.9% ),10066859220,1142293,16
2016-09-11,31,0.5%,43,0.3%,6348,0.2%,17.5%,10634000,-1889900 ( -15.1% ),1114,-227 ( -16.9% ),10077493220,1143407,16
2016-09-12,36,0.7%,44,0.3%,7207,0.3%,9.9%,5579500,-5054500 ( -47.5% ),717,-397 ( -35.6% ),10083072720,1144124,17
2016-09-13,28,0.5%,33,0.2%,5621,0.2%,14.1%,6048500,469000 ( 8.4% ),792,75 ( 10.5% ),10089121220,1144916,20
2016-09-14,6,0.1%,10,0.1%,2071,0.1%,30.6%,5959800,-88700 ( -1.5% ),634,-158 ( -19.9% ),10095081020,1145550,21
2016-09-15,4,0.1%,8,0%,1554,0.1%,26.5%,3864600,-2095200 ( -35.2% ),412,-222 ( -35.0% ),10098945620,1145962,26
2016-09-16,5,0.1%,8,0%,1426,0.1%,32.0%,4151000,286400 ( 7.4% ),456,44 ( 10.7% ),10103096620,1146418,27
2016-09-17,5,0.1%,8,0%,1425,0.1%,29.3%,3853600,-297400 ( -7.2% ),418,-38 ( -8.3% ),10106950220,1146836,30
2016-09-18,4,0.1%,7,0%,1216,0.0%,24.5%,2705600,-1148000 ( -29.8% ),298,-120 ( -28.7% ),10109655820,1147134,29
2016-09-19,4,0.1%,7,0%,1245,0.1%,14.4%,1404500,-1301100 ( -48.1% ),179,-119 ( -39.9% ),10111060320,1147313,33
2016-09-20,5,0.1%,8,0.1%,1404,0.1%,28.8%,3074000,1669500 ( 118.9% ),404,225 ( 125.7% ),10114134320,1147717,21
2016-09-21,5,0.1%,7,0%,1187,0.1%,14.7%,1328000,-1746000 ( -56.8% ),174,-230 ( -56.9% ),10115462320,1147891,37
2016-09-22,2,0.0%,2,0%,393,0.0%,12.0%,353000,-975000 ( -73.4% ),47,-127 ( -73.0% ),10115815320,1147938,62
2016-09-23,5,0.1%,6,0%,1033,0.0%,32.8%,2701500,2348500 ( 665.3% ),339,292 ( 621.3% ),10118516820,1148277,31
2016-09-24,3,0.0%,4,0%,805,0.0%,30.4%,2319000,-382500 ( -14.2% ),245,-94 ( -27.7% ),10120835820,1148522,35
