날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-01-08,1,0.0%,1,0%,238,0.0%,100.0%,2142000,2142000 ( 100.0% ),238,238 ( 100.0% ),2142000,238,29
2016-01-19,1,0.0%,1,0%,224,0.0%,100.0%,1792000,1792000 ( 100.0% ),224,224 ( 100.0% ),3934000,462,36
2016-01-21,381,7.3%,1102,7.3%,157479,6.3%,5.8%,68012600,68012600 ( 100.0% ),9164,9164 ( 100.0% ),71946600,9626,8
2016-01-22,384,7.2%,1058,6.9%,150986,5.9%,6.0%,73143751,5131151 ( 7.5% ),9126,-38 ( -0.4% ),145090351,18752,8
2016-01-23,370,6.4%,855,5.3%,119144,4.5%,11.2%,109006356,35862605 ( 49.0% ),13385,4259 ( 46.7% ),254096707,32137,10
2016-01-24,343,6.0%,768,4.9%,107189,4.2%,9.5%,82305400,-26700956 ( -24.5% ),10180,-3205 ( -23.9% ),336402107,42317,10
2016-01-25,327,6.4%,743,5.2%,102215,4.3%,4.5%,34089700,-48215700 ( -58.6% ),4588,-5592 ( -54.9% ),370491807,46905,9
2016-01-26,336,6.5%,735,5.1%,102177,4.3%,4.6%,35151700,1062000 ( 3.1% ),4720,132 ( 2.9% ),405643507,51625,9
2016-01-27,267,5.2%,508,3.5%,70079,2.9%,6.8%,29566400,-5585300 ( -15.9% ),4797,77 ( 1.6% ),435209907,56422,10
2016-01-28,42,0.9%,66,0.4%,8055,0.3%,13.8%,8757500,-20808900 ( -70.4% ),1114,-3683 ( -76.8% ),443967407,57536,13
2016-01-29,42,0.9%,68,0.4%,8532,0.3%,15.7%,10801069,2043569 ( 23.3% ),1339,225 ( 20.2% ),454768476,58875,14
2016-01-30,38,0.8%,62,0.4%,7428,0.3%,27.1%,16998000,6196931 ( 57.4% ),2015,676 ( 50.5% ),471766476,60890,12
2016-01-31,37,0.7%,62,0.4%,7592,0.3%,26.6%,17051700,53700 ( 0.3% ),2023,8 ( 0.4% ),488818176,62913,12
2016-02-01,39,0.9%,68,0.5%,8403,0.3%,10.8%,6766100,-10285600 ( -60.3% ),907,-1116 ( -55.2% ),495584276,63820,13
2016-02-02,39,0.9%,64,0.4%,8268,0.3%,7.9%,4906400,-1859700 ( -27.5% ),654,-253 ( -27.9% ),500490676,64474,17
2016-02-03,29,0.7%,48,0.3%,5802,0.2%,8.8%,3944400,-962000 ( -19.6% ),511,-143 ( -21.9% ),504435076,64985,16
2016-02-04,17,0.4%,19,0.1%,1882,0.1%,17.5%,2397800,-1546600 ( -39.2% ),330,-181 ( -35.4% ),506832876,65315,23
2016-02-05,14,0.3%,16,0.1%,1702,0.1%,12.6%,1813000,-584800 ( -24.4% ),214,-116 ( -35.2% ),508645876,65529,21
2016-02-06,11,0.2%,12,0.1%,1225,0.0%,19.4%,1970000,157000 ( 8.7% ),238,24 ( 11.2% ),510615876,65767,23
2016-02-07,13,0.2%,14,0.1%,1638,0.1%,15.2%,1951200,-18800 ( -1.0% ),249,11 ( 4.6% ),512567076,66016,23
2016-02-08,8,0.2%,9,0.1%,846,0.0%,46.7%,3488400,1537200 ( 78.8% ),395,146 ( 58.6% ),516055476,66411,18
