날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-12-05,2,0.0%,2,0%,803,0.0%,99.0%,6766000,6766000 ( 100.0% ),795,795 ( 100.0% ),6766000,795,14
2018-12-08,7,0.1%,7,0%,1788,0.1%,90.0%,17602000,17602000 ( 100.0% ),1610,1610 ( 100.0% ),24368000,2405,18
2018-12-09,6,0.1%,6,0%,1168,0.0%,88.2%,11239650,-6362350 ( -36.1% ),1030,-580 ( -36.0% ),35607650,3435,20
2018-12-10,301,5.0%,460,2.6%,67932,2.4%,8.4%,45960950,34721300 ( 308.9% ),5706,4676 ( 454.0% ),81568600,9141,7
2018-12-11,303,4.8%,465,2.6%,68733,2.4%,9.4%,52616600,6655650 ( 14.5% ),6459,753 ( 13.2% ),134185200,15600,6
2018-12-12,676,11.3%,2720,15.1%,427668,14.9%,9.5%,313158050,260541450 ( 495.2% ),40476,34017 ( 526.7% ),447343250,56076,4
2018-12-13,688,10.7%,2609,14.5%,409209,14.4%,8.8%,282711800,-30446250 ( -9.7% ),36083,-4393 ( -10.9% ),730055050,92159,4
2018-12-14,705,10.2%,2505,13.5%,388715,13.3%,13.1%,427097063,144385263 ( 51.1% ),51009,14926 ( 41.4% ),1157152113,143168,4
2018-12-15,703,9.5%,2500,12.7%,369702,12.0%,34.4%,1072923313,645826250 ( 151.2% ),127349,76340 ( 149.7% ),2230075426,270517,4
2018-12-16,722,10.0%,2513,13%,369016,12.2%,32.5%,1017039900,-55883413 ( -5.2% ),119810,-7539 ( -5.9% ),3247115326,390327,3
2018-12-17,638,10.6%,2353,13.4%,353244,12.7%,9.6%,265282600,-751757300 ( -73.9% ),33838,-85972 ( -71.8% ),3512397926,424165,4
2018-12-18,677,10.4%,2334,13.1%,352127,12.6%,11.1%,303096350,37813750 ( 14.3% ),39170,5332 ( 15.8% ),3815494276,463335,4
2018-12-19,156,2.5%,190,1.1%,21879,0.8%,29.8%,49402800,-253693550 ( -83.7% ),6511,-32659 ( -83.4% ),3864897076,469846,9
2018-12-20,173,2.7%,222,1.3%,26444,1.0%,31.6%,63580150,14177350 ( 28.7% ),8345,1834 ( 28.2% ),3928477226,478191,8
