날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-06-30,2,0.0%,2,0%,705,0.0%,100.0%,5640000,5640000 ( 100.0% ),705,705 ( 100.0% ),5640000,705,18
2017-07-01,3,0.1%,3,0%,456,0.0%,100.0%,4560000,-1080000 ( -19.1% ),456,-249 ( -35.3% ),10200000,1161,27
2017-07-02,2,0.0%,2,0%,932,0.0%,100.0%,9444000,4884000 ( 107.1% ),932,476 ( 104.4% ),19644000,2093,22
2017-07-03,2,0.0%,2,0%,1030,0.0%,97.7%,8048000,-1396000 ( -14.8% ),1006,74 ( 7.9% ),27692000,3099,12
2017-07-04,8,0.2%,8,0.1%,3098,0.1%,100.0%,27943000,19895000 ( 247.2% ),3098,2092 ( 208.0% ),55635000,6197,9
2017-07-05,1703,39.6%,9117,57.8%,1702485,65.8%,32.0%,4247740050,4219797050 ( 15101.4% ),545302,542204 ( 17501.7% ),4303375050,551499,1
2017-07-06,1733,39.0%,9170,57.9%,1710240,65.8%,23.7%,3156783500,-1090956550 ( -25.7% ),405399,-139903 ( -25.7% ),7460158550,956898,1
2017-07-07,1796,39.6%,9533,58.5%,1765989,66.4%,30.4%,4552872932,1396089432 ( 44.2% ),537526,132127 ( 32.6% ),12013031482,1494424,1
2017-07-08,1965,41.1%,10679,62.3%,1942894,69.7%,56.6%,9290724642,4737851710 ( 104.1% ),1098751,561225 ( 104.4% ),21303756124,2593175,1
2017-07-09,1965,41.6%,10524,63%,1914659,70.3%,50.7%,8168301700,-1122422942 ( -12.1% ),970771,-127980 ( -11.6% ),29472057824,3563946,1
2017-07-10,1761,41.6%,9331,60.6%,1732372,68.5%,14.7%,1977266100,-6191035600 ( -75.8% ),254624,-716147 ( -73.8% ),31449323924,3818570,1
2017-07-11,1797,39.8%,9249,59.7%,1717988,67.6%,15.6%,2051712700,74446600 ( 3.8% ),267167,12543 ( 4.9% ),33501036624,4085737,1
2017-07-12,1705,38.8%,8859,56.8%,1655416,64.8%,13.0%,1644824300,-406888400 ( -19.8% ),215812,-51355 ( -19.2% ),35145860924,4301549,1
2017-07-13,1668,34.2%,8446,53.5%,1590666,61.6%,11.6%,1403485100,-241339200 ( -14.7% ),183923,-31889 ( -14.8% ),36549346024,4485472,1
2017-07-14,1700,33.5%,8751,53.6%,1648424,61.8%,15.6%,2143060542,739575442 ( 52.7% ),256830,72907 ( 39.6% ),38692406566,4742302,1
2017-07-15,1781,33.1%,9257,52.9%,1726791,60.6%,36.6%,5301827757,3158767215 ( 147.4% ),632067,375237 ( 146.1% ),43994234323,5374369,1
2017-07-16,1762,33.4%,8901,52.6%,1663151,60.4%,31.8%,4416140150,-885687607 ( -16.7% ),528457,-103610 ( -16.4% ),48410374473,5902826,1
2017-07-17,1600,34.8%,8068,52.4%,1531173,60.5%,8.1%,958471900,-3457668250 ( -78.3% ),124148,-404309 ( -76.5% ),49368846373,6026974,1
2017-07-18,1617,33.3%,7934,51.6%,1508136,59.7%,7.4%,853658600,-104813300 ( -10.9% ),111280,-12868 ( -10.4% ),50222504973,6138254,1
2017-07-19,1472,29.1%,7229,44.7%,1395338,52.9%,7.4%,791554400,-62104200 ( -7.3% ),103671,-7609 ( -6.8% ),51014059373,6241925,1
2017-07-20,895,15.8%,3744,20.4%,638251,21.1%,12.5%,595059400,-196495000 ( -24.8% ),79499,-24172 ( -23.3% ),51609118773,6321424,2
2017-07-21,897,15.6%,3834,20.3%,642736,20.7%,17.7%,941842632,346783232 ( 58.3% ),113462,33963 ( 42.7% ),52550961405,6434886,2
2017-07-22,918,15.0%,3841,19.4%,640267,19.7%,35.2%,1880483025,938640393 ( 99.7% ),225365,111903 ( 98.6% ),54431444430,6660251,2
2017-07-23,914,14.9%,3753,19.4%,627127,19.8%,31.1%,1628030050,-252452975 ( -13.4% ),195009,-30356 ( -13.5% ),56059474480,6855260,2
2017-07-24,876,15.8%,3606,19.6%,604599,20.0%,10.4%,471231900,-1156798150 ( -71.1% ),62945,-132064 ( -67.7% ),56530706380,6918205,2
2017-07-25,879,15.4%,3611,19.6%,601290,19.9%,10.4%,468059800,-3172100 ( -0.7% ),62825,-120 ( -0.2% ),56998766180,6981030,2
2017-07-26,429,7.8%,785,4.3%,101143,3.4%,28.4%,176787300,-291272500 ( -62.2% ),28732,-34093 ( -54.3% ),57175553480,7009762,4
2017-07-27,410,7.7%,760,4.1%,96735,3.2%,22.8%,161682200,-15105100 ( -8.5% ),22024,-6708 ( -23.3% ),57337235680,7031786,4
2017-07-28,421,7.9%,727,3.9%,90239,3.0%,27.7%,204813566,43131366 ( 26.7% ),25030,3006 ( 13.6% ),57542049246,7056816,4
2017-07-29,414,7.5%,643,3.3%,81285,2.6%,46.4%,308486974,103673408 ( 50.6% ),37683,12653 ( 50.6% ),57850536220,7094499,4
2017-07-30,425,7.8%,697,3.6%,88436,2.9%,42.4%,308145100,-341874 ( -0.1% ),37500,-183 ( -0.5% ),58158681320,7131999,4
2017-07-31,490,9.2%,877,4.7%,114795,3.8%,30.8%,263303300,-44841800 ( -14.6% ),35402,-2098 ( -5.6% ),58421984620,7167401,4
2017-08-01,497,9.0%,893,4.7%,117638,3.9%,28.9%,252998700,-10304600 ( -3.9% ),34024,-1378 ( -3.9% ),58674983320,7201425,4
2017-08-02,117,2.2%,187,1%,23210,0.8%,35.0%,60191300,-192807400 ( -76.2% ),8123,-25901 ( -76.1% ),58735174620,7209548,7
2017-08-03,116,2.1%,189,1%,23273,0.8%,30.3%,52714100,-7477200 ( -12.4% ),7051,-1072 ( -13.2% ),58787888720,7216599,7
2017-08-04,116,2.1%,192,1%,24008,0.8%,29.8%,59579600,6865500 ( 13.0% ),7144,93 ( 1.3% ),58847468320,7223743,7
2017-08-05,120,2.1%,189,1%,23626,0.8%,40.6%,80729400,21149800 ( 35.5% ),9586,2442 ( 34.2% ),58928197720,7233329,7
2017-08-06,116,2.1%,187,1%,22883,0.8%,32.5%,62509700,-18219700 ( -22.6% ),7437,-2149 ( -22.4% ),58990707420,7240766,7
2017-08-07,126,2.4%,209,1.2%,26788,0.9%,16.5%,33353000,-29156700 ( -46.6% ),4430,-3007 ( -40.4% ),59024060420,7245196,6
2017-08-08,121,2.3%,208,1.2%,26222,0.9%,17.9%,33650500,297500 ( 0.9% ),4702,272 ( 6.1% ),59057710920,7249898,7
2017-08-09,32,0.6%,46,0.2%,5771,0.2%,27.7%,10890100,-22760400 ( -67.6% ),1601,-3101 ( -66.0% ),59068601020,7251499,11
2017-08-10,20,0.4%,28,0.1%,3409,0.1%,19.8%,5091500,-5798600 ( -53.2% ),676,-925 ( -57.8% ),59073692520,7252175,17
2017-08-11,18,0.3%,23,0.1%,3017,0.1%,27.7%,7062000,1970500 ( 38.7% ),835,159 ( 23.5% ),59080754520,7253010,15
2017-08-12,21,0.3%,29,0.1%,3918,0.1%,26.6%,8888000,1826000 ( 25.9% ),1044,209 ( 25.0% ),59089642520,7254054,15
2017-08-13,19,0.3%,25,0.1%,2905,0.1%,28.4%,6774000,-2114000 ( -23.8% ),824,-220 ( -21.1% ),59096416520,7254878,17
2017-08-14,18,0.3%,22,0.1%,2860,0.1%,29.3%,6191500,-582500 ( -8.6% ),839,15 ( 1.8% ),59102608020,7255717,15
2017-08-15,6,0.1%,6,0%,688,0.0%,38.7%,2084500,-4107000 ( -66.3% ),266,-573 ( -68.3% ),59104692520,7255983,28
2017-08-16,7,0.1%,7,0%,688,0.0%,32.7%,1713000,-371500 ( -17.8% ),225,-41 ( -15.4% ),59106405520,7256208,27
2017-08-17,4,0.1%,4,0%,392,0.0%,48.0%,1237500,-475500 ( -27.8% ),188,-37 ( -16.4% ),59107643020,7256396,32
2017-08-18,4,0.1%,4,0%,365,0.0%,43.0%,1156000,-81500 ( -6.6% ),157,-31 ( -16.5% ),59108799020,7256553,33
2017-08-19,6,0.1%,6,0%,708,0.0%,36.7%,2152500,996500 ( 86.2% ),260,103 ( 65.6% ),59110951520,7256813,26
2017-08-20,3,0.1%,3,0%,332,0.0%,42.5%,1159000,-993500 ( -46.2% ),141,-119 ( -45.8% ),59112110520,7256954,34
2017-08-21,4,0.1%,7,0%,904,0.0%,18.0%,1208300,49300 ( 4.3% ),163,22 ( 15.6% ),59113318820,7257117,33
2017-08-22,3,0.1%,4,0%,424,0.0%,25.9%,756500,-451800 ( -37.4% ),110,-53 ( -32.5% ),59114075320,7257227,40
2017-08-23,2,0.0%,3,0%,318,0.0%,20.4%,475500,-281000 ( -37.1% ),65,-45 ( -40.9% ),59114550820,7257292,54
2017-08-24,2,0.0%,2,0%,226,0.0%,33.2%,532500,57000 ( 12.0% ),75,10 ( 15.4% ),59115083320,7257367,60
2017-08-25,2,0.0%,2,0%,226,0.0%,23.5%,452500,-80000 ( -15.0% ),53,-22 ( -29.3% ),59115535820,7257420,61
2017-08-26,2,0.0%,2,0%,226,0.0%,54.4%,1003500,551000 ( 121.8% ),123,70 ( 132.1% ),59116539320,7257543,46
2017-08-27,2,0.0%,2,0%,226,0.0%,54.0%,1076000,72500 ( 7.2% ),122,-1 ( -0.8% ),59117615320,7257665,42
