날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-07-07,1,0.0%,1,0%,182,0.0%,73.1%,798000,798000 ( 100.0% ),133,133 ( 100.0% ),798000,133,43
2016-07-09,1,0.0%,1,0%,179,0.0%,2.2%,21000,21000 ( 100.0% ),4,4 ( 100.0% ),819000,137,113
2016-11-25,1,0.0%,1,0%,156,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),819000,137,138
2016-11-29,1,0.0%,1,0%,218,0.0%,100.0%,1744000,1744000 ( 100.0% ),218,218 ( 100.0% ),2563000,355,36
2016-11-30,2,0.0%,2,0%,262,0.0%,5.0%,89000,-1655000 ( -94.9% ),13,-205 ( -94.0% ),2652000,368,101
2016-12-01,69,1.4%,74,0.5%,8888,0.3%,4.2%,2355000,2266000 ( 2546.1% ),373,360 ( 2769.2% ),5007000,741,26
2016-12-02,70,1.4%,73,0.4%,8572,0.3%,3.9%,2417500,62500 ( 2.7% ),337,-36 ( -9.7% ),7424500,1078,31
2016-12-03,155,2.9%,187,1%,22841,0.8%,13.6%,23081600,20664100 ( 854.8% ),3110,2773 ( 822.8% ),30506100,4188,9
2016-12-04,158,3.0%,192,1.1%,23301,0.8%,11.3%,19516100,-3565500 ( -15.4% ),2641,-469 ( -15.1% ),50022200,6829,10
2016-12-05,50,1.1%,51,0.3%,6253,0.2%,3.5%,1360000,-18156100 ( -93.0% ),218,-2423 ( -91.7% ),51382200,7047,31
2016-12-06,52,1.1%,52,0.3%,6890,0.3%,3.0%,1401000,41000 ( 3.0% ),209,-9 ( -4.1% ),52783200,7256,30
2016-12-07,7,0.1%,7,0%,783,0.0%,11.4%,507000,-894000 ( -63.8% ),89,-120 ( -57.4% ),53290200,7345,48
2016-12-08,5,0.1%,5,0%,444,0.0%,45.9%,854000,347000 ( 68.4% ),204,115 ( 129.2% ),54144200,7549,30
2016-12-09,4,0.1%,4,0%,499,0.0%,30.5%,761000,-93000 ( -10.9% ),152,-52 ( -25.5% ),54905200,7701,37
2016-12-10,10,0.2%,11,0.1%,951,0.0%,30.0%,1433000,672000 ( 88.3% ),285,133 ( 87.5% ),56338200,7986,26
2016-12-11,11,0.2%,12,0.1%,1105,0.0%,17.3%,960000,-473000 ( -33.0% ),191,-94 ( -33.0% ),57298200,8177,34
2016-12-12,2,0.0%,2,0%,286,0.0%,88.5%,1265000,305000 ( 31.8% ),253,62 ( 32.5% ),58563200,8430,20
2016-12-14,2,0.0%,2,0%,92,0.0%,70.7%,325000,325000 ( 100.0% ),65,65 ( 100.0% ),58888200,8495,56
2016-12-15,1,0.0%,1,0%,34,0.0%,100.0%,170000,-155000 ( -47.7% ),34,-31 ( -47.7% ),59058200,8529,66
2016-12-17,2,0.0%,2,0%,34,0.0%,155.9%,264500,264500 ( 100.0% ),53,53 ( 100.0% ),59322700,8582,50
2016-12-18,1,0.0%,1,0%,34,0.0%,44.1%,75000,-189500 ( -71.6% ),15,-38 ( -71.7% ),59397700,8597,69
2016-12-22,2,0.0%,2,0%,155,0.0%,21.3%,165000,165000 ( 100.0% ),33,33 ( 100.0% ),59562700,8630,57
