날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-07-16,8,0.2%,8,0%,1474,0.1%,99.2%,13158000,13158000 ( 100.0% ),1462,1462 ( 100.0% ),13158000,1462,13
2018-07-18,1,0.0%,1,0%,172,0.0%,100.0%,1548000,1548000 ( 100.0% ),172,172 ( 100.0% ),14706000,1634,38
2018-07-24,2,0.0%,2,0%,304,0.0%,65.8%,1800000,1800000 ( 100.0% ),200,200 ( 100.0% ),16506000,1834,34
2018-07-25,559,10.0%,985,5.7%,122248,4.5%,30.0%,244738500,242938500 ( 13496.6% ),36633,36433 ( 18216.5% ),261244500,38467,4
2018-07-26,587,10.5%,1127,6.4%,141131,5.1%,26.9%,263586200,18847700 ( 7.7% ),37938,1305 ( 3.6% ),524830700,76405,4
2018-07-27,650,11.5%,1323,7.4%,169261,6.1%,25.7%,334843200,71257000 ( 27.0% ),43498,5560 ( 14.7% ),859673900,119903,4
2018-07-28,733,12.7%,1817,9.7%,235677,8.1%,44.2%,809770400,474927200 ( 141.8% ),104068,60570 ( 139.2% ),1669444300,223971,4
2018-07-29,762,13.1%,1858,10.1%,242632,8.4%,39.1%,747125900,-62644500 ( -7.7% ),94962,-9106 ( -8.8% ),2416570200,318933,4
2018-07-30,682,12.3%,1676,9.4%,220402,7.9%,29.7%,458460600,-288665300 ( -38.6% ),65555,-29407 ( -31.0% ),2875030800,384488,3
2018-07-31,693,12.1%,1695,9.4%,222078,7.9%,27.5%,422903600,-35557000 ( -7.8% ),60997,-4558 ( -7.0% ),3297934400,445485,3
2018-08-01,490,8.9%,752,4.1%,91275,3.2%,43.3%,273460900,-149442700 ( -35.3% ),39482,-21515 ( -35.3% ),3571395300,484967,5
2018-08-02,477,8.5%,734,4%,88897,3.1%,41.8%,258846100,-14614800 ( -5.3% ),37195,-2287 ( -5.8% ),3830241400,522162,5
2018-08-03,467,8.5%,690,3.7%,82486,2.8%,38.5%,242379000,-16467100 ( -6.4% ),31721,-5474 ( -14.7% ),4072620400,553883,5
2018-08-04,460,8.1%,655,3.5%,78501,2.7%,43.8%,265663200,23284200 ( 9.6% ),34386,2665 ( 8.4% ),4338283600,588269,5
2018-08-05,469,8.3%,657,3.5%,78177,2.7%,43.1%,261984800,-3678400 ( -1.4% ),33691,-695 ( -2.0% ),4600268400,621960,5
2018-08-06,443,8.6%,609,3.4%,72744,2.6%,20.5%,103712900,-158271900 ( -60.4% ),14897,-18794 ( -55.8% ),4703981300,636857,5
2018-08-07,452,8.6%,622,3.5%,74870,2.7%,21.7%,112101900,8389000 ( 8.1% ),16225,1328 ( 8.9% ),4816083200,653082,5
2018-08-08,74,1.3%,78,0.4%,10414,0.4%,18.3%,13068200,-99033700 ( -88.3% ),1910,-14315 ( -88.2% ),4829151400,654992,11
2018-08-09,67,1.2%,72,0.4%,9921,0.3%,15.3%,10470900,-2597300 ( -19.9% ),1519,-391 ( -20.5% ),4839622300,656511,13
2018-08-10,72,1.2%,78,0.4%,10537,0.4%,14.6%,11374500,903600 ( 8.6% ),1543,24 ( 1.6% ),4850996800,658054,10
2018-08-11,98,1.6%,111,0.6%,13661,0.4%,34.6%,34832800,23458300 ( 206.2% ),4727,3184 ( 206.4% ),4885829600,662781,10
2018-08-12,97,1.6%,107,0.6%,13708,0.5%,37.2%,39284500,4451700 ( 12.8% ),5098,371 ( 7.8% ),4925114100,667879,9
2018-08-13,68,1.2%,74,0.4%,9497,0.3%,12.9%,8452200,-30832300 ( -78.5% ),1224,-3874 ( -76.0% ),4933566300,669103,11
2018-08-14,69,1.2%,78,0.4%,10382,0.4%,14.4%,10342200,1890000 ( 22.4% ),1490,266 ( 21.7% ),4943908500,670593,15
2018-08-15,46,0.7%,48,0.2%,6960,0.2%,41.3%,22374000,12031800 ( 116.3% ),2871,1381 ( 92.7% ),4966282500,673464,14
2018-08-16,24,0.4%,30,0.2%,4122,0.1%,12.3%,3352400,-19021600 ( -85.0% ),509,-2362 ( -82.3% ),4969634900,673973,19
2018-08-17,24,0.4%,31,0.2%,4185,0.1%,9.6%,3207900,-144500 ( -4.3% ),403,-106 ( -20.8% ),4972842800,674376,20
2018-08-18,39,0.6%,47,0.2%,6913,0.2%,15.9%,8803500,5595600 ( 174.4% ),1099,696 ( 172.7% ),4981646300,675475,16
2018-08-19,37,0.6%,47,0.2%,6802,0.2%,15.0%,8172800,-630700 ( -7.2% ),1022,-77 ( -7.0% ),4989819100,676497,16
2018-08-20,21,0.3%,23,0.1%,3166,0.1%,5.5%,1196600,-6976200 ( -85.4% ),175,-847 ( -82.9% ),4991015700,676672,26
2018-08-21,21,0.3%,22,0.1%,3094,0.1%,6.2%,1287300,90700 ( 7.6% ),191,16 ( 9.1% ),4992303000,676863,29
2018-08-22,9,0.2%,10,0.1%,1456,0.1%,11.1%,1109000,-178300 ( -13.9% ),161,-30 ( -15.7% ),4993412000,677024,35
