날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-06-05,4,0.1%,5,0%,589,0.0%,75.2%,3754500,3754500 ( 100.0% ),443,443 ( 100.0% ),3754500,443,23
2018-06-07,1,0.0%,1,0%,95,0.0%,100.0%,807500,807500 ( 100.0% ),95,95 ( 100.0% ),4562000,538,42
2018-06-08,1,0.0%,1,0%,131,0.0%,100.0%,1113500,306000 ( 37.9% ),131,36 ( 37.9% ),5675500,669,33
2018-06-11,1,0.0%,1,0%,159,0.0%,100.0%,1351500,1351500 ( 100.0% ),159,159 ( 100.0% ),7027000,828,28
2018-06-12,1,0.0%,1,0%,146,0.0%,100.0%,1168000,-183500 ( -13.6% ),146,-13 ( -8.2% ),8195000,974,33
2018-06-14,2,0.0%,2,0%,298,0.0%,100.0%,2384000,2384000 ( 100.0% ),298,298 ( 100.0% ),10579000,1272,22
2018-06-19,3,0.1%,3,0%,337,0.0%,100.0%,2359000,2359000 ( 100.0% ),337,337 ( 100.0% ),12938000,1609,20
2018-06-21,1,0.0%,1,0%,113,0.0%,100.0%,1130000,1130000 ( 100.0% ),113,113 ( 100.0% ),14068000,1722,41
2018-06-22,1,0.0%,1,0%,104,0.0%,48.1%,425000,-705000 ( -62.4% ),50,-63 ( -55.8% ),14493000,1772,49
2018-06-26,2,0.0%,2,0%,226,0.0%,95.1%,1505000,1505000 ( 100.0% ),215,215 ( 100.0% ),15998000,1987,30
2018-06-28,6,0.1%,6,0%,766,0.0%,94.6%,4790000,4790000 ( 100.0% ),725,725 ( 100.0% ),20788000,2712,17
2018-06-29,1,0.0%,1,0%,109,0.0%,100.0%,926500,-3863500 ( -80.7% ),109,-616 ( -85.0% ),21714500,2821,48
2018-07-01,1,0.0%,1,0%,100,0.0%,80.0%,680000,680000 ( 100.0% ),80,80 ( 100.0% ),22394500,2901,52
2018-07-03,4,0.1%,4,0%,679,0.0%,95.0%,4979000,4979000 ( 100.0% ),645,645 ( 100.0% ),27373500,3546,21
2018-07-05,10,0.2%,10,0.1%,1535,0.1%,79.9%,9209300,9209300 ( 100.0% ),1226,1226 ( 100.0% ),36582800,4772,11
2018-07-06,1,0.0%,1,0%,264,0.0%,75.8%,1700000,-7509300 ( -81.5% ),200,-1026 ( -83.7% ),38282800,4972,27
2018-07-09,1,0.0%,1,0%,245,0.0%,85.7%,1890000,1890000 ( 100.0% ),210,210 ( 100.0% ),40172800,5182,27
2018-07-10,7,0.1%,7,0%,1253,0.0%,88.0%,7292000,5402000 ( 285.8% ),1103,893 ( 425.2% ),47464800,6285,11
2018-07-12,5,0.1%,5,0%,719,0.0%,84.8%,4530000,4530000 ( 100.0% ),610,610 ( 100.0% ),51994800,6895,18
2018-07-15,4,0.1%,4,0%,560,0.0%,86.1%,3894000,3894000 ( 100.0% ),482,482 ( 100.0% ),55888800,7377,23
2018-07-16,1,0.0%,1,0%,112,0.0%,80.4%,450000,-3444000 ( -88.4% ),90,-392 ( -81.3% ),56338800,7467,46
2018-07-17,2,0.0%,2,0%,231,0.0%,100.0%,1962000,1512000 ( 336.0% ),231,141 ( 156.7% ),58300800,7698,31
2018-07-18,5,0.1%,7,0%,800,0.0%,15.6%,791000,-1171000 ( -59.7% ),125,-106 ( -45.9% ),59091800,7823,43
2018-07-19,167,3.0%,324,1.8%,40513,1.4%,20.2%,58901800,58110800 ( 7346.5% ),8177,8052 ( 6441.6% ),117993600,16000,7
2018-07-20,161,2.8%,316,1.7%,39314,1.3%,13.4%,43871900,-15029900 ( -25.5% ),5278,-2899 ( -35.5% ),161865500,21278,9
2018-07-21,179,2.9%,308,1.6%,38370,1.3%,21.3%,70798100,26926200 ( 61.4% ),8176,2898 ( 54.9% ),232663600,29454,8
2018-07-22,176,2.8%,301,1.6%,38889,1.3%,28.8%,95129300,24331200 ( 34.4% ),11215,3039 ( 37.2% ),327792900,40669,7
2018-07-23,162,2.9%,305,1.7%,38728,1.4%,12.4%,36334100,-58795200 ( -61.8% ),4802,-6413 ( -57.2% ),364127000,45471,8
2018-07-24,159,2.8%,316,1.8%,40588,1.4%,13.8%,41926900,5592800 ( 15.4% ),5620,818 ( 17.0% ),406053900,51091,8
2018-07-25,92,1.6%,115,0.7%,13510,0.5%,15.3%,13954700,-27972200 ( -66.7% ),2070,-3550 ( -63.2% ),420008600,53161,7
2018-07-26,104,1.9%,127,0.7%,16208,0.6%,17.5%,20835900,6881200 ( 49.3% ),2833,763 ( 36.9% ),440844500,55994,9
2018-07-27,92,1.6%,112,0.6%,13611,0.5%,14.1%,16029200,-4806700 ( -23.1% ),1925,-908 ( -32.1% ),456873700,57919,8
2018-07-28,80,1.4%,88,0.5%,10882,0.4%,18.4%,17867700,1838500 ( 11.5% ),2001,76 ( 3.9% ),474741400,59920,10
2018-07-29,69,1.2%,80,0.4%,10372,0.4%,30.1%,24967200,7099500 ( 39.7% ),3127,1126 ( 56.3% ),499708600,63047,8
2018-07-30,81,1.5%,96,0.5%,12157,0.4%,14.0%,13505500,-11461700 ( -45.9% ),1705,-1422 ( -45.5% ),513214100,64752,9
2018-07-31,81,1.4%,100,0.6%,12383,0.4%,17.4%,16159500,2654000 ( 19.7% ),2149,444 ( 26.0% ),529373600,66901,10
2018-08-01,29,0.5%,29,0.2%,3673,0.1%,15.4%,4419200,-11740300 ( -72.7% ),564,-1585 ( -73.8% ),533792800,67465,12
2018-08-02,29,0.5%,31,0.2%,3802,0.1%,24.0%,7078900,2659700 ( 60.2% ),914,350 ( 62.1% ),540871700,68379,14
2018-08-03,25,0.5%,25,0.1%,3166,0.1%,22.6%,5492200,-1586700 ( -22.4% ),717,-197 ( -21.6% ),546363900,69096,11
2018-08-04,24,0.4%,24,0.1%,2997,0.1%,31.9%,6782700,1290500 ( 23.5% ),955,238 ( 33.2% ),553146600,70051,12
2018-08-05,24,0.4%,24,0.1%,2923,0.1%,32.7%,7090600,307900 ( 4.5% ),955,0 ( 0.0% ),560237200,71006,11
2018-08-06,24,0.5%,27,0.2%,3569,0.1%,12.0%,3397400,-3693200 ( -52.1% ),430,-525 ( -55.0% ),563634600,71436,17
2018-08-07,28,0.5%,31,0.2%,4190,0.1%,15.8%,4930900,1533500 ( 45.1% ),661,231 ( 53.7% ),568565500,72097,16
2018-08-08,12,0.2%,14,0.1%,1237,0.0%,47.7%,4080900,-850000 ( -17.2% ),590,-71 ( -10.7% ),572646400,72687,15
2018-08-09,8,0.1%,9,0%,766,0.0%,40.7%,2354400,-1726500 ( -42.3% ),312,-278 ( -47.1% ),575000800,72999,19
2018-08-10,8,0.1%,9,0%,852,0.0%,33.5%,2015200,-339200 ( -14.4% ),285,-27 ( -8.7% ),577016000,73284,18
2018-08-11,6,0.1%,7,0%,689,0.0%,20.8%,1184300,-830900 ( -41.2% ),143,-142 ( -49.8% ),578200300,73427,26
2018-08-12,11,0.2%,12,0.1%,1439,0.0%,51.8%,5825000,4640700 ( 391.9% ),745,602 ( 421.0% ),584025300,74172,13
2018-08-13,9,0.2%,10,0.1%,1020,0.0%,18.3%,1509900,-4315100 ( -74.1% ),187,-558 ( -74.9% ),585535200,74359,23
2018-08-14,10,0.2%,11,0.1%,960,0.0%,24.9%,1927800,417900 ( 27.7% ),239,52 ( 27.8% ),587463000,74598,28
2018-08-15,5,0.1%,6,0%,535,0.0%,57.0%,2242600,314800 ( 16.3% ),305,66 ( 27.6% ),589705600,74903,24
2018-08-16,45,0.7%,51,0.3%,6191,0.2%,16.9%,7271700,5029100 ( 224.3% ),1048,743 ( 243.6% ),596977300,75951,16
2018-08-17,41,0.6%,44,0.2%,5335,0.2%,11.7%,4837100,-2434600 ( -33.5% ),625,-423 ( -40.4% ),601814400,76576,17
2018-08-18,28,0.4%,29,0.1%,3771,0.1%,14.9%,4115300,-721800 ( -14.9% ),562,-63 ( -10.1% ),605929700,77138,19
2018-08-19,36,0.5%,37,0.2%,4277,0.1%,18.9%,6083700,1968400 ( 47.8% ),808,246 ( 43.8% ),612013400,77946,17
2018-08-20,38,0.6%,40,0.2%,5360,0.2%,6.7%,2833000,-3250700 ( -53.4% ),360,-448 ( -55.4% ),614846400,78306,19
2018-08-21,40,0.6%,42,0.2%,5066,0.2%,9.0%,3186100,353100 ( 12.5% ),456,96 ( 26.7% ),618032500,78762,19
2018-08-22,20,0.3%,22,0.1%,2599,0.1%,9.8%,1877300,-1308800 ( -41.1% ),254,-202 ( -44.3% ),619909800,79016,26
2018-08-23,14,0.2%,14,0.1%,1645,0.1%,13.9%,1591500,-285800 ( -15.2% ),228,-26 ( -10.2% ),621501300,79244,26
2018-08-24,20,0.3%,20,0.1%,2335,0.1%,22.4%,3616000,2024500 ( 127.2% ),523,295 ( 129.4% ),625117300,79767,19
2018-08-25,10,0.2%,11,0.1%,1209,0.0%,17.9%,1851500,-1764500 ( -48.8% ),217,-306 ( -58.5% ),626968800,79984,34
2018-08-26,25,0.4%,27,0.1%,3011,0.1%,50.9%,11328200,9476700 ( 511.8% ),1534,1317 ( 606.9% ),638297000,81518,17
2018-08-27,10,0.2%,12,0.1%,1410,0.0%,4.7%,567300,-10760900 ( -95.0% ),66,-1468 ( -95.7% ),638864300,81584,43
2018-08-28,8,0.1%,9,0.1%,1032,0.0%,13.6%,1143600,576300 ( 101.6% ),140,74 ( 112.1% ),640007900,81724,34
2018-08-29,8,0.1%,8,0%,1088,0.0%,58.5%,3245500,2101900 ( 183.8% ),636,496 ( 354.3% ),643253400,82360,21
2018-08-30,7,0.1%,8,0%,1170,0.0%,56.2%,4743000,1497500 ( 46.1% ),658,22 ( 3.5% ),647996400,83018,17
2018-08-31,9,0.1%,10,0.1%,1128,0.0%,76.6%,5051000,308000 ( 6.5% ),864,206 ( 31.3% ),653047400,83882,17
2018-09-01,3,0.0%,3,0%,242,0.0%,37.6%,658000,-4393000 ( -87.0% ),91,-773 ( -89.5% ),653705400,83973,52
2018-09-02,2,0.0%,3,0%,227,0.0%,24.2%,354000,-304000 ( -46.2% ),55,-36 ( -39.6% ),654059400,84028,58
2018-09-03,4,0.1%,4,0%,295,0.0%,6.1%,141000,-213000 ( -60.2% ),18,-37 ( -67.3% ),654200400,84046,61
2018-09-04,3,0.1%,3,0%,317,0.0%,3.8%,74000,-67000 ( -47.5% ),12,-6 ( -33.3% ),654274400,84058,76
2018-09-05,4,0.1%,4,0%,326,0.0%,16.6%,322500,248500 ( 335.8% ),54,42 ( 350.0% ),654596900,84112,50
2018-09-06,1,0.0%,2,0%,180,0.0%,2.8%,33000,-289500 ( -89.8% ),5,-49 ( -90.7% ),654629900,84117,89
2018-09-07,2,0.0%,2,0%,122,0.0%,2.5%,22000,-11000 ( -33.3% ),3,-2 ( -40.0% ),654651900,84120,120
2018-09-08,5,0.1%,5,0%,423,0.0%,60.0%,1125000,1103000 ( 5013.6% ),254,251 ( 8366.7% ),655776900,84374,33
2018-09-09,2,0.0%,2,0%,142,0.0%,7.0%,72000,-1053000 ( -93.6% ),10,-244 ( -96.1% ),655848900,84384,101
2018-09-10,1,0.0%,1,0%,70,0.0%,8.6%,42000,-30000 ( -41.7% ),6,-4 ( -40.0% ),655890900,84390,88
2018-09-11,1,0.0%,1,0%,118,0.0%,100.0%,622000,580000 ( 1381.0% ),118,112 ( 1866.7% ),656512900,84508,39
2018-09-13,1,0.0%,1,0%,90,0.0%,1.1%,6000,6000 ( 100.0% ),1,1 ( 100.0% ),656518900,84509,123
2018-09-14,2,0.0%,2,0%,95,0.0%,35.8%,205000,199000 ( 3316.7% ),34,33 ( 3300.0% ),656723900,84543,77
2018-09-15,1,0.0%,1,0%,47,0.0%,100.0%,280000,75000 ( 36.6% ),47,13 ( 38.2% ),657003900,84590,74
2018-09-16,4,0.1%,4,0%,381,0.0%,62.2%,1733000,1453000 ( 518.9% ),237,190 ( 404.3% ),658736900,84827,31
2018-09-17,1,0.0%,1,0%,90,0.0%,1.1%,9000,-1724000 ( -99.5% ),1,-236 ( -99.6% ),658745900,84828,105
2018-09-18,1,0.0%,1,0%,52,0.0%,7.7%,27000,18000 ( 200.0% ),4,3 ( 300.0% ),658772900,84832,102
2018-09-20,1,0.0%,1,0%,156,0.0%,64.1%,600000,600000 ( 100.0% ),100,100 ( 100.0% ),659372900,84932,41
2018-09-22,2,0.0%,2,0%,142,0.0%,4.9%,63000,63000 ( 100.0% ),7,7 ( 100.0% ),659435900,84939,93
2018-09-23,1,0.0%,1,0%,52,0.0%,23.1%,96000,33000 ( 52.4% ),12,5 ( 71.4% ),659531900,84951,67
2018-09-24,2,0.0%,5,0%,732,0.0%,5.9%,260000,164000 ( 170.8% ),43,31 ( 258.3% ),659791900,84994,48
2018-09-25,2,0.0%,5,0%,732,0.0%,7.5%,198000,-62000 ( -23.8% ),55,12 ( 27.9% ),659989900,85049,47
2018-09-26,2,0.0%,5,0%,770,0.0%,6.5%,170000,-28000 ( -14.1% ),50,-5 ( -9.1% ),660159900,85099,51
2018-09-27,1,0.0%,4,0%,680,0.0%,8.7%,118000,-52000 ( -30.6% ),59,9 ( 18.0% ),660277900,85158,49
2018-09-28,2,0.0%,2,0%,190,0.0%,48.4%,783500,665500 ( 564.0% ),92,33 ( 55.9% ),661061400,85250,43
2018-09-29,1,0.0%,1,0%,52,0.0%,7.7%,36000,-747500 ( -95.4% ),4,-88 ( -95.7% ),661097400,85254,95
2018-09-30,1,0.0%,1,0%,142,0.0%,70.4%,600000,564000 ( 1566.7% ),100,96 ( 2400.0% ),661697400,85354,40
2018-10-03,1,0.0%,1,0%,90,0.0%,13.3%,108000,108000 ( 100.0% ),12,12 ( 100.0% ),661805400,85366,69
2018-10-05,1,0.0%,1,0%,118,0.0%,100.0%,944000,944000 ( 100.0% ),118,118 ( 100.0% ),662749400,85484,27
2018-10-06,2,0.0%,2,0%,183,0.0%,55.7%,632000,-312000 ( -33.1% ),102,-16 ( -13.6% ),663381400,85586,34
2018-10-07,1,0.0%,1,0%,148,0.0%,100.0%,1258000,626000 ( 99.1% ),148,46 ( 45.1% ),664639400,85734,31
2018-10-08,2,0.0%,2,0%,232,0.0%,62.9%,1160000,-98000 ( -7.8% ),146,-2 ( -1.4% ),665799400,85880,32
2018-10-09,1,0.0%,1,0%,52,0.0%,13.5%,63000,-1097000 ( -94.6% ),7,-139 ( -95.2% ),665862400,85887,67
2018-10-10,1,0.0%,1,0%,52,0.0%,1.9%,6000,-57000 ( -90.5% ),1,-6 ( -85.7% ),665868400,85888,89
2018-10-14,1,0.0%,1,0%,167,0.0%,71.9%,720000,720000 ( 100.0% ),120,120 ( 100.0% ),666588400,86008,34
2018-10-16,1,0.0%,1,0%,52,0.0%,1.9%,6000,6000 ( 100.0% ),1,1 ( 100.0% ),666594400,86009,92
