날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-02-17,6,0.1%,8,0%,1901,0.1%,98.6%,12468000,12468000 ( 100.0% ),1875,1875 ( 100.0% ),12468000,1875,20
2017-02-20,1,0.0%,3,0%,144,0.0%,100.0%,1152000,1152000 ( 100.0% ),144,144 ( 100.0% ),13620000,2019,40
2017-02-21,25,0.4%,32,0.2%,5993,0.2%,57.3%,29538600,28386600 ( 2464.1% ),3434,3290 ( 2284.7% ),43158600,5453,12
2017-02-22,554,9.1%,2402,13.7%,415194,14.4%,15.8%,395873500,366334900 ( 1240.2% ),65584,62150 ( 1809.8% ),439032100,71037,3
2017-02-23,531,8.6%,2275,12.9%,387102,13.4%,9.3%,265294500,-130579000 ( -33.0% ),35835,-29749 ( -45.4% ),704326600,106872,3
2017-02-24,546,8.5%,2219,12.4%,370423,12.6%,10.8%,333300821,68006321 ( 25.6% ),39873,4038 ( 11.3% ),1037627421,146745,3
2017-02-25,570,8.3%,1988,10.7%,311482,10.2%,19.4%,508710800,175409979 ( 52.6% ),60277,20404 ( 51.2% ),1546338221,207022,4
2017-02-26,576,8.5%,1880,10.3%,290973,9.8%,19.0%,465403700,-43307100 ( -8.5% ),55284,-4993 ( -8.3% ),2011741921,262306,4
2017-02-27,507,8.2%,1826,10.6%,279426,9.8%,9.2%,188968100,-276435600 ( -59.4% ),25585,-29699 ( -53.7% ),2200710021,287891,5
2017-02-28,541,7.6%,1435,8.2%,214018,7.5%,11.2%,173179600,-15788500 ( -8.4% ),24027,-1558 ( -6.1% ),2373889621,311918,6
2017-03-01,212,3.4%,310,1.8%,43414,1.5%,18.8%,68028400,-105151200 ( -60.7% ),8161,-15866 ( -66.0% ),2441918021,320079,12
2017-03-02,225,4.0%,326,2.1%,45591,1.7%,8.0%,25934500,-42093900 ( -61.9% ),3661,-4500 ( -55.1% ),2467852521,323740,12
2017-03-03,227,3.9%,328,2%,46062,1.7%,9.4%,36081600,10147100 ( 39.1% ),4312,651 ( 17.8% ),2503934121,328052,11
2017-03-04,211,3.3%,291,1.7%,40247,1.4%,14.2%,47812100,11730500 ( 32.5% ),5727,1415 ( 32.8% ),2551746221,333779,13
2017-03-05,208,3.3%,282,1.7%,39524,1.4%,12.4%,40825500,-6986600 ( -14.6% ),4884,-843 ( -14.7% ),2592571721,338663,13
2017-03-06,217,4.0%,313,2.1%,44088,1.8%,6.7%,20916400,-19909100 ( -48.8% ),2937,-1947 ( -39.9% ),2613488121,341600,11
2017-03-07,227,4.1%,327,2.2%,45742,1.8%,6.3%,20235200,-681200 ( -3.3% ),2869,-68 ( -2.3% ),2633723321,344469,12
2017-03-08,88,1.7%,125,0.8%,16229,0.6%,11.0%,13034500,-7200700 ( -35.6% ),1789,-1080 ( -37.6% ),2646757821,346258,13
2017-03-09,37,0.7%,44,0.3%,7024,0.3%,9.7%,5247700,-7786800 ( -59.7% ),682,-1107 ( -61.9% ),2652005521,346940,18
2017-03-10,44,0.8%,54,0.3%,8507,0.3%,6.9%,4806500,-441200 ( -8.4% ),586,-96 ( -14.1% ),2656812021,347526,22
2017-03-11,46,0.7%,55,0.3%,8186,0.3%,13.4%,8903500,4097000 ( 85.2% ),1093,507 ( 86.5% ),2665715521,348619,21
2017-03-12,41,0.7%,49,0.3%,7058,0.3%,12.2%,7167000,-1736500 ( -19.5% ),861,-232 ( -21.2% ),2672882521,349480,21
2017-03-13,41,0.8%,54,0.4%,8529,0.3%,5.4%,3362000,-3805000 ( -53.1% ),459,-402 ( -46.7% ),2676244521,349939,21
2017-03-14,36,0.7%,50,0.3%,7911,0.3%,4.6%,2606500,-755500 ( -22.5% ),367,-92 ( -20.0% ),2678851021,350306,29
2017-03-15,42,0.8%,54,0.4%,8265,0.3%,4.9%,2880000,273500 ( 10.5% ),409,42 ( 11.4% ),2681731021,350715,31
2017-03-16,2,0.0%,2,0%,257,0.0%,6.6%,122000,-2758000 ( -95.8% ),17,-392 ( -95.8% ),2681853021,350732,67
2017-03-17,2,0.0%,2,0%,257,0.0%,8.9%,158000,36000 ( 29.5% ),23,6 ( 35.3% ),2682011021,350755,64
2017-03-18,1,0.0%,1,0%,54,0.0%,31.5%,78000,-80000 ( -50.6% ),17,-6 ( -26.1% ),2682089021,350772,78
2017-03-19,1,0.0%,1,0%,54,0.0%,66.7%,217000,139000 ( 178.2% ),36,19 ( 111.8% ),2682306021,350808,64
2017-03-20,2,0.0%,2,0%,174,0.0%,24.7%,242000,25000 ( 11.5% ),43,7 ( 19.4% ),2682548021,350851,51
2017-03-21,3,0.1%,3,0%,284,0.0%,50.0%,982000,740000 ( 305.8% ),142,99 ( 230.2% ),2683530021,350993,41
2017-03-22,2,0.0%,2,0%,377,0.0%,6.1%,169000,-813000 ( -82.8% ),23,-119 ( -83.8% ),2683699021,351016,73
2017-04-01,1,0.0%,1,0%,268,0.0%,97.0%,1820000,1820000 ( 100.0% ),260,260 ( 100.0% ),2685519021,351276,35
2017-11-19,1,0.0%,1,0%,85,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),2685519021,351276,156
2017-11-22,1,0.0%,1,0%,85,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),2685519021,351276,148
