날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-05-02,1,0.0%,1,0%,180,0.0%,100.0%,1440000,1440000 ( 100.0% ),180,180 ( 100.0% ),1440000,180,30
2018-05-09,1,0.0%,1,0%,118,0.0%,37.3%,704000,704000 ( 100.0% ),44,44 ( 100.0% ),2144000,224,52
2018-05-10,98,2.2%,171,1.1%,19537,0.8%,5.4%,8786000,8082000 ( 1148.0% ),1059,1015 ( 2306.8% ),10930000,1283,9
2018-05-11,94,2.1%,164,1%,17793,0.7%,5.1%,7768000,-1018000 ( -11.6% ),915,-144 ( -13.6% ),18698000,2198,11
2018-05-12,98,1.9%,157,0.9%,16637,0.6%,9.6%,13956900,6188900 ( 79.7% ),1595,680 ( 74.3% ),32654900,3793,14
2018-05-13,88,1.7%,140,0.8%,15065,0.6%,6.8%,8895700,-5061200 ( -36.3% ),1024,-571 ( -35.8% ),41550600,4817,15
2018-05-14,81,1.9%,144,1%,15855,0.7%,4.0%,4789500,-4106200 ( -46.2% ),632,-392 ( -38.3% ),46340100,5449,10
2018-05-15,88,2.0%,147,1%,16454,0.7%,3.9%,4880200,90700 ( 1.9% ),646,14 ( 2.2% ),51220300,6095,15
2018-05-16,42,0.8%,56,0.3%,6533,0.3%,4.4%,2170900,-2709300 ( -55.5% ),286,-360 ( -55.7% ),53391200,6381,22
2018-05-17,9,0.2%,9,0.1%,966,0.0%,5.7%,374500,-1796400 ( -82.7% ),55,-231 ( -80.8% ),53765700,6436,48
2018-05-18,8,0.1%,9,0.1%,883,0.0%,7.2%,614800,240300 ( 64.2% ),64,9 ( 16.4% ),54380500,6500,46
2018-05-19,9,0.2%,9,0%,1080,0.0%,14.7%,1215500,600700 ( 97.7% ),159,95 ( 148.4% ),55596000,6659,31
2018-05-20,8,0.1%,8,0%,861,0.0%,10.5%,702500,-513000 ( -42.2% ),90,-69 ( -43.4% ),56298500,6749,39
2018-05-21,5,0.1%,5,0%,714,0.0%,11.1%,540300,-162200 ( -23.1% ),79,-11 ( -12.2% ),56838800,6828,42
2018-05-22,5,0.1%,5,0%,640,0.0%,14.2%,651800,111500 ( 20.6% ),91,12 ( 15.2% ),57490600,6919,39
2018-05-23,4,0.1%,5,0%,533,0.0%,8.6%,346000,-305800 ( -46.9% ),46,-45 ( -49.5% ),57836600,6965,47
2018-05-24,1,0.0%,1,0%,212,0.0%,8.0%,105000,-241000 ( -69.7% ),17,-29 ( -63.0% ),57941600,6982,71
2018-05-25,2,0.0%,2,0%,103,0.0%,1.0%,9000,-96000 ( -91.4% ),1,-16 ( -94.1% ),57950600,6983,99
2018-05-26,1,0.0%,1,0%,144,0.0%,2.1%,21000,12000 ( 133.3% ),3,2 ( 200.0% ),57971600,6986,93
2018-05-27,1,0.0%,1,0%,212,0.0%,14.6%,155000,134000 ( 638.1% ),31,28 ( 933.3% ),58126600,7017,56
2018-05-28,1,0.0%,1,0%,212,0.0%,27.8%,362000,207000 ( 133.5% ),59,28 ( 90.3% ),58488600,7076,43
2018-05-29,2,0.0%,2,0%,177,0.0%,2.3%,26000,-336000 ( -92.8% ),4,-55 ( -93.2% ),58514600,7080,78
2018-05-30,1,0.0%,1,0%,52,0.0%,11.5%,42000,16000 ( 61.5% ),6,2 ( 50.0% ),58556600,7086,79
2018-05-31,1,0.0%,1,0%,144,0.0%,0.7%,5000,-37000 ( -88.1% ),1,-5 ( -83.3% ),58561600,7087,105
2019-11-18,4,0.1%,4,0%,166,0.0%,102.4%,850000,850000 ( 100.0% ),170,170 ( 100.0% ),59411600,7257,49
2019-11-19,2,0.0%,2,0%,133,0.0%,100.0%,665000,-185000 ( -21.8% ),133,-37 ( -21.8% ),60076600,7390,65
2019-11-20,4,0.1%,4,0%,211,0.0%,100.0%,1055000,390000 ( 58.6% ),211,78 ( 58.6% ),61131600,7601,44
