날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-11-24,10,0.2%,10,0.1%,2762,0.1%,99.3%,21952000,21952000 ( 100.0% ),2744,2744 ( 100.0% ),21952000,2744,11
2016-11-26,4,0.1%,4,0%,667,0.0%,94.9%,6330000,6330000 ( 100.0% ),633,633 ( 100.0% ),28282000,3377,24
2016-12-01,1,0.0%,1,0%,214,0.0%,100.0%,1712000,1712000 ( 100.0% ),214,214 ( 100.0% ),29994000,3591,39
2016-12-05,1,0.0%,1,0%,214,0.0%,100.0%,1712000,1712000 ( 100.0% ),214,214 ( 100.0% ),31706000,3805,33
2016-12-07,365,7.6%,591,3.8%,78341,3.0%,8.4%,45405200,45405200 ( 100.0% ),6569,6569 ( 100.0% ),77111200,10374,7
2016-12-08,391,7.5%,611,3.9%,79996,3.1%,11.3%,61035100,15629900 ( 34.4% ),9074,2505 ( 38.1% ),138146300,19448,8
2016-12-09,411,7.8%,663,4.1%,86923,3.3%,13.5%,82793000,21757900 ( 35.6% ),11730,2656 ( 29.3% ),220939300,31178,7
2016-12-10,510,9.2%,1075,6.3%,150048,5.4%,43.0%,504776200,421983200 ( 509.7% ),64485,52755 ( 449.7% ),725715500,95663,4
2016-12-11,538,9.7%,1135,6.8%,156837,5.8%,45.2%,562158500,57382300 ( 11.4% ),70966,6481 ( 10.1% ),1287874000,166629,4
2016-12-12,376,7.5%,590,3.8%,80551,3.2%,8.5%,47832800,-514325700 ( -91.5% ),6834,-64132 ( -90.4% ),1335706800,173463,7
2016-12-13,397,7.6%,620,4%,83502,3.3%,11.2%,61370000,13537200 ( 28.3% ),9368,2534 ( 37.1% ),1397076800,182831,6
2016-12-14,274,5.4%,386,2.4%,50689,1.9%,12.8%,43420900,-17949100 ( -29.2% ),6478,-2890 ( -30.8% ),1440497700,189309,8
2016-12-15,259,4.9%,324,2%,42682,1.6%,15.2%,40641400,-2779500 ( -6.4% ),6480,2 ( 0.0% ),1481139100,195789,8
2016-12-16,290,5.4%,357,2.2%,46820,1.7%,16.8%,52872900,12231500 ( 30.1% ),7874,1394 ( 21.5% ),1534012000,203663,7
2016-12-17,473,8.0%,834,4.8%,114650,4.1%,36.9%,329489200,276616300 ( 523.2% ),42250,34376 ( 436.6% ),1863501200,245913,5
2016-12-18,475,8.1%,855,5.1%,117197,4.3%,36.0%,334986700,5497500 ( 1.7% ),42230,-20 ( 0.0% ),2198487900,288143,5
2016-12-19,251,5.0%,328,2.1%,42703,1.7%,8.5%,24911600,-310075100 ( -92.6% ),3624,-38606 ( -91.4% ),2223399500,291767,9
2016-12-20,270,5.1%,349,2.2%,44967,1.8%,14.0%,39594500,14682900 ( 58.9% ),6276,2652 ( 73.2% ),2262994000,298043,7
2016-12-21,86,1.7%,89,0.6%,11437,0.5%,19.8%,12150600,-27443900 ( -69.3% ),2264,-4012 ( -63.9% ),2275144600,300307,10
2016-12-22,46,0.9%,51,0.3%,6518,0.3%,26.6%,9329100,-2821500 ( -23.2% ),1732,-532 ( -23.5% ),2284473700,302039,10
2016-12-23,57,1.1%,60,0.4%,7957,0.3%,24.8%,10959500,1630400 ( 17.5% ),1977,245 ( 14.1% ),2295433200,304016,10
2016-12-24,135,2.3%,159,0.9%,21738,0.8%,32.6%,55568000,44608500 ( 407.0% ),7087,5110 ( 258.5% ),2351001200,311103,8
2016-12-25,136,2.3%,168,1%,23674,0.8%,35.4%,66356700,10788700 ( 19.4% ),8370,1283 ( 18.1% ),2417357900,319473,8
2016-12-26,40,0.8%,45,0.3%,6255,0.2%,12.9%,5595500,-60761200 ( -91.6% ),809,-7561 ( -90.3% ),2422953400,320282,15
2016-12-27,44,0.8%,49,0.3%,6599,0.3%,20.6%,8956100,3360600 ( 60.1% ),1358,549 ( 67.9% ),2431909500,321640,14
2016-12-28,5,0.1%,5,0%,691,0.0%,17.5%,798500,-8157600 ( -91.1% ),121,-1237 ( -91.1% ),2432708000,321761,42
2016-12-29,8,0.2%,8,0%,924,0.0%,10.9%,695000,-103500 ( -13.0% ),101,-20 ( -16.5% ),2433403000,321862,48
2016-12-30,9,0.2%,9,0.1%,893,0.0%,16.8%,969000,274000 ( 39.4% ),150,49 ( 48.5% ),2434372000,322012,36
2016-12-31,10,0.2%,11,0.1%,1145,0.0%,29.9%,2583700,1614700 ( 166.6% ),342,192 ( 128.0% ),2436955700,322354,24
2017-01-01,9,0.2%,11,0.1%,1195,0.0%,18.0%,1607500,-976200 ( -37.8% ),215,-127 ( -37.1% ),2438563200,322569,25
2017-01-02,9,0.2%,9,0.1%,1049,0.0%,13.4%,944000,-663500 ( -41.3% ),141,-74 ( -34.4% ),2439507200,322710,32
2017-01-03,7,0.1%,7,0%,845,0.0%,16.6%,922500,-21500 ( -2.3% ),140,-1 ( -0.7% ),2440429700,322850,41
2017-01-04,1,0.0%,1,0%,62,0.0%,51.6%,211000,-711500 ( -77.1% ),32,-108 ( -77.1% ),2440640700,322882,53
2017-01-05,3,0.0%,3,0%,489,0.0%,3.3%,112000,-99000 ( -46.9% ),16,-16 ( -50.0% ),2440752700,322898,60
2017-01-06,3,0.0%,3,0%,489,0.0%,2.9%,95000,-17000 ( -15.2% ),14,-2 ( -12.5% ),2440847700,322912,62
2017-01-07,2,0.0%,2,0%,214,0.0%,5.1%,100000,5000 ( 5.3% ),11,-3 ( -21.4% ),2440947700,322923,64
2017-01-08,1,0.0%,1,0%,86,0.0%,2.3%,18500,-81500 ( -81.5% ),2,-9 ( -81.8% ),2440966200,322925,82
2017-01-09,2,0.0%,2,0%,535,0.0%,6.5%,177000,158500 ( 856.8% ),35,33 ( 1650.0% ),2441143200,322960,47
2017-01-10,4,0.1%,4,0%,431,0.0%,13.9%,322000,145000 ( 81.9% ),60,25 ( 71.4% ),2441465200,323020,54
2017-01-11,2,0.0%,2,0%,204,0.0%,28.4%,308000,-14000 ( -4.3% ),58,-2 ( -3.3% ),2441773200,323078,54
