날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-02-14,1,0.0%,1,0%,32,0.0%,100.0%,288000,288000 ( 100.0% ),32,32 ( 100.0% ),288000,32,66
2017-03-14,3,0.1%,3,0%,503,0.0%,100.0%,3873000,3873000 ( 100.0% ),503,503 ( 100.0% ),4161000,535,22
2017-03-16,3,0.1%,3,0%,783,0.0%,76.8%,4808000,4808000 ( 100.0% ),601,601 ( 100.0% ),8969000,1136,18
2017-03-20,1,0.0%,1,0%,360,0.0%,95.0%,2736000,2736000 ( 100.0% ),342,342 ( 100.0% ),11705000,1478,21
2017-03-21,1,0.0%,1,0%,151,0.0%,100.0%,1208000,-1528000 ( -55.8% ),151,-191 ( -55.8% ),12913000,1629,38
2017-03-22,149,2.6%,601,4%,87337,3.5%,4.2%,26823000,25615000 ( 2120.4% ),3707,3556 ( 2355.0% ),39736000,5336,7
2017-03-23,137,2.8%,487,3.1%,68293,2.6%,3.0%,14873500,-11949500 ( -44.5% ),2049,-1658 ( -44.7% ),54609500,7385,11
2017-03-24,140,2.8%,500,3.1%,69653,2.6%,4.2%,24466500,9593000 ( 64.5% ),2927,878 ( 42.9% ),79076000,10312,9
2017-03-25,153,2.8%,370,2.1%,46610,1.7%,8.5%,33075500,8609000 ( 35.2% ),3950,1023 ( 35.0% ),112151500,14262,10
2017-03-26,146,2.6%,345,2%,43381,1.6%,8.7%,32026000,-1049500 ( -3.2% ),3790,-160 ( -4.1% ),144177500,18052,11
2017-03-27,135,2.8%,338,2.2%,47680,1.9%,3.3%,11449500,-20576500 ( -64.2% ),1564,-2226 ( -58.7% ),155627000,19616,10
2017-03-28,141,2.8%,338,2.2%,48633,1.9%,3.9%,14320000,2870500 ( 25.1% ),1894,330 ( 21.1% ),169947000,21510,9
2017-03-29,63,1.2%,85,0.5%,11666,0.4%,2.5%,1870000,-12450000 ( -86.9% ),297,-1597 ( -84.3% ),171817000,21807,30
2017-03-30,58,1.1%,76,0.5%,10947,0.4%,2.2%,1684000,-186000 ( -9.9% ),239,-58 ( -19.5% ),173501000,22046,34
2017-03-31,60,1.2%,76,0.5%,10043,0.4%,2.8%,2358500,674500 ( 40.1% ),286,47 ( 19.7% ),175859500,22332,28
2017-04-01,52,0.9%,57,0.3%,8335,0.3%,3.3%,2213500,-145000 ( -6.1% ),275,-11 ( -3.8% ),178073000,22607,34
2017-04-02,49,0.9%,55,0.3%,7686,0.3%,3.3%,2145000,-68500 ( -3.1% ),256,-19 ( -6.9% ),180218000,22863,32
2017-04-03,41,0.8%,49,0.3%,7049,0.3%,1.9%,929000,-1216000 ( -56.7% ),136,-120 ( -46.9% ),181147000,22999,37
2017-04-04,52,1.0%,60,0.4%,8781,0.3%,2.1%,1272500,343500 ( 37.0% ),181,45 ( 33.1% ),182419500,23180,35
2017-04-05,5,0.1%,6,0%,783,0.0%,3.1%,187000,-1085500 ( -85.3% ),24,-157 ( -86.7% ),182606500,23204,56
2017-04-06,2,0.0%,2,0%,340,0.0%,2.9%,80000,-107000 ( -57.2% ),10,-14 ( -58.3% ),182686500,23214,85
2017-04-07,4,0.1%,4,0%,632,0.0%,3.0%,154000,74000 ( 92.5% ),19,9 ( 90.0% ),182840500,23233,70
2017-04-08,6,0.1%,6,0%,968,0.0%,4.1%,336000,182000 ( 118.2% ),40,21 ( 110.5% ),183176500,23273,67
2017-04-09,4,0.1%,4,0%,629,0.0%,3.2%,168000,-168000 ( -50.0% ),20,-20 ( -50.0% ),183344500,23293,68
2017-04-10,4,0.1%,4,0%,517,0.0%,2.7%,100000,-68000 ( -40.5% ),14,-6 ( -30.0% ),183444500,23307,66
2017-04-11,5,0.1%,5,0%,617,0.0%,3.9%,189000,89000 ( 89.0% ),24,10 ( 71.4% ),183633500,23331,65
2017-04-12,1,0.0%,1,0%,176,0.0%,2.8%,30000,-159000 ( -84.1% ),5,-19 ( -79.2% ),183663500,23336,83
2017-04-24,1,0.0%,2,0%,282,0.0%,0.7%,18000,18000 ( 100.0% ),2,2 ( 100.0% ),183681500,23338,102
2017-06-22,9,0.2%,9,0.1%,2060,0.1%,79.9%,13160000,13160000 ( 100.0% ),1645,1645 ( 100.0% ),196841500,24983,11
