날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-05-31,1,0.0%,1,0%,149,0.0%,100.0%,1192000,1192000 ( 100.0% ),149,149 ( 100.0% ),1192000,149,40
2018-06-05,24,0.4%,41,0.2%,5593,0.2%,25.6%,9305500,9305500 ( 100.0% ),1433,1433 ( 100.0% ),10497500,1582,14
2018-06-06,175,3.3%,734,4%,95008,3.3%,27.1%,230819900,221514400 ( 2380.5% ),25708,24275 ( 1694.0% ),241317400,27290,5
2018-06-07,182,3.8%,747,4.4%,99690,3.7%,11.3%,91634600,-139185300 ( -60.3% ),11274,-14434 ( -56.1% ),332952000,38564,4
2018-06-08,182,3.7%,762,4.4%,100114,3.7%,14.0%,128561000,36926400 ( 40.3% ),14009,2735 ( 24.3% ),461513000,52573,4
2018-06-09,213,3.9%,760,4.1%,98355,3.4%,28.7%,260019100,131458100 ( 102.3% ),28274,14265 ( 101.8% ),721532100,80847,3
2018-06-10,213,4.0%,751,4.1%,97207,3.4%,26.3%,237035400,-22983700 ( -8.8% ),25607,-2667 ( -9.4% ),958567500,106454,4
2018-06-11,185,4.0%,769,4.7%,101983,3.9%,11.0%,91131900,-145903500 ( -61.6% ),11246,-14361 ( -56.1% ),1049699400,117700,3
2018-06-12,199,4.1%,806,4.8%,106704,4.0%,13.9%,120663800,29531900 ( 32.4% ),14812,3566 ( 31.7% ),1170363200,132512,4
2018-06-13,170,3.3%,500,2.7%,58898,2.0%,24.8%,134118600,13454800 ( 11.2% ),14597,-215 ( -1.5% ),1304481800,147109,6
2018-06-14,165,3.7%,521,3%,68130,2.5%,7.6%,42305400,-91813200 ( -68.5% ),5203,-9394 ( -64.4% ),1346787200,152312,5
2018-06-15,167,3.7%,523,2.9%,65491,2.3%,10.0%,59574000,17268600 ( 40.8% ),6521,1318 ( 25.3% ),1406361200,158833,5
2018-06-16,158,3.0%,472,2.5%,57027,1.9%,19.7%,104308700,44734700 ( 75.1% ),11211,4690 ( 71.9% ),1510669900,170044,5
2018-06-17,159,3.1%,446,2.4%,53904,1.8%,17.5%,87620600,-16688100 ( -16.0% ),9457,-1754 ( -15.6% ),1598290500,179501,5
2018-06-18,162,3.7%,455,2.8%,60476,2.3%,6.3%,30798700,-56821900 ( -64.8% ),3826,-5631 ( -59.5% ),1629089200,183327,5
2018-06-19,165,3.7%,466,2.8%,61747,2.3%,7.3%,36707900,5909200 ( 19.2% ),4520,694 ( 18.1% ),1665797100,187847,5
2018-06-20,137,3.1%,384,2.3%,52456,1.9%,7.7%,33471200,-3236700 ( -8.8% ),4056,-464 ( -10.3% ),1699268300,191903,6
2018-06-21,115,2.1%,261,1.5%,36724,1.3%,10.5%,32036500,-1434700 ( -4.3% ),3848,-208 ( -5.1% ),1731304800,195751,9
2018-06-22,116,2.1%,279,1.6%,38948,1.4%,11.9%,43581800,11545300 ( 36.0% ),4649,801 ( 20.8% ),1774886600,200400,7
2018-06-23,129,2.1%,277,1.5%,37198,1.3%,18.5%,64667300,21085500 ( 48.4% ),6888,2239 ( 48.2% ),1839553900,207288,7
2018-06-24,127,2.1%,279,1.5%,36778,1.3%,17.2%,59911900,-4755400 ( -7.4% ),6308,-580 ( -8.4% ),1899465800,213596,8
2018-06-25,115,2.2%,289,1.7%,41969,1.6%,7.8%,27289200,-32622700 ( -54.5% ),3277,-3031 ( -48.1% ),1926755000,216873,8
2018-06-26,122,2.2%,295,1.8%,43865,1.6%,8.0%,29039200,1750000 ( 6.4% ),3516,239 ( 7.3% ),1955794200,220389,9
2018-06-27,61,1.1%,113,0.7%,15556,0.6%,16.6%,16134400,-12904800 ( -44.4% ),2586,-930 ( -26.5% ),1971928600,222975,12
2018-06-28,59,1.1%,116,0.7%,15850,0.6%,9.4%,12238200,-3896200 ( -24.1% ),1485,-1101 ( -42.6% ),1984166800,224460,12
2018-06-29,59,1.1%,115,0.6%,15925,0.6%,11.1%,16685400,4447200 ( 36.3% ),1766,281 ( 18.9% ),2000852200,226226,11
2018-06-30,62,1.0%,112,0.6%,15214,0.5%,21.5%,30853700,14168300 ( 84.9% ),3269,1503 ( 85.1% ),2031705900,229495,11
2018-07-01,59,1.0%,103,0.6%,14023,0.5%,16.6%,22244400,-8609300 ( -27.9% ),2326,-943 ( -28.8% ),2053950300,231821,12
2018-07-02,56,1.1%,112,0.7%,16930,0.6%,8.5%,11921200,-10323200 ( -46.4% ),1444,-882 ( -37.9% ),2065871500,233265,10
2018-07-03,61,1.1%,118,0.7%,18047,0.7%,7.4%,11242300,-678900 ( -5.7% ),1331,-113 ( -7.8% ),2077113800,234596,13
2018-07-04,17,0.3%,25,0.1%,3671,0.1%,13.1%,3749200,-7493100 ( -66.7% ),482,-849 ( -63.8% ),2080863000,235078,16
2018-07-05,22,0.4%,29,0.2%,4186,0.1%,10.4%,3627700,-121500 ( -3.2% ),435,-47 ( -9.8% ),2084490700,235513,18
2018-07-06,12,0.2%,22,0.1%,2976,0.1%,15.5%,4279300,651600 ( 18.0% ),460,25 ( 5.7% ),2088770000,235973,17
2018-07-07,17,0.3%,24,0.1%,2935,0.1%,23.1%,6316900,2037600 ( 47.6% ),677,217 ( 47.2% ),2095086900,236650,15
2018-07-08,14,0.3%,19,0.1%,2309,0.1%,22.4%,4737000,-1579900 ( -25.0% ),518,-159 ( -23.5% ),2099823900,237168,17
2018-07-09,14,0.3%,25,0.1%,3513,0.1%,9.8%,2975600,-1761400 ( -37.2% ),346,-172 ( -33.2% ),2102799500,237514,16
2018-07-10,16,0.3%,26,0.1%,3556,0.1%,9.9%,2919900,-55700 ( -1.9% ),353,7 ( 2.0% ),2105719400,237867,19
2018-07-11,6,0.1%,11,0.1%,1426,0.0%,28.8%,3126400,206500 ( 7.1% ),411,58 ( 16.4% ),2108845800,238278,21
2018-07-12,7,0.1%,12,0.1%,1437,0.1%,9.0%,1084300,-2042100 ( -65.3% ),130,-281 ( -68.4% ),2109930100,238408,44
2018-07-13,8,0.2%,15,0.1%,1721,0.1%,16.4%,2674800,1590500 ( 146.7% ),282,152 ( 116.9% ),2112604900,238690,29
2018-07-14,8,0.1%,14,0.1%,1687,0.1%,26.4%,4204100,1529300 ( 57.2% ),445,163 ( 57.8% ),2116809000,239135,28
2018-07-15,7,0.1%,12,0.1%,1375,0.0%,17.2%,2283800,-1920300 ( -45.7% ),236,-209 ( -47.0% ),2119092800,239371,38
2018-07-16,7,0.1%,11,0.1%,1434,0.1%,10.0%,1182700,-1101100 ( -48.2% ),143,-93 ( -39.4% ),2120275500,239514,41
2018-07-17,9,0.2%,13,0.1%,1723,0.1%,13.4%,1930400,747700 ( 63.2% ),231,88 ( 61.5% ),2122205900,239745,31
2018-07-18,2,0.0%,4,0%,186,0.0%,23.1%,359400,-1571000 ( -81.4% ),43,-188 ( -81.4% ),2122565300,239788,63
2018-07-19,3,0.1%,4,0%,256,0.0%,17.2%,395800,36400 ( 10.1% ),44,1 ( 2.3% ),2122961100,239832,66
2018-07-20,2,0.0%,3,0%,214,0.0%,17.8%,380100,-15700 ( -4.0% ),38,-6 ( -13.6% ),2123341200,239870,70
2018-07-21,2,0.0%,3,0%,214,0.0%,30.4%,679100,299000 ( 78.7% ),65,27 ( 71.1% ),2124020300,239935,56
2018-07-22,2,0.0%,3,0%,214,0.0%,29.4%,613600,-65500 ( -9.6% ),63,-2 ( -3.1% ),2124633900,239998,61
2018-07-23,2,0.0%,3,0%,228,0.0%,15.8%,323900,-289700 ( -47.2% ),36,-27 ( -42.9% ),2124957800,240034,55
2018-07-24,2,0.0%,3,0%,228,0.0%,18.0%,339400,15500 ( 4.8% ),41,5 ( 13.9% ),2125297200,240075,62
2018-07-25,3,0.1%,3,0%,298,0.0%,24.2%,457500,118100 ( 34.8% ),72,31 ( 75.6% ),2125754700,240147,57
2018-07-26,1,0.0%,1,0%,35,0.0%,22.9%,73500,-384000 ( -83.9% ),8,-64 ( -88.9% ),2125828200,240155,86
2018-07-27,1,0.0%,1,0%,35,0.0%,74.3%,259500,186000 ( 253.1% ),26,18 ( 225.0% ),2126087700,240181,62
2018-07-28,1,0.0%,1,0%,35,0.0%,82.9%,278400,18900 ( 7.3% ),29,3 ( 11.5% ),2126366100,240210,65
2018-07-29,2,0.0%,2,0%,77,0.0%,42.9%,288400,10000 ( 3.6% ),33,4 ( 13.8% ),2126654500,240243,54
2018-07-30,2,0.0%,2,0%,77,0.0%,22.1%,137200,-151200 ( -52.4% ),17,-16 ( -48.5% ),2126791700,240260,61
2018-07-31,2,0.0%,2,0%,77,0.0%,48.1%,302600,165400 ( 120.6% ),37,20 ( 117.6% ),2127094300,240297,66
2019-11-27,1,0.0%,1,0%,136,0.0%,100.0%,1224000,1224000 ( 100.0% ),136,136 ( 100.0% ),2128318300,240433,49
2020-03-05,50,1.0%,51,0.5%,7968,0.5%,1.3%,535000,535000 ( 100.0% ),107,107 ( 100.0% ),2128853300,240540,31
2020-03-06,48,1.0%,49,0.5%,7780,0.5%,1.1%,445000,-90000 ( -16.8% ),89,-18 ( -16.8% ),2129298300,240629,35
2020-03-07,60,1.1%,62,0.6%,9068,0.5%,1.7%,769000,324000 ( 72.8% ),152,63 ( 70.8% ),2130067300,240781,33
2020-03-08,67,1.3%,67,0.6%,9782,0.6%,1.7%,830000,61000 ( 7.9% ),164,12 ( 7.9% ),2130897300,240945,30
2020-03-09,45,1.0%,45,0.5%,6768,0.5%,1.4%,485000,-345000 ( -41.6% ),97,-67 ( -40.9% ),2131382300,241042,30
2020-03-10,48,1.0%,48,0.5%,6986,0.5%,1.5%,517000,32000 ( 6.6% ),103,6 ( 6.2% ),2131899300,241145,30
2020-03-11,46,1.0%,46,0.5%,6999,0.5%,1.6%,550000,33000 ( 6.4% ),110,7 ( 6.8% ),2132449300,241255,31
2020-03-12,1,0.0%,1,0%,124,0.0%,1.6%,10000,-540000 ( -98.2% ),2,-108 ( -98.2% ),2132459300,241257,77
2020-03-13,1,0.0%,1,0%,124,0.0%,6.5%,40000,30000 ( 300.0% ),8,6 ( 300.0% ),2132499300,241265,70
2020-03-14,1,0.0%,1,0%,124,0.0%,6.5%,40000,0 ( 0.0% ),8,0 ( 0.0% ),2132539300,241273,79
2020-03-15,1,0.0%,1,0%,124,0.0%,6.5%,40000,0 ( 0.0% ),8,0 ( 0.0% ),2132579300,241281,76
2020-03-16,1,0.0%,1,0%,124,0.0%,1.6%,10000,-30000 ( -75.0% ),2,-6 ( -75.0% ),2132589300,241283,80
2020-03-17,1,0.0%,1,0%,124,0.0%,6.5%,40000,30000 ( 300.0% ),8,6 ( 300.0% ),2132629300,241291,74
2020-03-18,1,0.0%,1,0%,124,0.0%,3.2%,20000,-20000 ( -50.0% ),4,-4 ( -50.0% ),2132649300,241295,79
