날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-09-09,3,0.1%,3,0%,715,0.0%,100.0%,6435000,6435000 ( 100.0% ),715,715 ( 100.0% ),6435000,715,18
2016-09-14,358,6.0%,537,3.1%,75945,2.7%,21.7%,110777600,110777600 ( 100.0% ),16454,16454 ( 100.0% ),117212600,17169,7
2016-09-15,320,5.4%,475,2.8%,65381,2.4%,10.3%,46061300,-64716300 ( -58.4% ),6743,-9711 ( -59.0% ),163273900,23912,12
2016-09-16,344,5.6%,493,2.8%,68328,2.4%,19.7%,91298900,45237600 ( 98.2% ),13462,6719 ( 99.6% ),254572800,37374,10
2016-09-17,327,5.3%,447,2.6%,62494,2.2%,20.3%,86387700,-4911200 ( -5.4% ),12697,-765 ( -5.7% ),340960500,50071,10
2016-09-18,307,5.2%,413,2.5%,56724,2.1%,19.9%,76712300,-9675400 ( -11.2% ),11311,-1386 ( -10.9% ),417672800,61382,9
2016-09-19,134,2.9%,149,1%,20755,0.9%,2.8%,3914500,-72797800 ( -94.9% ),584,-10727 ( -94.8% ),421587300,61966,17
2016-09-20,117,2.5%,129,0.9%,18303,0.8%,3.0%,3563500,-351000 ( -9.0% ),540,-44 ( -7.5% ),425150800,62506,17
2016-09-21,88,1.9%,99,0.7%,13984,0.6%,2.5%,2306000,-1257500 ( -35.3% ),350,-190 ( -35.2% ),427456800,62856,28
2016-09-22,28,0.6%,28,0.2%,3567,0.1%,3.1%,739500,-1566500 ( -67.9% ),112,-238 ( -68.0% ),428196300,62968,50
2016-09-23,24,0.5%,25,0.2%,3219,0.1%,3.5%,732000,-7500 ( -1.0% ),113,1 ( 0.9% ),428928300,63081,46
2016-09-24,71,1.1%,77,0.5%,10999,0.4%,15.3%,11347200,10615200 ( 1450.2% ),1684,1571 ( 1390.3% ),440275500,64765,19
2016-09-25,69,1.1%,75,0.5%,10552,0.4%,17.7%,12837000,1489800 ( 13.1% ),1872,188 ( 11.2% ),453112500,66637,18
2016-09-26,25,0.5%,25,0.2%,3225,0.1%,2.4%,507500,-12329500 ( -96.0% ),76,-1796 ( -95.9% ),453620000,66713,53
2016-09-27,22,0.5%,22,0.2%,2768,0.1%,4.1%,732500,225000 ( 44.3% ),113,37 ( 48.7% ),454352500,66826,45
2016-09-28,1,0.0%,1,0%,117,0.0%,5.1%,44000,-688500 ( -94.0% ),6,-107 ( -94.7% ),454396500,66832,105
2016-09-30,1,0.0%,1,0%,184,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),454396500,66832,129
2016-10-01,4,0.1%,4,0%,729,0.0%,4.7%,235000,235000 ( 100.0% ),34,34 ( 100.0% ),454631500,66866,57
2016-10-02,3,0.1%,3,0%,418,0.0%,9.8%,288500,53500 ( 22.8% ),41,7 ( 20.6% ),454920000,66907,55
2016-10-03,4,0.1%,4,0%,729,0.0%,6.2%,298500,10000 ( 3.5% ),45,4 ( 9.8% ),455218500,66952,54
2016-10-04,2,0.0%,2,0%,492,0.0%,0.8%,26000,-272500 ( -91.3% ),4,-41 ( -91.1% ),455244500,66956,81
2016-10-05,1,0.0%,1,0%,308,0.0%,0.6%,15000,-11000 ( -42.3% ),2,-2 ( -50.0% ),455259500,66958,92
2016-10-07,1,0.0%,1,0%,308,0.0%,0.6%,13000,13000 ( 100.0% ),2,2 ( 100.0% ),455272500,66960,83
2016-10-08,1,0.0%,1,0%,128,0.0%,4.7%,47000,34000 ( 261.5% ),6,4 ( 200.0% ),455319500,66966,80
2016-10-09,1,0.0%,1,0%,128,0.0%,4.7%,45000,-2000 ( -4.3% ),6,0 ( 0.0% ),455364500,66972,73
2016-10-16,1,0.0%,2,0%,278,0.0%,10.4%,166000,166000 ( 100.0% ),29,29 ( 100.0% ),455530500,67001,70
2016-10-30,1,0.0%,1,0%,126,0.0%,20.6%,166000,166000 ( 100.0% ),26,26 ( 100.0% ),455696500,67027,71
