날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-06-12,7,0.1%,7,0%,924,0.0%,80.3%,3962000,3962000 ( 100.0% ),742,742 ( 100.0% ),3962000,742,13
2018-06-19,17,0.4%,17,0.1%,3125,0.1%,94.8%,25621000,25621000 ( 100.0% ),2964,2964 ( 100.0% ),29583000,3706,6
2018-06-20,2,0.0%,2,0%,463,0.0%,48.4%,1124000,-24497000 ( -95.6% ),224,-2740 ( -92.4% ),30707000,3930,27
2018-06-21,371,6.8%,735,4.3%,95599,3.5%,4.2%,28351800,27227800 ( 2422.4% ),3973,3749 ( 1673.7% ),59058800,7903,8
2018-06-22,353,6.4%,706,4%,90267,3.2%,4.6%,34133100,5781300 ( 20.4% ),4150,177 ( 4.5% ),93191900,12053,8
2018-06-23,351,5.7%,565,3%,67851,2.3%,8.1%,44823100,10690000 ( 31.3% ),5486,1336 ( 32.2% ),138015000,17539,9
2018-06-24,348,5.8%,563,3.1%,68221,2.3%,9.0%,51850600,7027500 ( 15.7% ),6173,687 ( 12.5% ),189865600,23712,9
2018-06-25,353,6.7%,608,3.6%,76608,2.9%,5.0%,28244900,-23605700 ( -45.5% ),3820,-2353 ( -38.1% ),218110500,27532,6
2018-06-26,348,6.4%,604,3.6%,76338,2.8%,5.4%,29864200,1619300 ( 5.7% ),4090,270 ( 7.1% ),247974700,31622,8
2018-06-27,169,3.1%,193,1.2%,23250,0.9%,6.7%,10450300,-19413900 ( -65.0% ),1558,-2532 ( -61.9% ),258425000,33180,16
2018-06-28,89,1.6%,110,0.6%,14390,0.5%,5.8%,5696800,-4753500 ( -45.5% ),834,-724 ( -46.5% ),264121800,34014,15
2018-06-29,93,1.7%,114,0.6%,14298,0.5%,7.7%,8328300,2631500 ( 46.2% ),1094,260 ( 31.2% ),272450100,35108,14
2018-06-30,80,1.3%,90,0.5%,10519,0.4%,11.7%,9610400,1282100 ( 15.4% ),1227,133 ( 12.2% ),282060500,36335,19
2018-07-01,76,1.3%,90,0.5%,10080,0.3%,10.2%,8024400,-1586000 ( -16.5% ),1025,-202 ( -16.5% ),290084900,37360,18
2018-07-02,68,1.3%,85,0.5%,10047,0.4%,5.8%,4060000,-3964400 ( -49.4% ),578,-447 ( -43.6% ),294144900,37938,16
2018-07-03,74,1.4%,93,0.5%,11192,0.4%,6.5%,4771000,711000 ( 17.5% ),730,152 ( 26.3% ),298915900,38668,19
2018-07-04,18,0.4%,19,0.1%,2422,0.1%,23.7%,3484000,-1287000 ( -27.0% ),575,-155 ( -21.2% ),302399900,39243,14
2018-07-05,18,0.4%,20,0.1%,2259,0.1%,7.1%,1065500,-2418500 ( -69.4% ),161,-414 ( -72.0% ),303465400,39404,30
2018-07-06,18,0.4%,20,0.1%,2397,0.1%,12.1%,1895000,829500 ( 77.9% ),291,130 ( 80.7% ),305360400,39695,21
2018-07-07,17,0.3%,21,0.1%,2373,0.1%,10.1%,1752000,-143000 ( -7.5% ),239,-52 ( -17.9% ),307112400,39934,25
2018-07-08,15,0.3%,19,0.1%,2234,0.1%,16.2%,2704500,952500 ( 54.4% ),363,124 ( 51.9% ),309816900,40297,22
2018-07-09,17,0.4%,20,0.1%,2395,0.1%,12.7%,1768000,-936500 ( -34.6% ),304,-59 ( -16.3% ),311584900,40601,19
2018-07-10,17,0.3%,19,0.1%,2224,0.1%,11.8%,1884500,116500 ( 6.6% ),263,-41 ( -13.5% ),313469400,40864,25
2018-07-11,11,0.2%,12,0.1%,1509,0.1%,40.2%,4151000,2266500 ( 120.3% ),607,344 ( 130.8% ),317620400,41471,15
2018-07-12,5,0.1%,6,0%,478,0.0%,15.7%,597000,-3554000 ( -85.6% ),75,-532 ( -87.6% ),318217400,41546,58
2018-07-13,5,0.1%,6,0%,1287,0.0%,6.4%,549000,-48000 ( -8.0% ),82,7 ( 9.3% ),318766400,41628,56
2018-07-14,5,0.1%,7,0%,517,0.0%,30.8%,1090000,541000 ( 98.5% ),159,77 ( 93.9% ),319856400,41787,47
2018-07-15,4,0.1%,6,0%,524,0.0%,13.2%,466500,-623500 ( -57.2% ),69,-90 ( -56.6% ),320322900,41856,56
2018-07-16,5,0.1%,7,0%,1364,0.0%,5.1%,472000,5500 ( 1.2% ),70,1 ( 1.4% ),320794900,41926,50
2018-07-17,6,0.1%,8,0%,673,0.0%,20.7%,759000,287000 ( 60.8% ),139,69 ( 98.6% ),321553900,42065,47
2018-07-18,5,0.1%,6,0%,863,0.0%,25.5%,1842000,1083000 ( 142.7% ),220,81 ( 58.3% ),323395900,42285,34
2018-07-19,2,0.0%,4,0%,988,0.0%,7.1%,414000,-1428000 ( -77.5% ),70,-150 ( -68.2% ),323809900,42355,57
2018-07-20,4,0.1%,4,0%,667,0.0%,15.9%,663000,249000 ( 60.1% ),106,36 ( 51.4% ),324472900,42461,45
2018-07-21,8,0.1%,10,0.1%,3283,0.1%,10.3%,2112000,1449000 ( 218.6% ),339,233 ( 219.8% ),326584900,42800,31
2018-07-22,5,0.1%,6,0%,1260,0.0%,10.9%,889000,-1223000 ( -57.9% ),137,-202 ( -59.6% ),327473900,42937,45
2018-07-23,5,0.1%,7,0%,936,0.0%,13.8%,812000,-77000 ( -8.7% ),129,-8 ( -5.8% ),328285900,43066,33
2018-07-24,6,0.1%,8,0%,1368,0.0%,10.0%,905000,93000 ( 11.5% ),137,8 ( 6.2% ),329190900,43203,43
2018-07-25,3,0.1%,4,0%,324,0.0%,8.6%,190000,-715000 ( -79.0% ),28,-109 ( -79.6% ),329380900,43231,80
2018-07-26,3,0.1%,3,0%,613,0.0%,7.0%,275000,85000 ( 44.7% ),43,15 ( 53.6% ),329655900,43274,65
