날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-08-28,1,0.0%,1,0%,158,0.0%,100.0%,1422000,1422000 ( 100.0% ),158,158 ( 100.0% ),1422000,158,31
2018-08-30,1,0.0%,1,0%,142,0.0%,100.0%,1278000,1278000 ( 100.0% ),142,142 ( 100.0% ),2700000,300,42
2018-09-06,142,2.5%,151,0.9%,19824,0.7%,10.7%,12390200,12390200 ( 100.0% ),2115,2115 ( 100.0% ),15090200,2415,10
2018-09-07,164,2.7%,168,0.9%,22416,0.8%,7.8%,10847300,-1542900 ( -12.5% ),1750,-365 ( -17.3% ),25937500,4165,12
2018-09-08,347,5.2%,493,2.5%,60994,1.9%,10.9%,49974100,39126800 ( 360.7% ),6647,4897 ( 279.8% ),75911600,10812,10
2018-09-09,354,5.4%,508,2.6%,63137,2.0%,12.3%,53334600,3360500 ( 6.7% ),7767,1120 ( 16.8% ),129246200,18579,10
2018-09-10,106,1.9%,111,0.7%,14645,0.5%,3.8%,3608900,-49725700 ( -93.2% ),550,-7217 ( -92.9% ),132855100,19129,20
2018-09-11,120,2.1%,122,0.7%,16601,0.6%,6.4%,6350100,2741200 ( 76.0% ),1056,506 ( 92.0% ),139205200,20185,15
2018-09-12,41,0.8%,41,0.2%,4539,0.2%,13.1%,3493800,-2856300 ( -45.0% ),596,-460 ( -43.6% ),142699000,20781,17
2018-09-13,23,0.4%,23,0.1%,2542,0.1%,35.8%,5272000,1778200 ( 50.9% ),911,315 ( 52.9% ),147971000,21692,18
2018-09-14,22,0.4%,24,0.1%,2516,0.1%,37.9%,5199000,-73000 ( -1.4% ),954,43 ( 4.7% ),153170000,22646,14
2018-09-15,55,1.0%,71,0.3%,6063,0.2%,14.7%,5734400,535400 ( 10.3% ),889,-65 ( -6.8% ),158904400,23535,18
2018-09-16,52,0.9%,63,0.3%,5351,0.2%,12.1%,4250800,-1483600 ( -25.9% ),650,-239 ( -26.9% ),163155200,24185,21
2018-09-17,16,0.3%,16,0.1%,1657,0.1%,13.6%,1366000,-2884800 ( -67.9% ),226,-424 ( -65.2% ),164521200,24411,28
2018-09-18,17,0.3%,19,0.1%,1688,0.1%,20.9%,1967500,601500 ( 44.0% ),352,126 ( 55.8% ),166488700,24763,24
2018-09-19,6,0.1%,7,0%,277,0.0%,26.4%,387000,-1580500 ( -80.3% ),73,-279 ( -79.3% ),166875700,24836,36
2018-09-20,3,0.1%,3,0%,167,0.0%,46.7%,444000,57000 ( 14.7% ),78,5 ( 6.8% ),167319700,24914,48
2018-09-21,1,0.0%,1,0%,53,0.0%,39.6%,126000,-318000 ( -71.6% ),21,-57 ( -73.1% ),167445700,24935,72
2018-09-25,1,0.0%,1,0%,53,0.0%,79.2%,252000,252000 ( 100.0% ),42,42 ( 100.0% ),167697700,24977,58
2018-09-26,1,0.0%,1,0%,53,0.0%,62.3%,132000,-120000 ( -47.6% ),33,-9 ( -21.4% ),167829700,25010,62
2018-09-27,2,0.0%,2,0%,276,0.0%,60.5%,1002000,870000 ( 659.1% ),167,134 ( 406.1% ),168831700,25177,36
2018-09-28,1,0.0%,1,0%,162,0.0%,84.6%,822000,-180000 ( -18.0% ),137,-30 ( -18.0% ),169653700,25314,38
2018-09-29,1,0.0%,1,0%,90,0.0%,100.0%,450000,-372000 ( -45.3% ),90,-47 ( -34.3% ),170103700,25404,43
2018-10-02,1,0.0%,1,0%,143,0.0%,27.3%,234000,234000 ( 100.0% ),39,39 ( 100.0% ),170337700,25443,64
2018-10-04,1,0.0%,1,0%,200,0.0%,21.5%,215000,215000 ( 100.0% ),43,43 ( 100.0% ),170552700,25486,40
2018-10-05,2,0.0%,2,0%,250,0.0%,36.8%,561000,346000 ( 160.9% ),92,49 ( 114.0% ),171113700,25578,31
