날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-03-16,1,0.0%,1,0%,30,0.0%,56.7%,119000,119000 ( 100.0% ),17,17 ( 100.0% ),119000,17,67
2017-03-30,7,0.1%,12,0.1%,2525,0.1%,96.3%,17048000,17048000 ( 100.0% ),2431,2431 ( 100.0% ),17167000,2448,9
2017-03-31,1,0.0%,1,0%,238,0.0%,91.2%,1304000,-15744000 ( -92.4% ),217,-2214 ( -91.1% ),18471000,2665,29
2017-04-04,12,0.2%,14,0.1%,2789,0.1%,91.2%,18284000,18284000 ( 100.0% ),2543,2543 ( 100.0% ),36755000,5208,8
2017-04-05,457,9.7%,1933,11.7%,285663,10.6%,8.5%,180031700,161747700 ( 884.6% ),24326,21783 ( 856.6% ),216786700,29534,4
2017-04-06,485,9.1%,1885,11.4%,279803,10.3%,8.5%,174698300,-5333400 ( -3.0% ),23785,-541 ( -2.2% ),391485000,53319,4
2017-04-07,480,8.8%,1947,11.6%,294000,10.7%,9.4%,226586440,51888140 ( 29.7% ),27619,3834 ( 16.1% ),618071440,80938,4
2017-04-08,532,8.5%,1960,11%,299072,10.3%,14.2%,357223742,130637302 ( 57.7% ),42573,14954 ( 54.1% ),975295182,123511,4
2017-04-09,528,8.6%,1878,10.8%,285289,10.1%,13.8%,330713300,-26510442 ( -7.4% ),39445,-3128 ( -7.3% ),1306008482,162956,4
2017-04-10,468,8.8%,1767,11.5%,258656,10.1%,5.7%,109365400,-221347900 ( -66.9% ),14789,-24656 ( -62.5% ),1415373882,177745,4
2017-04-11,465,8.6%,1747,11.3%,253254,9.9%,5.9%,108513000,-852400 ( -0.8% ),14926,137 ( 0.9% ),1523886882,192671,4
2017-04-12,324,6.5%,672,4.4%,84041,3.4%,6.8%,41295000,-67218000 ( -61.9% ),5737,-9189 ( -61.6% ),1565181882,198408,6
2017-04-13,290,5.5%,543,3.5%,67541,2.7%,6.1%,30511400,-10783600 ( -26.1% ),4092,-1645 ( -28.7% ),1595693282,202500,6
2017-04-14,302,5.6%,563,3.5%,70404,2.7%,7.5%,43002200,12490800 ( 40.9% ),5249,1157 ( 28.3% ),1638695482,207749,7
2017-04-15,275,4.7%,463,2.7%,57673,2.1%,12.4%,60173600,17171400 ( 39.9% ),7129,1880 ( 35.8% ),1698869082,214878,8
2017-04-16,280,4.9%,439,2.7%,55176,2.1%,10.6%,49193800,-10979800 ( -18.2% ),5829,-1300 ( -18.2% ),1748062882,220707,8
2017-04-17,286,5.6%,494,3.3%,62397,2.5%,5.2%,23167000,-26026800 ( -52.9% ),3263,-2566 ( -44.0% ),1771229882,223970,7
2017-04-18,283,5.4%,483,3.2%,61349,2.5%,4.5%,19877500,-3289500 ( -14.2% ),2781,-482 ( -14.8% ),1791107382,226751,7
2017-04-19,278,5.4%,482,3.2%,60108,2.5%,4.4%,19291700,-585800 ( -2.9% ),2662,-119 ( -4.3% ),1810399082,229413,7
2017-04-20,48,0.9%,73,0.5%,8473,0.3%,6.5%,4060500,-15231200 ( -79.0% ),550,-2112 ( -79.3% ),1814459582,229963,23
2017-04-21,50,0.9%,72,0.5%,7950,0.3%,8.1%,4958000,897500 ( 22.1% ),644,94 ( 17.1% ),1819417582,230607,22
2017-04-22,39,0.6%,59,0.4%,6203,0.2%,13.0%,6592500,1634500 ( 33.0% ),804,160 ( 24.8% ),1826010082,231411,26
2017-04-23,40,0.7%,61,0.4%,6407,0.2%,9.7%,5272500,-1320000 ( -20.0% ),622,-182 ( -22.6% ),1831282582,232033,26
2017-04-24,43,0.8%,63,0.4%,7986,0.3%,4.8%,2595500,-2677000 ( -50.8% ),384,-238 ( -38.3% ),1833878082,232417,22
2017-04-25,57,1.0%,79,0.6%,10021,0.4%,12.4%,6377500,3782000 ( 145.7% ),1241,857 ( 223.2% ),1840255582,233658,16
2017-04-26,11,0.2%,18,0.1%,2095,0.1%,8.6%,966000,-5411500 ( -84.9% ),180,-1061 ( -85.5% ),1841221582,233838,34
2017-04-27,12,0.3%,12,0.1%,1417,0.1%,27.7%,1719000,753000 ( 78.0% ),393,213 ( 118.3% ),1842940582,234231,24
2017-04-28,2,0.0%,2,0%,260,0.0%,7.3%,161000,-1558000 ( -90.6% ),19,-374 ( -95.2% ),1843101582,234250,65
2017-04-29,4,0.1%,4,0%,450,0.0%,12.0%,401500,240500 ( 149.4% ),54,35 ( 184.2% ),1843503082,234304,62
2017-04-30,5,0.1%,5,0%,738,0.0%,38.2%,1720000,1318500 ( 328.4% ),282,228 ( 422.2% ),1845223082,234586,36
2017-05-01,5,0.1%,5,0%,505,0.0%,4.8%,171500,-1548500 ( -90.0% ),24,-258 ( -91.5% ),1845394582,234610,69
2017-05-02,5,0.1%,5,0%,492,0.0%,4.1%,166000,-5500 ( -3.2% ),20,-4 ( -16.7% ),1845560582,234630,75
2017-05-03,4,0.1%,4,0%,444,0.0%,3.4%,137000,-29000 ( -17.5% ),15,-5 ( -25.0% ),1845697582,234645,76
2017-05-25,1,0.0%,1,0%,44,0.0%,81.8%,144000,144000 ( 100.0% ),36,36 ( 100.0% ),1845841582,234681,71
2017-10-27,1,0.0%,1,0%,148,0.0%,100.0%,740000,740000 ( 100.0% ),148,148 ( 100.0% ),1846581582,234829,37
